{'accuracy': 0.3161764705882353, 'f1': 0.0, 'testing_loss': 0.7620672291400385, 'training_loss': 0.6449165254831314}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 1.000529273029636, 'training_loss': 0.714665093421936}
{'accuracy': 0.6617647058823529, 'f1': 0.7883435582822086, 'testing_loss': 0.6513595826485578, 'training_loss': 0.8906689009070398}
{'accuracy': 0.6764705882352942, 'f1': 0.8058823529411765, 'testing_loss': 0.6264011158662683, 'training_loss': 0.6508494055271148}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6489715348271763, 'training_loss': 0.6678895157575607}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6551813424802294, 'training_loss': 0.6493022310733795}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6879338072795494, 'training_loss': 0.7118918591737746}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6246726542126899, 'training_loss': 0.6793539053201675}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6359092575662276, 'training_loss': 0.6464857465028763}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.625038344486087, 'training_loss': 0.6551311820745468}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6327718227517372, 'training_loss': 0.6346821469068528}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6270147976922054, 'training_loss': 0.6273015201091767}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6286642580640083, 'training_loss': 0.6391883224248887}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.637534850952672, 'training_loss': 0.6474001407623291}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245077556254817, 'training_loss': 0.6600549602508544}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6322519346779468, 'training_loss': 0.6375588548183442}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6330776652869057, 'training_loss': 0.6448859703540804}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6246153986921498, 'training_loss': 0.6397496616840364}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6274319501484141, 'training_loss': 0.6338834089040757}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6286183881993387, 'training_loss': 0.6333437985181808}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240502403062933, 'training_loss': 0.6457057631015777}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6276631770180721, 'training_loss': 0.6357933133840561}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6263878912317986, 'training_loss': 0.6394623959064484}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240943927390903, 'training_loss': 0.64631507396698}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.63118577003479, 'training_loss': 0.6537183117866516}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6279948832941991, 'training_loss': 0.6376873552799226}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242731751180163, 'training_loss': 0.6384073430299758}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6280636536140068, 'training_loss': 0.6395951330661773}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.626622645293965, 'training_loss': 0.6429783201217651}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240105874398175, 'training_loss': 0.6426301461458206}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6270558109470442, 'training_loss': 0.6418928408622742}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6303961750339059, 'training_loss': 0.6438125890493392}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243991057078043, 'training_loss': 0.6347409546375274}
