,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.745828601659513,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,2,0.3161764705882353,0.0,0.7458193196969873,0.667764080895318,0.0006963246269151568,0.0008789036073721945,0.00018257900956086814
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,3,0.3161764705882353,0.0,0.7458069429678076,0.6892139236132303,0.0004161667893640697,0.0005919383838772774,0.00017577159451320767
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,4,0.3161764705882353,0.0,0.7457914574473512,0.6772330654991998,0.0005934720393270254,0.0007973198662512004,0.0002038478123722598
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,5,0.3161764705882353,0.0,0.7457765036938238,0.6668346087137859,0.00038203829899430275,0.0003944240161217749,1.2385727131913882e-05
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,6,0.3161764705882353,0.0,0.7457554433860031,0.7253538224432203,0.00016331428196281195,0.0007750338991172612,0.0006117196171544492
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,7,0.3161764705882353,0.0,0.7457350621036455,0.6751153753863441,0.0010486339451745152,0.0011649472871795297,0.00011631336383288726
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,8,0.3161764705882353,0.0,0.7457093701643103,0.7037967734866672,0.00036344840191304684,0.0009321628604084253,0.0005687144584953785
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,9,0.3161764705882353,0.0,0.7456827724681181,0.6749686645136939,0.0005417324136942625,0.0006730122840963304,0.00013127989950589836
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,10,0.3161764705882353,0.0,0.7456554700346554,0.6937774062156677,0.0003390868951100856,0.00046105883666314185,0.00012197193427709863
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,11,0.3161764705882353,0.0,0.7456281547452889,0.6781616933643818,0.0004617914091795683,0.0005444440757855773,8.265265933005139e-05
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,12,0.3161764705882353,0.0,0.7455987077133328,0.6864830508828164,0.000566238712053746,0.0008312360150739551,0.0002649973030202091
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,13,0.3161764705882353,0.0,0.7455678395196503,0.677772831171751,0.000650619447696954,0.0008563628070987761,0.0002057433594018221
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,14,0.3161764705882353,0.0,0.7455336007417417,0.7107747659087181,0.00030041555874049664,0.0007420952897518873,0.0004416797310113907
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,15,0.3161764705882353,0.0,0.7454962613535863,0.7055587396025658,0.00036128851934336126,0.0008197925053536892,0.00045850398601032794
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,16,0.3161764705882353,0.0,0.7454565669976029,0.6916353441774845,0.0005385511321946979,0.0009338065283372998,0.0003952554252464324
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,17,0.3161764705882353,0.0,0.7454173506474963,0.6886483997106552,0.00041552167385816574,0.0005487526650540531,0.00013323099119588733
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,18,0.3161764705882353,0.0,0.7453799773665035,0.6754354506731033,0.0005673449486494064,0.0006349626928567886,6.761773693142459e-05
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,19,0.3161764705882353,0.0,0.7453416258681054,0.6878570422530175,0.0004845435614697635,0.0007283592130988836,0.00024381566618103534
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,20,0.3161764705882353,0.0,0.7453048439586863,0.6621195115149021,0.0005942537682130933,0.0006619079504162073,6.765419675502926e-05
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,21,0.3161764705882353,0.0,0.7452718522034439,0.645679634809494,0.000402941950596869,0.0004053771262988448,2.4351732008653926e-06
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,22,0.3161764705882353,0.0,0.745239656345517,0.6749775238335133,0.0004226362216286361,0.0004947746056132019,7.213839126052335e-05
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,23,0.3161764705882353,0.0,0.7452102899551392,0.66540851816535,0.0003592750581447035,0.0003638651396613568,4.590090156852966e-06
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,24,0.3161764705882353,0.0,0.7451798775616814,0.6779730156064033,0.0005417126230895519,0.0007118603680282831,0.00017014775949064642
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,25,0.3161764705882353,0.0,0.7451497328047659,0.6564375914633274,0.0007299089338630438,0.0008198153809644282,8.990646165329963e-05
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,26,0.3161764705882353,0.0,0.7451143393329546,0.7150450617074966,0.0002207048237323761,0.0009492867393419147,0.0007285819156095386
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,27,0.3161764705882353,0.0,0.7450762531336617,0.7100852608680726,0.00027092397795058787,0.0006906809867359698,0.0004197570087853819
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,28,0.3161764705882353,0.0,0.7450334102499718,0.7133430674672127,0.0002739800838753581,0.0010607852600514889,0.0007868051761761308
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,29,0.3161764705882353,0.0,0.7449942476609174,0.6653271920979023,0.00037968234391883016,0.00038727253559045494,7.590185305161867e-06
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,30,0.3161764705882353,0.0,0.7449510483180776,0.7253860265016556,0.00012318312656134367,0.0008052499033510685,0.0006820667767897248
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,31,0.3161764705882353,0.0,0.7449070542466407,0.689291636645794,0.0004981582751497626,0.0007823739433661103,0.00028421569732017815
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,32,0.3161764705882353,0.0,0.744862789032506,0.7001317352056503,0.0005514766671694815,0.0008292191778309643,0.0002777425106614828
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,33,0.3161764705882353,0.0,0.7448206263429978,0.6758323304355145,0.00046981553896330297,0.0005339903873391449,6.417484837584198e-05
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,34,0.3161764705882353,0.0,0.7447804364503599,0.6695823028683663,0.00048286773380823433,0.0005402544629760087,5.73867182538379e-05
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.0001,0.9,SGD,0.001,35,0.3161764705882353,0.0,0.7447386582692465,0.6902709499001503,0.0005208759102970362,0.0008616511477157474,0.00034077520831488073
