Using device: cuda:1
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 3,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'Adam',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.7463105020173099, 'training_loss': 0.5419876225913565, 'variance': 0.00469506811350584, 'avg_norm_sq_drifts': 0.004874627571552992, 'norm_sq_avg_drift': 0.00017955944349523634, 'round_steps': 264}
{'round': 2, 'accuracy': 0.5091743119266054, 'testing_loss': 0.6934936970745752, 'training_loss': 0.4608008862049743, 'variance': 0.005849059671163559, 'avg_norm_sq_drifts': 0.008627467788755894, 'norm_sq_avg_drift': 0.0027784083504229784, 'round_steps': 264}
{'round': 3, 'accuracy': 0.533256880733945, 'testing_loss': 0.6595047233848397, 'training_loss': 0.513492982007676, 'variance': 0.0036082672886550426, 'avg_norm_sq_drifts': 0.004602471832185984, 'norm_sq_avg_drift': 0.000994204543530941, 'round_steps': 264}
{'round': 4, 'accuracy': 0.7798165137614679, 'testing_loss': 0.49326770677479037, 'training_loss': 0.4334657170076036, 'variance': 0.002061635721474886, 'avg_norm_sq_drifts': 0.003126147435978055, 'norm_sq_avg_drift': 0.0010645115980878472, 'round_steps': 264}
{'round': 5, 'accuracy': 0.7672018348623854, 'testing_loss': 0.7421677761087451, 'training_loss': 0.20051929336041213, 'variance': 0.0019052209099754691, 'avg_norm_sq_drifts': 0.003028309205546975, 'norm_sq_avg_drift': 0.001123088295571506, 'round_steps': 264}
{'round': 6, 'accuracy': 0.6399082568807339, 'testing_loss': 1.5000575994389183, 'training_loss': 0.18754858230452304, 'variance': 0.0022375183179974556, 'avg_norm_sq_drifts': 0.0029566921293735504, 'norm_sq_avg_drift': 0.0007191737531684339, 'round_steps': 264}
{'round': 7, 'accuracy': 0.8188073394495413, 'testing_loss': 0.5219377993067743, 'training_loss': 0.28772874699012996, 'variance': 0.002971088979393244, 'avg_norm_sq_drifts': 0.004912275820970535, 'norm_sq_avg_drift': 0.0019411867251619697, 'round_steps': 264}
{'round': 8, 'accuracy': 0.8818807339449541, 'testing_loss': 0.30339417627098364, 'training_loss': 0.22861672684490317, 'variance': 0.0018994102720171213, 'avg_norm_sq_drifts': 0.0028275861404836178, 'norm_sq_avg_drift': 0.0009281758102588356, 'round_steps': 264}
{'round': 9, 'accuracy': 0.8922018348623854, 'testing_loss': 0.2902750639979719, 'training_loss': 0.17573305704246392, 'variance': 0.0013041452039033175, 'avg_norm_sq_drifts': 0.0020730558317154646, 'norm_sq_avg_drift': 0.000768910686019808, 'round_steps': 264}
{'round': 10, 'accuracy': 0.8876146788990825, 'testing_loss': 0.28903628420939137, 'training_loss': 0.15713907180241113, 'variance': 0.0014461204409599304, 'avg_norm_sq_drifts': 0.002115237759426236, 'norm_sq_avg_drift': 0.0006691172602586448, 'round_steps': 264}
{'round': 11, 'accuracy': 0.7947247706422018, 'testing_loss': 0.6497415794324506, 'training_loss': 0.14488735188779453, 'variance': 0.0015066631603986025, 'avg_norm_sq_drifts': 0.0018113711848855019, 'norm_sq_avg_drift': 0.00030470796627923846, 'round_steps': 264}
{'round': 12, 'accuracy': 0.8761467889908257, 'testing_loss': 0.3744961497621662, 'training_loss': 0.16443019794700597, 'variance': 0.002159315859898925, 'avg_norm_sq_drifts': 0.0032641098368912935, 'norm_sq_avg_drift': 0.0011047939769923687, 'round_steps': 264}
{'round': 13, 'accuracy': 0.9243119266055045, 'testing_loss': 0.2347068924995122, 'training_loss': 0.09755197414708548, 'variance': 0.0017030428862199187, 'avg_norm_sq_drifts': 0.001928175799548626, 'norm_sq_avg_drift': 0.000225132898776792, 'round_steps': 264}
{'round': 14, 'accuracy': 0.9243119266055045, 'testing_loss': 0.21724137091376913, 'training_loss': 0.12426266449276062, 'variance': 0.0017491776961833239, 'avg_norm_sq_drifts': 0.0020135969389230013, 'norm_sq_avg_drift': 0.00026441924273967743, 'round_steps': 264}
{'round': 15, 'accuracy': 0.9231651376146789, 'testing_loss': 0.2156409283313866, 'training_loss': 0.11316180402584106, 'variance': 0.0014326003147289157, 'avg_norm_sq_drifts': 0.0016299858689308167, 'norm_sq_avg_drift': 0.00019738553964998573, 'round_steps': 264}
{'round': 16, 'accuracy': 0.9174311926605505, 'testing_loss': 0.22995320841277, 'training_loss': 0.10725421525434782, 'variance': 0.001281695207580924, 'avg_norm_sq_drifts': 0.0016413473058491945, 'norm_sq_avg_drift': 0.0003596520400606096, 'round_steps': 264}
{'round': 17, 'accuracy': 0.9025229357798165, 'testing_loss': 0.2731346699789406, 'training_loss': 0.1240023126964154, 'variance': 0.001286146929487586, 'avg_norm_sq_drifts': 0.0015316110802814364, 'norm_sq_avg_drift': 0.00024546412169001997, 'round_steps': 264}
{'round': 18, 'accuracy': 0.9174311926605505, 'testing_loss': 0.25702032665487107, 'training_loss': 0.11354261539478708, 'variance': 0.0012475686380639672, 'avg_norm_sq_drifts': 0.001489868271164596, 'norm_sq_avg_drift': 0.0002422996039967984, 'round_steps': 264}
{'round': 19, 'accuracy': 0.930045871559633, 'testing_loss': 0.22691487868683874, 'training_loss': 0.1262882955687404, 'variance': 0.001378220273181796, 'avg_norm_sq_drifts': 0.0016687542665749788, 'norm_sq_avg_drift': 0.00029053393518552184, 'round_steps': 264}
{'round': 20, 'accuracy': 0.9288990825688074, 'testing_loss': 0.22364075909210626, 'training_loss': 0.09760166749485617, 'variance': 0.0014500387478619814, 'avg_norm_sq_drifts': 0.0016535947797819972, 'norm_sq_avg_drift': 0.00020355600281618536, 'round_steps': 264}
{'round': 21, 'accuracy': 0.9323394495412844, 'testing_loss': 0.2144847951568834, 'training_loss': 0.09008750010651773, 'variance': 0.0014811947476118803, 'avg_norm_sq_drifts': 0.0016501758946105838, 'norm_sq_avg_drift': 0.0001689811615506187, 'round_steps': 264}
{'round': 22, 'accuracy': 0.9346330275229358, 'testing_loss': 0.21522682607643853, 'training_loss': 0.09141996784649867, 'variance': 0.0014070826582610607, 'avg_norm_sq_drifts': 0.0015909814974293113, 'norm_sq_avg_drift': 0.0001838988100644201, 'round_steps': 264}
{'round': 23, 'accuracy': 0.9357798165137615, 'testing_loss': 0.21337009067625798, 'training_loss': 0.08253774242887935, 'variance': 0.0010952649172395468, 'avg_norm_sq_drifts': 0.0013089084532111883, 'norm_sq_avg_drift': 0.00021364353597164154, 'round_steps': 264}
{'round': 24, 'accuracy': 0.9403669724770642, 'testing_loss': 0.20679735499936147, 'training_loss': 0.07069939036748221, 'variance': 0.0010310026118531823, 'avg_norm_sq_drifts': 0.001221020007506013, 'norm_sq_avg_drift': 0.00019001743930857629, 'round_steps': 264}
Finished Testing!
