Using device: cuda:1
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 20,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'Adam',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.5389908256880734, 'testing_loss': 0.6794273142420918, 'training_loss': 0.44574072576659757, 'variance': 0.01416950486600399, 'avg_norm_sq_drifts': 0.016396526247262955, 'norm_sq_avg_drift': 0.002227021846920252, 'round_steps': 1760}
{'round': 2, 'accuracy': 0.7041284403669725, 'testing_loss': 0.5358133307837565, 'training_loss': 0.24582398378033593, 'variance': 0.015737459063529968, 'avg_norm_sq_drifts': 0.027734672650694847, 'norm_sq_avg_drift': 0.011997212655842304, 'round_steps': 1760}
{'round': 3, 'accuracy': 0.8990825688073395, 'testing_loss': 0.33790164127296535, 'training_loss': 0.16456411422452555, 'variance': 0.019596140831708908, 'avg_norm_sq_drifts': 0.0310912374407053, 'norm_sq_avg_drift': 0.011495097540318966, 'round_steps': 1760}
{'round': 4, 'accuracy': 0.9185779816513762, 'testing_loss': 0.3846047717347365, 'training_loss': 0.11693210871107032, 'variance': 0.023138679563999176, 'avg_norm_sq_drifts': 0.028057629242539406, 'norm_sq_avg_drift': 0.00491894967854023, 'round_steps': 1760}
{'round': 5, 'accuracy': 0.930045871559633, 'testing_loss': 0.35378447240709815, 'training_loss': 0.07522743095338227, 'variance': 0.019213929772377014, 'avg_norm_sq_drifts': 0.02233259379863739, 'norm_sq_avg_drift': 0.0031186630949378014, 'round_steps': 1760}
{'round': 6, 'accuracy': 0.9105504587155964, 'testing_loss': 0.42947175248083874, 'training_loss': 0.07557784246022824, 'variance': 0.020571677014231682, 'avg_norm_sq_drifts': 0.02457146905362606, 'norm_sq_avg_drift': 0.003999792039394379, 'round_steps': 1760}
{'round': 7, 'accuracy': 0.9197247706422018, 'testing_loss': 0.3205000997153581, 'training_loss': 0.10472509776224219, 'variance': 0.026909559965133667, 'avg_norm_sq_drifts': 0.03124818578362465, 'norm_sq_avg_drift': 0.0043386248871684074, 'round_steps': 1760}
{'round': 8, 'accuracy': 0.9334862385321101, 'testing_loss': 0.24120402352888684, 'training_loss': 0.08482841199237803, 'variance': 0.022357545793056488, 'avg_norm_sq_drifts': 0.02587239444255829, 'norm_sq_avg_drift': 0.003514849115163088, 'round_steps': 1760}
{'round': 9, 'accuracy': 0.9288990825688074, 'testing_loss': 0.24242359232328353, 'training_loss': 0.06864085068205235, 'variance': 0.018210511654615402, 'avg_norm_sq_drifts': 0.02079598605632782, 'norm_sq_avg_drift': 0.0025854746345430613, 'round_steps': 1760}
{'round': 10, 'accuracy': 0.9254587155963303, 'testing_loss': 0.28902613144333755, 'training_loss': 0.0663598298358606, 'variance': 0.01720368303358555, 'avg_norm_sq_drifts': 0.019844334572553635, 'norm_sq_avg_drift': 0.0026406515389680862, 'round_steps': 1760}
{'round': 11, 'accuracy': 0.9208715596330275, 'testing_loss': 0.37067846162191276, 'training_loss': 0.04773698200353134, 'variance': 0.015756553038954735, 'avg_norm_sq_drifts': 0.01803703047335148, 'norm_sq_avg_drift': 0.002280476735904813, 'round_steps': 1760}
{'round': 12, 'accuracy': 0.9243119266055045, 'testing_loss': 0.3678513189525143, 'training_loss': 0.05267769550952174, 'variance': 0.015716662630438805, 'avg_norm_sq_drifts': 0.01829223893582821, 'norm_sq_avg_drift': 0.0025755760725587606, 'round_steps': 1760}
