Using device: cuda:1
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 1,
 'max_epochs': 18,
 'total_rounds': 200,
 'fda': True,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'SGD',
 'server_opt_lr': 1.0,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.7112812120980079, 'training_loss': 0.4763949740667489, 'variance': 0.012285305187106133, 'avg_norm_sq_drifts': 0.013488157652318478, 'norm_sq_avg_drift': 0.0012028521159663796, 'round_steps': 88}
{'round': 2, 'accuracy': 0.5940366972477065, 'testing_loss': 0.5845934629713724, 'training_loss': 0.2713695758122963, 'variance': 0.11891691386699677, 'avg_norm_sq_drifts': 0.17544639110565186, 'norm_sq_avg_drift': 0.05652947723865509, 'round_steps': 1056}
{'round': 3, 'accuracy': 0.8944954128440367, 'testing_loss': 0.2645761522062875, 'training_loss': 0.3143988975802627, 'variance': 0.09510883688926697, 'avg_norm_sq_drifts': 0.1254226267337799, 'norm_sq_avg_drift': 0.03031378984451294, 'round_steps': 352}
{'round': 4, 'accuracy': 0.9048165137614679, 'testing_loss': 0.24441869758547993, 'training_loss': 0.22943365545625888, 'variance': 0.24380837380886078, 'avg_norm_sq_drifts': 0.29810115694999695, 'norm_sq_avg_drift': 0.05429278686642647, 'round_steps': 704}
{'round': 5, 'accuracy': 0.9094036697247706, 'testing_loss': 0.297235576837503, 'training_loss': 0.08012897016254349, 'variance': 0.2917397618293762, 'avg_norm_sq_drifts': 0.34046244621276855, 'norm_sq_avg_drift': 0.04872268810868263, 'round_steps': 1320}
{'round': 6, 'accuracy': 0.8165137614678899, 'testing_loss': 0.6463704723437581, 'training_loss': 0.11739012185497777, 'variance': 0.1828712522983551, 'avg_norm_sq_drifts': 0.20939767360687256, 'norm_sq_avg_drift': 0.026526421308517456, 'round_steps': 616}
{'round': 7, 'accuracy': 0.9220183486238532, 'testing_loss': 0.22511408640362254, 'training_loss': 0.1753139338956718, 'variance': 0.2754060626029968, 'avg_norm_sq_drifts': 0.3190484941005707, 'norm_sq_avg_drift': 0.04364243149757385, 'round_steps': 616}
{'round': 8, 'accuracy': 0.9254587155963303, 'testing_loss': 0.24336331938991512, 'training_loss': 0.13315368666117794, 'variance': 0.38393911719322205, 'avg_norm_sq_drifts': 0.4403717517852783, 'norm_sq_avg_drift': 0.05643262341618538, 'round_steps': 880}
{'round': 9, 'accuracy': 0.9220183486238532, 'testing_loss': 0.29621321852788873, 'training_loss': 0.08589368730238425, 'variance': 0.35245245695114136, 'avg_norm_sq_drifts': 0.4002382755279541, 'norm_sq_avg_drift': 0.04778580367565155, 'round_steps': 1056}
{'round': 10, 'accuracy': 0.9185779816513762, 'testing_loss': 0.3068585106141763, 'training_loss': 0.08849902791915323, 'variance': 0.2767653465270996, 'avg_norm_sq_drifts': 0.31197044253349304, 'norm_sq_avg_drift': 0.03520508110523224, 'round_steps': 880}
{'round': 11, 'accuracy': 0.9151376146788991, 'testing_loss': 0.3415548388756504, 'training_loss': 0.09290948922995002, 'variance': 0.2515169084072113, 'avg_norm_sq_drifts': 0.28186509013175964, 'norm_sq_avg_drift': 0.030348170548677444, 'round_steps': 704}
{'round': 12, 'accuracy': 0.9243119266055045, 'testing_loss': 0.2561032243933819, 'training_loss': 0.08978759604578294, 'variance': 0.3016310930252075, 'avg_norm_sq_drifts': 0.3405950963497162, 'norm_sq_avg_drift': 0.03896398842334747, 'round_steps': 880}
{'round': 13, 'accuracy': 0.911697247706422, 'testing_loss': 0.36016036485911374, 'training_loss': 0.035709234588074644, 'variance': 0.2840416431427002, 'avg_norm_sq_drifts': 0.32023927569389343, 'norm_sq_avg_drift': 0.036197636276483536, 'round_steps': 1496}
{'round': 14, 'accuracy': 0.9220183486238532, 'testing_loss': 0.2968646726942698, 'training_loss': 0.10247988503254005, 'variance': 0.15632683038711548, 'avg_norm_sq_drifts': 0.1750461310148239, 'norm_sq_avg_drift': 0.018719296902418137, 'round_steps': 440}
{'round': 15, 'accuracy': 0.930045871559633, 'testing_loss': 0.268876003833069, 'training_loss': 0.05630511141251907, 'variance': 0.2994082570075989, 'avg_norm_sq_drifts': 0.3372158706188202, 'norm_sq_avg_drift': 0.03780762106180191, 'round_steps': 1056}
{'round': 16, 'accuracy': 0.9059633027522935, 'testing_loss': 0.3943703690372352, 'training_loss': 0.061275374343094914, 'variance': 0.23997804522514343, 'avg_norm_sq_drifts': 0.26872485876083374, 'norm_sq_avg_drift': 0.02874680608510971, 'round_steps': 880}
{'round': 17, 'accuracy': 0.9277522935779816, 'testing_loss': 0.26308118005458336, 'training_loss': 0.09043574675639057, 'variance': 0.2227383553981781, 'avg_norm_sq_drifts': 0.24961142241954803, 'norm_sq_avg_drift': 0.026873070746660233, 'round_steps': 616}
{'round': 18, 'accuracy': 0.9231651376146789, 'testing_loss': 0.3156804353500174, 'training_loss': 0.05888179151702113, 'variance': 0.30026254057884216, 'avg_norm_sq_drifts': 0.3368799388408661, 'norm_sq_avg_drift': 0.03661740943789482, 'round_steps': 1056}
{'round': 19, 'accuracy': 0.9357798165137615, 'testing_loss': 0.24572326571610115, 'training_loss': 0.07599362137137944, 'variance': 0.2557075023651123, 'avg_norm_sq_drifts': 0.28635603189468384, 'norm_sq_avg_drift': 0.030648531392216682, 'round_steps': 792}
{'round': 20, 'accuracy': 0.9174311926605505, 'testing_loss': 0.327300880302423, 'training_loss': 0.044757281585689, 'variance': 0.2789930999279022, 'avg_norm_sq_drifts': 0.31269371509552, 'norm_sq_avg_drift': 0.033700618892908096, 'round_steps': 1232}
{'round': 21, 'accuracy': 0.9357798165137615, 'testing_loss': 0.2527718390367494, 'training_loss': 0.06160080856076213, 'variance': 0.19462043046951294, 'avg_norm_sq_drifts': 0.21714448928833008, 'norm_sq_avg_drift': 0.022524062544107437, 'round_steps': 704}
{'round': 22, 'accuracy': 0.9288990825688074, 'testing_loss': 0.29240237717215534, 'training_loss': 0.06718449025621058, 'variance': 0.21964816749095917, 'avg_norm_sq_drifts': 0.24552766978740692, 'norm_sq_avg_drift': 0.025879506021738052, 'round_steps': 704}
{'round': 23, 'accuracy': 0.9334862385321101, 'testing_loss': 0.2689372145772672, 'training_loss': 0.05045504329034671, 'variance': 0.2543460726737976, 'avg_norm_sq_drifts': 0.28454822301864624, 'norm_sq_avg_drift': 0.030202146619558334, 'round_steps': 968}
{'round': 24, 'accuracy': 0.9311926605504587, 'testing_loss': 0.2815578548547944, 'training_loss': 0.0356337978858495, 'variance': 0.2132919728755951, 'avg_norm_sq_drifts': 0.23802857100963593, 'norm_sq_avg_drift': 0.024736590683460236, 'round_steps': 1056}
{'round': 25, 'accuracy': 0.930045871559633, 'testing_loss': 0.29557079848018475, 'training_loss': 0.05502015041670879, 'variance': 0.16078831255435944, 'avg_norm_sq_drifts': 0.18050073087215424, 'norm_sq_avg_drift': 0.01971242018043995, 'round_steps': 616}
{'round': 26, 'accuracy': 0.9277522935779816, 'testing_loss': 0.30766905215729046, 'training_loss': 0.06004739827503082, 'variance': 0.21846060454845428, 'avg_norm_sq_drifts': 0.2445354461669922, 'norm_sq_avg_drift': 0.026074843481183052, 'round_steps': 792}
{'round': 27, 'accuracy': 0.9288990825688074, 'testing_loss': 0.2719343401256141, 'training_loss': 0.0686220510405154, 'variance': 0.23002497851848602, 'avg_norm_sq_drifts': 0.2572910189628601, 'norm_sq_avg_drift': 0.027266040444374084, 'round_steps': 792}
{'round': 28, 'accuracy': 0.9174311926605505, 'testing_loss': 0.40239749870710545, 'training_loss': 0.033242375176744984, 'variance': 0.22858257591724396, 'avg_norm_sq_drifts': 0.2555099427700043, 'norm_sq_avg_drift': 0.026927364990115166, 'round_steps': 1232}
{'round': 29, 'accuracy': 0.9369266055045872, 'testing_loss': 0.2665724600765399, 'training_loss': 0.04663678566388605, 'variance': 0.15114252269268036, 'avg_norm_sq_drifts': 0.16930244863033295, 'norm_sq_avg_drift': 0.018159925937652588, 'round_steps': 704}
{'round': 30, 'accuracy': 0.9151376146788991, 'testing_loss': 0.3718865964894926, 'training_loss': 0.06820349363958261, 'variance': 0.1787402480840683, 'avg_norm_sq_drifts': 0.2009284794330597, 'norm_sq_avg_drift': 0.022188227623701096, 'round_steps': 616}
{'round': 31, 'accuracy': 0.911697247706422, 'testing_loss': 0.39016095431571735, 'training_loss': 0.03512647401861835, 'variance': 0.23068098723888397, 'avg_norm_sq_drifts': 0.25629645586013794, 'norm_sq_avg_drift': 0.02561546303331852, 'round_steps': 1056}
{'round': 32, 'accuracy': 0.9323394495412844, 'testing_loss': 0.26225701283886194, 'training_loss': 0.04696937965262981, 'variance': 0.18826957046985626, 'avg_norm_sq_drifts': 0.21001239120960236, 'norm_sq_avg_drift': 0.021742824465036392, 'round_steps': 792}
{'round': 33, 'accuracy': 0.9323394495412844, 'testing_loss': 0.27788438147986994, 'training_loss': 0.0412612218009078, 'variance': 0.20462006330490112, 'avg_norm_sq_drifts': 0.22733905911445618, 'norm_sq_avg_drift': 0.02271900326013565, 'round_steps': 880}
{'round': 34, 'accuracy': 0.9311926605504587, 'testing_loss': 0.2886967793408217, 'training_loss': 0.026423057855411925, 'variance': 0.1868589073419571, 'avg_norm_sq_drifts': 0.20846763253211975, 'norm_sq_avg_drift': 0.02160872146487236, 'round_steps': 1232}
{'round': 35, 'accuracy': 0.9288990825688074, 'testing_loss': 0.2502531882745551, 'training_loss': 0.07376607051861853, 'variance': 0.13825953006744385, 'avg_norm_sq_drifts': 0.15386444330215454, 'norm_sq_avg_drift': 0.015604906715452671, 'round_steps': 440}
{'round': 36, 'accuracy': 0.9311926605504587, 'testing_loss': 0.2705309288600276, 'training_loss': 0.039322600484085306, 'variance': 0.27133744955062866, 'avg_norm_sq_drifts': 0.3041827380657196, 'norm_sq_avg_drift': 0.03284527733922005, 'round_steps': 1144}
{'round': 37, 'accuracy': 0.926605504587156, 'testing_loss': 0.3171499376425545, 'training_loss': 0.04436969885078971, 'variance': 0.1960117518901825, 'avg_norm_sq_drifts': 0.21921439468860626, 'norm_sq_avg_drift': 0.023202640935778618, 'round_steps': 880}
{'round': 38, 'accuracy': 0.9369266055045872, 'testing_loss': 0.263013147143567, 'training_loss': 0.03980859740511898, 'variance': 0.17596390843391418, 'avg_norm_sq_drifts': 0.19660988450050354, 'norm_sq_avg_drift': 0.020645979791879654, 'round_steps': 880}
{'round': 39, 'accuracy': 0.9346330275229358, 'testing_loss': 0.253981425553195, 'training_loss': 0.05489212057971647, 'variance': 0.16788966953754425, 'avg_norm_sq_drifts': 0.18786095082759857, 'norm_sq_avg_drift': 0.01997128315269947, 'round_steps': 616}
{'round': 40, 'accuracy': 0.9334862385321101, 'testing_loss': 0.2887409070455694, 'training_loss': 0.030619729287535168, 'variance': 0.2168101817369461, 'avg_norm_sq_drifts': 0.24228611588478088, 'norm_sq_avg_drift': 0.02547593042254448, 'round_steps': 1144}
{'round': 41, 'accuracy': 0.9369266055045872, 'testing_loss': 0.25502384329960176, 'training_loss': 0.0544050577876515, 'variance': 0.15685240924358368, 'avg_norm_sq_drifts': 0.1755770742893219, 'norm_sq_avg_drift': 0.018724661320447922, 'round_steps': 616}
{'round': 42, 'accuracy': 0.9392201834862385, 'testing_loss': 0.26765793062884835, 'training_loss': 0.034354984696997375, 'variance': 0.21748080849647522, 'avg_norm_sq_drifts': 0.2426004707813263, 'norm_sq_avg_drift': 0.02511966973543167, 'round_steps': 1056}
Finished Testing!
