Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 3,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'SGD',
 'server_opt_lr': 1.0,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.7044960960335688, 'training_loss': 0.43767929006761264, 'variance': 0.01617581397294998, 'avg_norm_sq_drifts': 0.01884821616113186, 'norm_sq_avg_drift': 0.002672402886673808, 'round_steps': 264}
{'round': 2, 'accuracy': 0.5091743119266054, 'testing_loss': 0.8102385322435186, 'training_loss': 0.3270070480382084, 'variance': 0.016881819814443588, 'avg_norm_sq_drifts': 0.023598235100507736, 'norm_sq_avg_drift': 0.006716414354741573, 'round_steps': 264}
{'round': 3, 'accuracy': 0.823394495412844, 'testing_loss': 0.402602488157946, 'training_loss': 0.3690162428781729, 'variance': 0.04884064197540283, 'avg_norm_sq_drifts': 0.08070043474435806, 'norm_sq_avg_drift': 0.03185979276895523, 'round_steps': 264}
{'round': 4, 'accuracy': 0.9048165137614679, 'testing_loss': 0.2678140077500715, 'training_loss': 0.29911501433305215, 'variance': 0.07327142357826233, 'avg_norm_sq_drifts': 0.09574905037879944, 'norm_sq_avg_drift': 0.022477630525827408, 'round_steps': 264}
{'round': 5, 'accuracy': 0.7419724770642202, 'testing_loss': 0.6713786562306618, 'training_loss': 0.18437952552128328, 'variance': 0.1098465770483017, 'avg_norm_sq_drifts': 0.1263354867696762, 'norm_sq_avg_drift': 0.01648890972137451, 'round_steps': 264}
{'round': 6, 'accuracy': 0.841743119266055, 'testing_loss': 0.4552591926324258, 'training_loss': 0.18580631592423852, 'variance': 0.06618496775627136, 'avg_norm_sq_drifts': 0.07880665361881256, 'norm_sq_avg_drift': 0.0126216821372509, 'round_steps': 264}
{'round': 7, 'accuracy': 0.911697247706422, 'testing_loss': 0.2114883238500958, 'training_loss': 0.2996750125449828, 'variance': 0.11392408609390259, 'avg_norm_sq_drifts': 0.13256049156188965, 'norm_sq_avg_drift': 0.01863640546798706, 'round_steps': 264}
{'round': 8, 'accuracy': 0.9174311926605505, 'testing_loss': 0.21959409126242913, 'training_loss': 0.22909260204248832, 'variance': 0.10342252999544144, 'avg_norm_sq_drifts': 0.1193762943148613, 'norm_sq_avg_drift': 0.01595376618206501, 'round_steps': 264}
{'round': 9, 'accuracy': 0.9048165137614679, 'testing_loss': 0.2769737780572624, 'training_loss': 0.19765138483966108, 'variance': 0.09492815285921097, 'avg_norm_sq_drifts': 0.10894539207220078, 'norm_sq_avg_drift': 0.014017242006957531, 'round_steps': 264}
{'round': 10, 'accuracy': 0.9002293577981652, 'testing_loss': 0.272728352029936, 'training_loss': 0.16818795336082323, 'variance': 0.06920232623815536, 'avg_norm_sq_drifts': 0.07856064289808273, 'norm_sq_avg_drift': 0.009358313865959644, 'round_steps': 264}
{'round': 11, 'accuracy': 0.8772935779816514, 'testing_loss': 0.3272747103842573, 'training_loss': 0.199981393451559, 'variance': 0.12368078529834747, 'avg_norm_sq_drifts': 0.1390213817358017, 'norm_sq_avg_drift': 0.015340594574809074, 'round_steps': 264}
