Using device: cuda:1
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 15,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'SGD',
 'server_opt_momentum': 0.9,
 'server_opt_lr': 1.0,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.4908256880733945, 'testing_loss': 0.7084854212375956, 'training_loss': 0.4547697996888239, 'variance': 0.013217166066169739, 'avg_norm_sq_drifts': 0.01498801726847887, 'norm_sq_avg_drift': 0.001770851667970419, 'round_steps': 1320}
{'round': 2, 'accuracy': 0.5091743119266054, 'testing_loss': 0.8104041494907589, 'training_loss': 0.3477324521539479, 'variance': 0.011761374771595001, 'avg_norm_sq_drifts': 0.016687646508216858, 'norm_sq_avg_drift': 0.004926271270960569, 'round_steps': 1320}
{'round': 3, 'accuracy': 0.8692660550458715, 'testing_loss': 0.40312913196896194, 'training_loss': 0.393396560007664, 'variance': 0.010303129442036152, 'avg_norm_sq_drifts': 0.02170807681977749, 'norm_sq_avg_drift': 0.011404947377741337, 'round_steps': 1320}
{'round': 4, 'accuracy': 0.911697247706422, 'testing_loss': 0.33933185921862313, 'training_loss': 0.20754684800620785, 'variance': 0.013896044343709946, 'avg_norm_sq_drifts': 0.027231259271502495, 'norm_sq_avg_drift': 0.01333521492779255, 'round_steps': 1320}
{'round': 5, 'accuracy': 0.8990825688073395, 'testing_loss': 0.4648658221079156, 'training_loss': 0.1135251924121456, 'variance': 0.013299593701958656, 'avg_norm_sq_drifts': 0.01584446430206299, 'norm_sq_avg_drift': 0.002544870600104332, 'round_steps': 1320}
{'round': 6, 'accuracy': 0.7545871559633027, 'testing_loss': 1.1270369617524771, 'training_loss': 0.11742778262616467, 'variance': 0.014981063082814217, 'avg_norm_sq_drifts': 0.018796853721141815, 'norm_sq_avg_drift': 0.003815790405496955, 'round_steps': 1320}
{'round': 7, 'accuracy': 0.8818807339449541, 'testing_loss': 0.3534775555150908, 'training_loss': 0.16788292748407305, 'variance': 0.02045944519340992, 'avg_norm_sq_drifts': 0.02645767293870449, 'norm_sq_avg_drift': 0.005998228210955858, 'round_steps': 1320}
{'round': 8, 'accuracy': 0.9013761467889908, 'testing_loss': 0.2468776875816354, 'training_loss': 0.14068403657118211, 'variance': 0.016995402052998543, 'avg_norm_sq_drifts': 0.020941494032740593, 'norm_sq_avg_drift': 0.00394609197974205, 'round_steps': 1320}
{'round': 9, 'accuracy': 0.9094036697247706, 'testing_loss': 0.29256198960014645, 'training_loss': 0.10726327388746348, 'variance': 0.014918732456862926, 'avg_norm_sq_drifts': 0.01836307719349861, 'norm_sq_avg_drift': 0.003444344736635685, 'round_steps': 1320}
{'round': 10, 'accuracy': 0.9036697247706422, 'testing_loss': 0.44706926043407025, 'training_loss': 0.10784446108629324, 'variance': 0.013999901711940765, 'avg_norm_sq_drifts': 0.016774220392107964, 'norm_sq_avg_drift': 0.002774318214505911, 'round_steps': 1320}
{'round': 11, 'accuracy': 0.8405963302752294, 'testing_loss': 0.8925369731931231, 'training_loss': 0.10486406687009024, 'variance': 0.015083597972989082, 'avg_norm_sq_drifts': 0.018073944374918938, 'norm_sq_avg_drift': 0.0029903468675911427, 'round_steps': 1320}
{'round': 12, 'accuracy': 0.9025229357798165, 'testing_loss': 0.422383524868915, 'training_loss': 0.11630738843150194, 'variance': 0.0149587607011199, 'avg_norm_sq_drifts': 0.018532682210206985, 'norm_sq_avg_drift': 0.0035739217419177294, 'round_steps': 1320}
{'round': 13, 'accuracy': 0.9105504587155964, 'testing_loss': 0.3061225302624217, 'training_loss': 0.06386161026503226, 'variance': 0.009911734610795975, 'avg_norm_sq_drifts': 0.011466248892247677, 'norm_sq_avg_drift': 0.0015545147471129894, 'round_steps': 1320}
{'round': 14, 'accuracy': 0.9128440366972477, 'testing_loss': 0.28414534728166674, 'training_loss': 0.09286381905508001, 'variance': 0.01283046044409275, 'avg_norm_sq_drifts': 0.015412203967571259, 'norm_sq_avg_drift': 0.0025817437563091516, 'round_steps': 1320}
{'round': 15, 'accuracy': 0.9197247706422018, 'testing_loss': 0.29405867442149036, 'training_loss': 0.08464122584974879, 'variance': 0.012083562090992928, 'avg_norm_sq_drifts': 0.014333068393170834, 'norm_sq_avg_drift': 0.0022495058365166187, 'round_steps': 1320}
{'round': 16, 'accuracy': 0.9185779816513762, 'testing_loss': 0.31068487097191466, 'training_loss': 0.08476943703007787, 'variance': 0.011047018691897392, 'avg_norm_sq_drifts': 0.012996322475373745, 'norm_sq_avg_drift': 0.001949303550645709, 'round_steps': 1320}
{'round': 17, 'accuracy': 0.9139908256880734, 'testing_loss': 0.38090357861915225, 'training_loss': 0.09588025635496017, 'variance': 0.013183113187551498, 'avg_norm_sq_drifts': 0.015512160025537014, 'norm_sq_avg_drift': 0.0023290470708161592, 'round_steps': 1320}
{'round': 18, 'accuracy': 0.9185779816513762, 'testing_loss': 0.3758395407648587, 'training_loss': 0.08392065778235153, 'variance': 0.012593960389494896, 'avg_norm_sq_drifts': 0.014705692417919636, 'norm_sq_avg_drift': 0.00211173202842474, 'round_steps': 1320}
{'round': 19, 'accuracy': 0.9334862385321101, 'testing_loss': 0.28841364057561053, 'training_loss': 0.09625786368482211, 'variance': 0.01346082054078579, 'avg_norm_sq_drifts': 0.015805697068572044, 'norm_sq_avg_drift': 0.002344876527786255, 'round_steps': 1320}
{'round': 20, 'accuracy': 0.9288990825688074, 'testing_loss': 0.26851162543881324, 'training_loss': 0.07481470284079865, 'variance': 0.011197770945727825, 'avg_norm_sq_drifts': 0.013039414770901203, 'norm_sq_avg_drift': 0.0018416435923427343, 'round_steps': 1320}
{'round': 21, 'accuracy': 0.9254587155963303, 'testing_loss': 0.28984301750293995, 'training_loss': 0.07338560659570414, 'variance': 0.010819987393915653, 'avg_norm_sq_drifts': 0.01265157014131546, 'norm_sq_avg_drift': 0.0018315823981538415, 'round_steps': 1320}
{'round': 22, 'accuracy': 0.9013761467889908, 'testing_loss': 0.4313131084517734, 'training_loss': 0.0749331346284412, 'variance': 0.012006096541881561, 'avg_norm_sq_drifts': 0.014173710718750954, 'norm_sq_avg_drift': 0.0021676141768693924, 'round_steps': 1320}
{'round': 23, 'accuracy': 0.9277522935779816, 'testing_loss': 0.34783540648040295, 'training_loss': 0.06531046202092836, 'variance': 0.010723200626671314, 'avg_norm_sq_drifts': 0.012954157777130604, 'norm_sq_avg_drift': 0.002230956917628646, 'round_steps': 1320}
{'round': 24, 'accuracy': 0.9323394495412844, 'testing_loss': 0.31022022394545523, 'training_loss': 0.054680894334423046, 'variance': 0.009591754525899887, 'avg_norm_sq_drifts': 0.01133093610405922, 'norm_sq_avg_drift': 0.0017391820438206196, 'round_steps': 1320}
{'round': 25, 'accuracy': 0.9380733944954128, 'testing_loss': 0.2848170606324556, 'training_loss': 0.049573088519847486, 'variance': 0.009768495336174965, 'avg_norm_sq_drifts': 0.011579545214772224, 'norm_sq_avg_drift': 0.001811049529351294, 'round_steps': 1320}
{'round': 26, 'accuracy': 0.8967889908256881, 'testing_loss': 0.4019583383732082, 'training_loss': 0.06905712372594122, 'variance': 0.011908912099897861, 'avg_norm_sq_drifts': 0.014266151003539562, 'norm_sq_avg_drift': 0.0023572389036417007, 'round_steps': 1320}
{'round': 27, 'accuracy': 0.8910550458715596, 'testing_loss': 0.47385496683920725, 'training_loss': 0.07944941715959086, 'variance': 0.012765450403094292, 'avg_norm_sq_drifts': 0.01501927524805069, 'norm_sq_avg_drift': 0.0022538243792951107, 'round_steps': 1320}
{'round': 28, 'accuracy': 0.8761467889908257, 'testing_loss': 0.5110582955383323, 'training_loss': 0.05204729865331521, 'variance': 0.009061110205948353, 'avg_norm_sq_drifts': 0.010150221176445484, 'norm_sq_avg_drift': 0.0010891107376664877, 'round_steps': 1320}
{'round': 29, 'accuracy': 0.9231651376146789, 'testing_loss': 0.28638097364588966, 'training_loss': 0.05336226018011151, 'variance': 0.008822537027299404, 'avg_norm_sq_drifts': 0.010571441613137722, 'norm_sq_avg_drift': 0.0017489049350842834, 'round_steps': 1320}
{'round': 30, 'accuracy': 0.9334862385321101, 'testing_loss': 0.2818877016090833, 'training_loss': 0.06881668934129051, 'variance': 0.010230745188891888, 'avg_norm_sq_drifts': 0.012132685631513596, 'norm_sq_avg_drift': 0.001901940442621708, 'round_steps': 1320}
{'round': 31, 'accuracy': 0.9174311926605505, 'testing_loss': 0.40066488552838564, 'training_loss': 0.04305911813786466, 'variance': 0.007592841982841492, 'avg_norm_sq_drifts': 0.008838806301355362, 'norm_sq_avg_drift': 0.0012459643185138702, 'round_steps': 1320}
{'round': 32, 'accuracy': 0.8990825688073395, 'testing_loss': 0.5212782429353122, 'training_loss': 0.050783337148904525, 'variance': 0.009311934001743793, 'avg_norm_sq_drifts': 0.010599898174405098, 'norm_sq_avg_drift': 0.0012879640562459826, 'round_steps': 1320}
{'round': 33, 'accuracy': 0.9094036697247706, 'testing_loss': 0.42960825800087193, 'training_loss': 0.045976140049255834, 'variance': 0.009283218532800674, 'avg_norm_sq_drifts': 0.010757507756352425, 'norm_sq_avg_drift': 0.0014742887578904629, 'round_steps': 1320}
{'round': 34, 'accuracy': 0.9174311926605505, 'testing_loss': 0.36900221892834667, 'training_loss': 0.03859892751198758, 'variance': 0.008394653908908367, 'avg_norm_sq_drifts': 0.009453371167182922, 'norm_sq_avg_drift': 0.0010587172582745552, 'round_steps': 1320}
{'round': 35, 'accuracy': 0.9277522935779816, 'testing_loss': 0.3075425639019509, 'training_loss': 0.05681249474773296, 'variance': 0.010840827599167824, 'avg_norm_sq_drifts': 0.012412975542247295, 'norm_sq_avg_drift': 0.0015721474774181843, 'round_steps': 1320}
{'round': 36, 'accuracy': 0.9369266055045872, 'testing_loss': 0.29271520307336835, 'training_loss': 0.05176215922768981, 'variance': 0.00984407588839531, 'avg_norm_sq_drifts': 0.011886458843946457, 'norm_sq_avg_drift': 0.002042382722720504, 'round_steps': 1320}
