Using device: cuda:0
{'checkpoint': 'roberta-base',
 'ds_path': 'glue',
 'ds_name': 'sst2',
 'num_labels': 2,
 'num_clients': 100,
 'clients_per_round': 10,
 'alpha': 1.0,
 'batch_size': 8,
 'local_epochs': 15,
 'max_epochs': -1,
 'total_rounds': 200,
 'fda': False,
 'theta': 0.0,
 'extras': '',
 'server_opt_name': 'Adagrad',
 'server_opt_lr': 0.0001,
 'client_opt_name': 'SGD',
 'client_opt_lr': 0.0001}

{'round': 1, 'accuracy': 0.4988532110091743, 'testing_loss': 0.6847718193990375, 'training_loss': 0.4547697996888239, 'variance': 0.013217166066169739, 'avg_norm_sq_drifts': 0.01498801726847887, 'norm_sq_avg_drift': 0.001770851667970419, 'round_steps': 1320}
{'round': 2, 'accuracy': 0.7396788990825688, 'testing_loss': 0.5898520766390026, 'training_loss': 0.27373355780678776, 'variance': 0.011571602895855904, 'avg_norm_sq_drifts': 0.01915600895881653, 'norm_sq_avg_drift': 0.007584406528621912, 'round_steps': 1320}
{'round': 3, 'accuracy': 0.9002293577981652, 'testing_loss': 0.35597292449188617, 'training_loss': 0.17308114543557165, 'variance': 0.01427855808287859, 'avg_norm_sq_drifts': 0.020865699276328087, 'norm_sq_avg_drift': 0.006587141193449497, 'round_steps': 1320}
{'round': 4, 'accuracy': 0.9139908256880734, 'testing_loss': 0.29480353623645705, 'training_loss': 0.12499601940659695, 'variance': 0.01707247644662857, 'avg_norm_sq_drifts': 0.02059311978518963, 'norm_sq_avg_drift': 0.0035206428728997707, 'round_steps': 1320}
{'round': 5, 'accuracy': 0.926605504587156, 'testing_loss': 0.2701393531127021, 'training_loss': 0.07347978312086498, 'variance': 0.009990050457417965, 'avg_norm_sq_drifts': 0.011403153650462627, 'norm_sq_avg_drift': 0.001413103542290628, 'round_steps': 1320}
{'round': 6, 'accuracy': 0.8761467889908257, 'testing_loss': 0.4785513394478059, 'training_loss': 0.07698573063349945, 'variance': 0.011288592591881752, 'avg_norm_sq_drifts': 0.013073672540485859, 'norm_sq_avg_drift': 0.001785079948604107, 'round_steps': 1320}
{'round': 7, 'accuracy': 0.9334862385321101, 'testing_loss': 0.230806753774165, 'training_loss': 0.12320074337813298, 'variance': 0.018316244706511497, 'avg_norm_sq_drifts': 0.021325726062059402, 'norm_sq_avg_drift': 0.0030094811227172613, 'round_steps': 1320}
{'round': 8, 'accuracy': 0.930045871559633, 'testing_loss': 0.26793961636636643, 'training_loss': 0.10399544293085591, 'variance': 0.016337962821125984, 'avg_norm_sq_drifts': 0.01875142566859722, 'norm_sq_avg_drift': 0.002413463080301881, 'round_steps': 1320}
{'round': 9, 'accuracy': 0.9254587155963303, 'testing_loss': 0.2577064442768727, 'training_loss': 0.08219517433269755, 'variance': 0.014394177123904228, 'avg_norm_sq_drifts': 0.0161980539560318, 'norm_sq_avg_drift': 0.001803876948542893, 'round_steps': 1320}
{'round': 10, 'accuracy': 0.9231651376146789, 'testing_loss': 0.29156635040011464, 'training_loss': 0.0810923190853756, 'variance': 0.013820385560393333, 'avg_norm_sq_drifts': 0.015643959864974022, 'norm_sq_avg_drift': 0.0018235747702419758, 'round_steps': 1320}
{'round': 11, 'accuracy': 0.9197247706422018, 'testing_loss': 0.3090285465608291, 'training_loss': 0.06345992122949666, 'variance': 0.01288280263543129, 'avg_norm_sq_drifts': 0.01442550029605627, 'norm_sq_avg_drift': 0.0015426971949636936, 'round_steps': 1320}
