,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.7272714095957139,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,2,0.3161764705882353,0.0,0.7018810417137894,0.6533575660652584,0.0006916441489011049,0.0008376257610507309,0.0001459815975977108
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6758195991609611,0.6571757740444607,0.0004133184556849301,0.0005035081994719803,9.018973651109263e-05
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6531585525063908,0.6213954773214129,0.0006001431029289961,0.0006589631084352732,5.882002733414993e-05
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6405837115119485,0.6775895165072547,0.00039000940159894526,0.0004328625800553709,4.285318573238328e-05
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6291666264627495,0.5481528447733985,0.00017960021796170622,0.00037119665648788214,0.00019159643852617592
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6252935651470634,0.7012472768624625,0.00035528207081370056,0.0004571595636662096,0.00010187748557655141
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6243787092321059,0.49435890648100117,0.00039096258115023375,0.00046591126010753214,7.494866440538317e-05
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6260874323985156,0.6458406441741519,0.0006614953163079917,0.0007234007935039699,6.190545536810532e-05
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6275070864780277,0.6828298191229503,0.0004849653923884034,0.0005806631525047123,9.56977455643937e-05
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6271000755768196,0.6955369211733341,0.0005253104609437287,0.0006538500310853124,0.00012853957014158368
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6260374720190086,0.5994591552764177,0.000578872102778405,0.0006087422952987254,2.9870176149415784e-05
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6249246538854113,0.5902274951338768,0.0006798658287152648,0.000693374196998775,1.3508386473404244e-05
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.33,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6243552320143756,0.5324023984372616,0.00029183528386056423,0.0002997320843860507,7.89680598245468e-06
