,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,1,0.39215686274509803,0.3473684210526316,0.6943442844877056,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6749162229837156,0.6292839381429884,0.0006868917844258249,0.0007708130870014429,8.392132440349087e-05
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6630320829503676,0.6400127503607008,0.00041403830982744694,0.00045805569970980287,4.40173753304407e-05
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6534991533148522,0.612095093064838,0.0006865350296720862,0.0007331412052735686,4.660616104956716e-05
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6637310245457817,0.6767458975315093,0.0003941926988773048,0.00043630594154819846,4.2113246308872476e-05
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6391820182987288,0.5934749338361952,0.00017383991507813334,0.00047504084068350494,0.0003012009256053716
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.648106479177288,0.6829294833872053,0.00035616045352071524,0.00041320864693261683,5.7048178859986365e-05
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6326253098600051,0.5514229052596622,0.00037118722684681416,0.0005724166403524578,0.0002012294135056436
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6345616625804528,0.6238078322675492,0.000622099672909826,0.0006314204656518996,9.320787285105325e-06
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6365666366090962,0.6472749928633371,0.00038518893416039646,0.0003925080818589777,7.319143605855061e-06
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6397873373592601,0.6459477700293064,0.0004929382703267038,0.0005093796062283218,1.644132316869218e-05
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6357429565167895,0.5940813548862934,0.000526022573467344,0.0005426878924481571,1.6665318980813026e-05
