,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,1,0.3273560876209883,1.1036328049627084,0.3295362082994304,1.103045630008831,0.5296660501100122,0.07776346057653427,0.09730901569128036,0.019545553252100945,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,2,0.3273560876209883,1.1056490546819535,0.3295362082994304,1.1050696403539888,0.5997444426494651,0.6346158981323242,0.7966617941856384,0.1620458960533142,250
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,3,0.4046867040244524,1.091140358741437,0.41649715215622457,1.0902266874363793,0.4797434223520104,1.1958582401275635,1.4926707744598389,0.29681259393692017,200
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,4,0.6388181355068773,1.0537592904200472,0.6391375101708706,1.0520110370377587,0.29925335696300015,2.224135637283325,2.6555378437042236,0.4314022660255432,250
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,5,0.6363728986245543,0.9949604943212496,0.6339503661513426,0.9919273477923686,0.17694457901210164,2.6797170639038086,3.1314244270324707,0.45170727372169495,350
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,6,0.6392256749872643,0.913186351312499,0.637713588283157,0.9082308727323378,0.23210381206471942,2.1423773765563965,2.621589422225952,0.4792121648788452,250
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,7,0.6450331125827815,0.8146476009169923,0.6439178193653377,0.8068978069418324,0.18422626511577977,2.4969701766967773,2.920705795288086,0.42373567819595337,250
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,8,0.7020886398369842,0.7197462470675253,0.6965012205044752,0.7083724876115534,0.31890035017838814,2.5662288665771484,3.025646686553955,0.45941781997680664,200
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,9,0.7859398879266429,0.6342907690890164,0.7820382424735557,0.6197397159041187,0.17256128034039497,3.4925942420959473,4.122079372406006,0.629485011100769,350
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,10,0.8241467142129394,0.5579237634560492,0.8276037428803905,0.540693699804334,0.18879635945156278,2.535727024078369,2.8843681812286377,0.34864115715026855,300
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,11,0.8376974019358125,0.49502601364616855,0.8471318144833198,0.47444545969282154,0.15126045169192365,2.107703685760498,2.404334306716919,0.2966306805610657,200
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,Adam,0.0001,SGD,0.01,12,0.8414671421293938,0.4478168290749059,0.8554719283970708,0.42473953382769086,0.1900115234600525,2.933317184448242,3.3162407875061035,0.38292354345321655,300
