,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,1,0.3273560876209883,1.2891863175495524,0.3295362082994304,1.288838419611615,0.5296660499311983,0.07776346057653427,0.09730901569128036,0.019545553252100945,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,2,0.42689760570555274,1.2097892275455042,0.41792107404393813,1.2177712978920965,0.6137037114222379,0.5488339066505432,0.6804288625717163,0.1315949708223343,300
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,3,0.7024961793173714,0.630303535662051,0.6929414157851912,0.6317093351793736,0.4320072567756287,0.7691251039505005,0.9668700098991394,0.19774490594863892,100
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,4,0.7944982170147733,0.5224550285155732,0.8086859235150529,0.5006394101241626,0.2528767206421181,1.9017316102981567,2.1814916133880615,0.2797600328922272,200
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,5,0.7789098318899643,0.707315132352459,0.7963791700569569,0.6473783150147056,0.08685706172766261,2.7848799228668213,3.155534505844116,0.3706545829772949,350
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,6,0.7994905756495161,0.5953899241889772,0.8209926769731489,0.534177084155593,0.28665944764538054,2.1898837089538574,2.4885003566741943,0.2986167073249817,150
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,7,0.8071319409067753,0.5776594557284022,0.8321806346623271,0.507200922698019,0.2125661264886148,4.418308258056641,4.928169250488281,0.5098610520362854,150
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,8,0.8191543555781966,0.47939438841623705,0.8409275834011392,0.43180429527158654,0.6970136876228684,2.229363441467285,2.5108659267425537,0.2815024256706238,500
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,9,0.3544574630667346,1.1620293817290857,0.3522172497965826,1.164155977202975,0.546714064373169,1.5345499515533447,1.7510684728622437,0.21651852130889893,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,100,True,True,0.0,,SGD,1.0,SGD,0.01,10,0.31818644931227713,1.2427492449705253,0.318246541903987,1.2440686306398607,0.4423411002811508,0.7382463216781616,0.8210614323616028,0.08281512558460236,500
