,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.3273560876209883,1.256616723955212,0.3295362082994304,1.2561014586585242,1.1048280813694,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.3544574630667346,1.2726303205416274,0.3522172497965826,1.274694198559124,1.0152764600515365,3.4966899420396658e-06,3.978658241976518e-06,4.819683567802713e-07,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.3544574630667346,1.0980584543705376,0.3522172497965826,1.098140428568698,1.197660571038723,5.038521067035617e-06,6.305544957285747e-06,1.2670238902501296e-06,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.31818644931227713,1.5687977125125876,0.318246541903987,1.5706626934865513,1.1049989173412322,4.998064468964003e-06,5.314213012752589e-06,3.1614831641491037e-07,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.3544574630667346,1.1079196440270012,0.3522172497965826,1.1084611206834543,1.594570108771324,5.9074387536384165e-05,0.00013888283865526319,7.980845111887902e-05,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.31818644931227713,1.1059797599535215,0.318246541903987,1.1060934178803974,1.1695067842006686,4.350528797658626e-06,5.731501914851833e-06,1.3809728898195317e-06,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.31818644931227713,1.1271235750473507,0.318246541903987,1.1262758169065559,1.0856599498987198,4.7217436076607555e-06,5.045474154030671e-06,3.2373057479162526e-07,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.31818644931227713,1.116670706841454,0.318246541903987,1.1162379513046816,1.092811658382416,3.108700184384361e-06,3.1418232993019046e-06,3.312301544156071e-08,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.3544574630667346,1.1077689450255428,0.3522172497965826,1.1087635509651594,1.1612822300195693,2.7245380351814674e-06,4.601869932230329e-06,1.8773318970488617e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.31818644931227713,1.120118927353266,0.318246541903987,1.1210470466811644,1.0780716394186018,5.309909283823799e-06,5.7571787692722864e-06,4.472693149182305e-07,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,0.001,SGD,1e-05,11,0.3273560876209883,1.101624138392174,0.3295362082994304,1.1014035284470698,1.2424292223453521,3.088668563577812e-06,6.11350333201699e-06,3.0248347684391774e-06,50
