,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.31818644931227713,1.1033260825210796,0.318246541903987,1.103042284582959,1.1048280813694,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.31788079470198677,1.1023724741729761,0.31814483319772174,1.1021145832451307,1.1186633651256561,3.3373719361406984e-06,4.766116944665555e-06,1.4287450085248565e-06,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.3183902190524707,1.101978498060915,0.31865337672904803,1.101739748500051,1.1025246391296386,5.058160695625702e-06,5.262254944682354e-06,2.0409423484579747e-07,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.31818644931227713,1.1018352532833693,0.318246541903987,1.1016187900639434,1.09641636800766,5.858662007085513e-06,6.141193352959817e-06,2.825315732479794e-07,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.3182883341823739,1.102018454158413,0.3184499593165175,1.1017744369483558,1.0872571983337405,6.602461326110642e-06,6.95243215886876e-06,3.499710601317929e-07,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.31818644931227713,1.1023013938610011,0.318246541903987,1.1020561872797345,1.0864127905368808,5.092779701953987e-06,5.754207450081594e-06,6.614278618144454e-07,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.31818644931227713,1.102655242591149,0.318246541903987,1.1023876646653339,1.0816552824974062,5.668721769325202e-06,6.015323833707953e-06,3.4660214964787883e-07,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.31818644931227713,1.1027340777248702,0.318246541903987,1.102463818837997,1.0923291223049163,3.6127980820310768e-06,3.6508208722807467e-06,3.8022726300823706e-08,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.31818644931227713,1.1021874348322551,0.318246541903987,1.1019543376368561,1.1176560833454132,3.0767164389544632e-06,4.768703092850046e-06,1.691986653895583e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.31818644931227713,1.10230473327559,0.318246541903987,1.1020811291804053,1.0879613585472108,6.339279934763908e-06,6.942475920368452e-06,6.031959856045432e-07,50
