,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.3273560876209883,1.101854428879692,0.3295362082994304,1.1015044765030106,1.104828081846237,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.3273560876209883,1.1056812412387098,0.3295362082994304,1.105429943496372,1.0870896788835525,3.2943080441327766e-06,4.350866220192984e-06,1.0565581760602072e-06,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.32766174223127864,1.1102317264629946,0.32963791700569567,1.1101902394007628,1.0978482525348665,5.205138222663663e-06,5.358358066587243e-06,1.532198439235799e-07,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.3544574630667346,1.108808460183132,0.3522172497965826,1.1089848468612131,1.1409890289306641,6.213340839167358e-06,7.030535925878212e-06,8.171950867108535e-07,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.3544574630667346,1.1068822893070416,0.3522172497965826,1.1070669063035796,1.1027216215133666,6.733938789693639e-06,7.264784926519496e-06,5.308461936692765e-07,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.3544574630667346,1.1027116107571484,0.3522172497965826,1.102854873515223,1.1726651632785798,4.97525525133824e-06,6.592126283067046e-06,1.6168709180419683e-06,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.3544574630667346,1.0996354405435005,0.3522172497965826,1.0996733964023016,1.1303069962263108,5.41168174095219e-06,6.271510301303351e-06,8.59828674037999e-07,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.3890983188996434,1.0980889674795287,0.4034784377542718,1.098038433333351,1.1135872304439545,3.3742867344699334e-06,3.6333360640128376e-06,2.590494432297419e-07,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.3550687722873153,1.097220324653868,0.3525223759153784,1.0972146541728927,1.0926852583885194,2.826845502568176e-06,4.1395346670469735e-06,1.3126890507919597e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.3544574630667346,1.0970932624159349,0.3522172497965826,1.0971393917904724,1.107820288181305,5.798342499474529e-06,6.559542271133978e-06,7.611995442857733e-07,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.3632195618950586,1.0975771792651972,0.3638120423108218,1.0975782364922098,1.0969935505390167,3.3341955258947564e-06,5.2806576604780275e-06,1.946462134583271e-06,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.31818644931227713,1.0979150416118495,0.31834825061025224,1.097923364941913,1.0900946774482727,4.8612409955239855e-06,5.458649411593797e-06,5.974084160698112e-07,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.31818644931227713,1.0983366879779533,0.318246541903987,1.0983731067694718,1.0923009099960326,4.6882350943633355e-06,4.820629328605719e-06,1.3239437635093054e-07,50
13,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.31818644931227713,1.0983757814354496,0.318246541903987,1.098450916874593,1.098238435983658,4.778263246407732e-06,5.228294412518153e-06,4.50030995580164e-07,50
14,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,15,0.31818644931227713,1.0981401446979029,0.318246541903987,1.0982219902260504,1.1048615629673004,4.3567392822296824e-06,4.8859178605198395e-06,5.29178578290157e-07,50
15,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,16,0.32888436067244015,1.0980245268432318,0.3275020341741253,1.0981509379005898,1.082021883249283,4.245446234563133e-06,4.754244400828611e-06,5.087980525786406e-07,50
16,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,17,0.3544574630667346,1.0976581695901735,0.3522172497965826,1.0978441057018966,1.0936500413417816,4.820081358047901e-06,5.314940153766656e-06,4.948589094055933e-07,50
17,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,18,0.3544574630667346,1.0975190983036232,0.3522172497965826,1.0977446317090747,1.0947771737575531,6.0876413954247255e-06,6.1845421441830695e-06,9.690074165291662e-08,50
18,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,19,0.3544574630667346,1.097412892639297,0.3522172497965826,1.0976336509644065,1.104930180311203,6.0449128795880824e-06,6.531302005896578e-06,4.863888989348197e-07,50
19,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,20,0.3544574630667346,1.0974577913074446,0.3522172497965826,1.0976638259491949,1.0958348166942595,2.3980412606761092e-06,2.5760305106814485e-06,1.7798930684875813e-07,50
20,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,21,0.35557819663779927,1.097237228181368,0.35364117168429615,1.097382460889824,1.114218542098999,4.001403794973157e-06,4.707435437012464e-06,7.060317557261442e-07,50
21,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,22,0.4479877738155884,1.0970420355513122,0.46175752644426366,1.0971278009422432,1.0944304360151293,4.922501375403954e-06,4.928591351927025e-06,6.089838411327264e-09,50
22,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,23,0.4568517575140092,1.0965954249917538,0.46430024410089504,1.0966235614579514,1.097837599992752,5.151799996383488e-06,5.474505542224506e-06,3.2270543215418e-07,50
23,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,24,0.35618950585838005,1.0960560585292451,0.3554719283970708,1.0960596010295038,1.0856287896633148,5.946955297986278e-06,6.231138740986353e-06,2.8418349984349334e-07,50
24,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,0.0001,SGD,1e-05,25,0.3544574630667346,1.0955085972021923,0.3522172497965826,1.095482685102303,1.0934692158699033,4.762873686559033e-06,4.7932585403032135e-06,3.0384875060462946e-08,50
