,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,1,0.31818644931227713,1.103287531771889,0.318246541903987,1.102994305123344,1.0519771273136138,0.0005182440509088337,0.0005827536224387586,6.450957880588248e-05,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,2,0.30677534386143657,1.1023550678679102,0.31082180634662326,1.1020630115023273,1.0790198296308517,0.0003045136108994484,0.00043298033415339887,0.0001284667378058657,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,3,0.32633723892002037,1.1015073780908562,0.3287225386493084,1.1012294567921377,1.059070424079895,0.0004618672246579081,0.00048066495219245553,1.8797716620611027e-05,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,4,0.3272542027508915,1.1007753241421638,0.3295362082994304,1.1005244219177035,1.0478345985412598,0.0005359019851312041,0.0005648108199238777,2.8908834792673588e-05,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,5,0.3273560876209883,1.1003752531029873,0.3295362082994304,1.100127066510591,1.0266729700565338,0.0006061552558094263,0.0006367158493958414,3.056060813833028e-05,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,6,0.3273560876209883,1.1001546512120317,0.3295362082994304,1.0999082231831996,1.0464301022291185,0.00047023629304021597,0.0005413605831563473,7.11242901161313e-05,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,7,0.3273560876209883,1.1001390292572606,0.3295362082994304,1.0998795975311875,1.0354353005886079,0.0005260694888420403,0.0005641846801154315,3.811519127339125e-05,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,8,0.3273560876209883,1.1001473069676755,0.3295362082994304,1.0998743513524776,1.0643715778589247,0.00033783752587623894,0.00034519084147177637,7.353306955337757e-06,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,9,0.3273560876209883,1.099843500198731,0.3295362082994304,1.0995823374795564,1.0713721982240678,0.00028920909971930087,0.0004426331433933228,0.00015342404367402196,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,10,0.3272542027508915,1.0995729906148997,0.3295362082994304,1.0993279526154136,1.0366960371732712,0.0006015407852828503,0.0006701148813590407,6.857408152427524e-05,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,11,0.3273560876209883,1.0994107612479287,0.3295362082994304,1.0991593054196425,1.0340258058309555,0.00034851316013373435,0.0005414957413449883,0.000192982581211254,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,12,0.3272542027508915,1.0990709206294313,0.3295362082994304,1.098826685215614,1.0473249962329865,0.0005180371226742864,0.0005955596570856869,7.752252713544294e-05,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,0.0001,13,0.3271523178807947,1.0986515233063952,0.32963791700569567,1.0984202802811724,1.0496487139463426,0.000508087978232652,0.0005310862325131893,2.2998268832452595e-05,50
