,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.31818644931227713,1.1034409048699128,0.318246541903987,1.1031605261336312,1.104828081846237,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.3155374426897606,1.1026697408502046,0.31600895036615134,1.1023956344222712,1.1192844533920288,3.3425494621042162e-06,4.781141797138844e-06,1.4385924487214652e-06,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.30789607743250125,1.1019658707173354,0.3122457282343369,1.1017072717769054,1.1030717782974242,5.069184680905892e-06,5.279211109154858e-06,2.1002657035751326e-07,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.3169638308711156,1.1013745835085855,0.3202807160292921,1.101140139062197,1.0980280768871309,5.860369128640741e-06,6.1607543102581985e-06,3.003851816174574e-07,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.32450331125827814,1.1010431257223052,0.3272986167615948,1.1008154185832857,1.0852154862880707,6.593309990421403e-06,6.9192110458971e-06,3.2590088494544034e-07,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.3254202750891493,1.100885036910756,0.3282139951179821,1.1006629021794356,1.0921020253896714,5.07833055962692e-06,5.8034001995110884e-06,7.25069753571006e-07,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.3262353540499236,1.1008955711451798,0.3287225386493084,1.1006688916460103,1.08520135140419,5.643681106448639e-06,6.027130439179018e-06,3.8344933273037896e-07,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.3262353540499236,1.100934593679464,0.32862082994304315,1.100703223921401,1.094737243413925,3.588429535739124e-06,3.6521910260489676e-06,6.376156846954473e-08,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.32470708099847173,1.1007613501319482,0.3272986167615948,1.100541760128043,1.1128810040950774,3.0506191706081154e-06,4.676706339523662e-06,1.6260871689155465e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.31879775853285786,1.1006332326926345,0.3235353946297803,1.100427483134972,1.0950908715724945,6.289807060966268e-06,6.970110462134471e-06,6.803032306379464e-07,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,11,0.3196128374936322,1.1005723694037304,0.3232302685109845,1.1003670581867289,1.0868684279918672,3.6034850836585974e-06,5.614895144390175e-06,2.0114100607315777e-06,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,12,0.3188996434029547,1.1004145707944204,0.32394222945484136,1.100217834345396,1.1038328058719633,5.279653123579919e-06,6.0701581787725445e-06,7.905049415057874e-07,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,13,0.31920529801324504,1.100238452136468,0.3229251423921888,1.1000532885699663,1.0992276258468627,5.106721800984815e-06,5.322914603311801e-06,2.1619297285724315e-07,50
13,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,14,0.3193071828833418,1.100013121513205,0.32282343368592353,1.0998407507253138,1.0988376970291138,5.213295480643865e-06,5.7073802963714115e-06,4.940846451972902e-07,50
14,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,15,0.32093734080489045,1.0998159922908357,0.3240439381611066,1.0996516379425445,1.0917358531951904,4.738434654427692e-06,5.170964868739247e-06,4.325300722030079e-07,50
15,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,16,0.32103922567498727,1.0995916394363503,0.32414564686737185,1.0994412011494958,1.10034814119339,4.649823495128658e-06,5.3930311878502835e-06,7.432075221913692e-07,50
16,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,17,0.3226693835965359,1.0993274955508567,0.3258746948738812,1.099193191896909,1.0979922354221343,5.2530608627421316e-06,5.836085165356053e-06,5.830243026139215e-07,50
17,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,18,0.32358634742740705,1.0991183590286615,0.3263832384052075,1.0989978825590103,1.0925410029888154,6.667501111223828e-06,6.750597094651312e-06,8.309609711432131e-08,50
18,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,19,0.3236882322975038,1.0989938295266448,0.3263832384052075,1.0988810033309353,1.090144245624542,6.655141987721436e-06,7.022109002718935e-06,3.6696701499749906e-07,50
19,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,20,0.3220580743759552,1.0989036256934728,0.32485760781122863,1.0987976896171165,1.0971134147644042,2.6266313852829626e-06,2.830252242347342e-06,2.0362080022096052e-07,50
20,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,21,0.3228731533367295,1.0988594160491894,0.3258746948738812,1.0987536035193186,1.091666734457016,4.401849309942918e-06,4.926353085465962e-06,5.245037755230442e-07,50
21,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,22,0.3236882322975038,1.098808748214927,0.32628152969894225,1.0987037594867393,1.0956278264522552,5.4141910368343815e-06,5.423556558525888e-06,9.36572419618642e-09,50
22,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,23,0.3256240448293428,1.0987278044272364,0.32780716029292106,1.098624139902939,1.0937047894001006,5.6499320635339245e-06,5.954385869699763e-06,3.0445363563558203e-07,50
23,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,24,0.3256240448293428,1.098600982648139,0.32862082994304315,1.0985035915700665,1.093769680261612,6.536843102367129e-06,6.926507921889424e-06,3.89664677413748e-07,50
24,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,25,0.32674477840040755,1.0984788159577945,0.32882424735557364,1.0983871027548398,1.0934514689445496,5.238271569396602e-06,5.258510554995155e-06,2.02390229020466e-08,50
25,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,26,0.3273560876209883,1.0983400411885642,0.3289259560618389,1.0982606878505672,1.0955232117176057,5.233128831605427e-06,6.430268967960728e-06,1.197140250042139e-06,50
26,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,27,0.3280692817116658,1.0982535172985546,0.33085842148087874,1.0981867192138783,1.096304200410843,5.494066954270238e-06,6.800822575314669e-06,1.3067556210444309e-06,50
27,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,28,0.343046357615894,1.0982023648547272,0.3515052888527258,1.098149305247407,1.094826156616211,5.642191354127135e-06,6.671676146652317e-06,1.0294847925251815e-06,50
28,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,29,0.3801324503311258,1.098095643685519,0.38537428803905616,1.0980605709543065,1.0920590195655824,5.201692147238646e-06,6.074757948226761e-06,8.730655736144399e-07,50
29,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,30,0.37350993377483444,1.0980431835342443,0.3791700569568755,1.0980210761116034,1.0933277099132537,5.836268883285811e-06,6.10463894190616e-06,2.683699733552203e-07,50
30,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,31,0.3718797758532858,1.0980040319780071,0.3776444263628967,1.0979912138450816,1.0949741258621217,4.873860689258436e-06,4.981023266736884e-06,1.0716256326759321e-07,50
31,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,32,0.34610290371879776,1.098012701806346,0.3535394629780309,1.0980039701120363,1.0962638235092164,4.841884674533503e-06,5.189862349652685e-06,3.4797773196260096e-07,50
32,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,33,0.33204279164544065,1.0980275546814624,0.33553702196908053,1.0980198457049004,1.0943445386886599,6.282426511461381e-06,6.378025318554137e-06,9.559870761677303e-08,50
33,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,34,0.3215486500254712,1.0980720960132067,0.3217046379170057,1.0980676072122995,1.090459303855896,5.696600510418648e-06,6.395599029929144e-06,6.989983489802398e-07,50
34,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,35,0.3186958736627611,1.0981188596703702,0.3187550854353133,1.0981180895820102,1.0923959095478057,5.285193310555769e-06,5.315659564075759e-06,3.046613983315183e-08,50
35,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,36,0.31818644931227713,1.098216196338433,0.318246541903987,1.0982182642810223,1.09196244597435,3.5123853194818366e-06,4.093815732630901e-06,5.814302994622267e-07,50
36,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,37,0.3182883341823739,1.0983122121831121,0.318246541903987,1.0983206540030905,1.0918869035243988,3.107117663603276e-06,3.3971516586461803e-06,2.900339381994854e-07,50
37,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,38,0.31818644931227713,1.0983825317707698,0.318246541903987,1.0983894776289205,1.1014200842380526,4.839012035517953e-06,5.989973487885436e-06,1.1509616797411582e-06,50
38,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,39,0.31818644931227713,1.0984207496666383,0.318246541903987,1.098427776595846,1.0954734680652618,5.019624950364232e-06,5.094918378745206e-06,7.529354206781136e-08,50
39,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,40,0.31818644931227713,1.0985478933205328,0.318246541903987,1.0985480777804109,1.0903777110576631,5.8465211623115465e-06,6.9595148488588165e-06,1.1129935728604323e-06,50
40,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,41,0.31818644931227713,1.0986965718848392,0.318246541903987,1.0986827503286598,1.0964883399009706,6.168327217892511e-06,6.958232006581966e-06,7.899049023762927e-07,50
41,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,42,0.31818644931227713,1.0988384669839413,0.318246541903987,1.0988108235903151,1.0936838457584381,4.788309524883516e-06,4.8055749175546225e-06,1.7265525897869338e-08,50
42,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,43,0.31818644931227713,1.0990080367090649,0.318246541903987,1.09896093088015,1.0961886854171754,4.946036369801732e-06,5.645243163598934e-06,6.992066801103647e-07,50
43,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,44,0.31818644931227713,1.0990675370092788,0.318246541903987,1.099003695976065,1.1021634664535525,5.461091859615408e-06,6.486148777185008e-06,1.0250571449432755e-06,50
44,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,45,0.31818644931227713,1.0991249919034838,0.318246541903987,1.0990459489279205,1.0951408736705779,3.70943689631531e-06,3.710611053975299e-06,1.174202957088255e-09,50
45,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,46,0.31818644931227713,1.0991738433262732,0.318246541903987,1.099076127986582,1.1000363507270814,3.892523636750411e-06,4.441184046299895e-06,5.486605800797406e-07,50
46,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,47,0.31818644931227713,1.0992876702241035,0.318246541903987,1.0991710579618388,1.0869673733711243,5.185474492463982e-06,5.568555479840143e-06,3.830810726412892e-07,50
47,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,48,0.31818644931227713,1.0993311255563054,0.318246541903987,1.099198721791788,1.1001493428945541,5.98802625972894e-06,6.350437615765259e-06,3.624113844580279e-07,50
48,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,49,0.31818644931227713,1.0993670675943028,0.318246541903987,1.0992199955576314,1.0936782522201536,5.840676294610603e-06,5.851709829585161e-06,1.1033415958650039e-08,50
49,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,50,0.31818644931227713,1.0994216555390983,0.318246541903987,1.0992591802039895,1.0908549704551695,6.2580356825492345e-06,6.317203315120423e-06,5.916781020687267e-08,50
50,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,51,0.31818644931227713,1.0994465507524422,0.318246541903987,1.099273884364315,1.0938002490997312,5.367165613279212e-06,5.602952569461195e-06,2.357868424951448e-07,50
51,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,52,0.31818644931227713,1.0994668362484585,0.318246541903987,1.099281068542704,1.0961173708438872,4.4639896259468514e-06,4.869077201874461e-06,4.050875190841907e-07,50
52,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,AdamW,1e-05,SGD,1e-05,53,0.31818644931227713,1.0994284169500983,0.318246541903987,1.0992281067361669,1.102094963788986,3.513332558213733e-06,4.747849288833095e-06,1.2345167306193616e-06,50
