,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,1,0.3273560876209883,1.2694178734645674,0.3295362082994304,1.2691718611026606,1.104828081846237,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,2,0.3544574630667346,1.364891998925244,0.3522172497965826,1.3660592924200294,1.0184012629985808,3.6294209166953806e-06,4.165831342106685e-06,5.364104254113045e-07,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,3,0.3544574630667346,1.2038334550756502,0.3522172497965826,1.204971984453178,1.2806970276832579,5.415276973508298e-06,6.918987764947815e-06,1.503710564065841e-06,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,4,0.32552215995924605,1.1114814424281598,0.3209926769731489,1.1123956221696125,1.2536377171278,5.263633283902891e-06,6.844931249361252e-06,1.5812981928320369e-06,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,5,0.31818644931227713,1.1603613895134122,0.318246541903987,1.1594546344631371,1.1495484491586683,5.75736021346529e-06,6.56962356515578e-06,8.122632380036521e-07,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,6,0.31818644931227713,1.4255200173666347,0.318246541903987,1.4235785685970688,1.0423661628961562,4.343197360867634e-06,4.439384156285087e-06,9.618660357091358e-08,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,7,0.31818644931227713,1.203513598335207,0.318246541903987,1.201534216533937,1.1465558895468713,6.656967343587894e-06,8.234549568442162e-06,1.5775824522279436e-06,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,8,0.31818644931227713,1.1752242515411626,0.318246541903987,1.1733945808437805,1.1264619021415712,2.7851319828187115e-06,3.0331045763887232e-06,2.4797267883513996e-07,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,9,0.31818644931227713,1.1228791155170015,0.318246541903987,1.1219573254212798,1.3057448222637178,2.1922537598584313e-06,4.768773123942083e-06,2.5765193640836515e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,10,0.31818644931227713,1.1057573694860245,0.318246541903987,1.1057862318367178,1.0931321519613266,4.218981302983593e-06,4.6296495384012815e-06,4.106683775262354e-07,50
10,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,11,0.3544574630667346,1.099335733913462,0.3522172497965826,1.09967497522216,1.146055653333664,2.4091209525067825e-06,4.13061206927523e-06,1.7214912304552854e-06,50
11,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,12,0.3544574630667346,1.1043078137687676,0.3522172497965826,1.1050984501062708,1.0741855041980743,3.2892874060053146e-06,3.5886027944798116e-06,2.9931541689620644e-07,50
12,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,13,0.3544574630667346,1.1165001508950605,0.3522172497965826,1.1176818765887795,1.0884486654996874,3.1051347377797356e-06,3.1554930046695517e-06,5.0358188730115216e-08,50
13,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,14,0.3544574630667346,1.1296680001291495,0.3522172497965826,1.1310830431997145,1.0820525071620941,3.185801688232459e-06,3.339943305036286e-06,1.5414157417126262e-07,50
14,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,15,0.3544574630667346,1.1295590419155268,0.3522172497965826,1.1308191081098273,1.1577497745752336,2.9157904464227613e-06,3.650928192655556e-06,7.351376325459569e-07,50
15,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,16,0.3544574630667346,1.1265015033754568,0.3522172497965826,1.1276732464938555,1.0867943378686906,2.6751895347842947e-06,2.9990430903126253e-06,3.238536407934589e-07,50
16,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,17,0.3544574630667346,1.1239840606896976,0.3522172497965826,1.1250395912092037,1.0535674902200698,3.102356004092144e-06,3.1306158234656323e-06,2.825986555876625e-08,50
17,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,18,0.3544574630667346,1.1127445731788703,0.3522172497965826,1.1135346390931367,1.162727185487747,3.7396434890979435e-06,4.211032319290098e-06,4.713888586138637e-07,50
18,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,19,0.3544574630667346,1.1007925262272407,0.3522172497965826,1.1011393992662235,1.1735309848785398,3.5821185520035215e-06,4.27432632932323e-06,6.922076636328711e-07,50
19,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,20,0.3273560876209883,1.0985872583264924,0.3295362082994304,1.0985221470925166,1.126643584728241,1.355729523311311e-06,1.6121438193295035e-06,2.56414324439902e-07,50
20,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,21,0.3273560876209883,1.109424115587466,0.3295362082994304,1.1088410188164335,1.0921169807910918,2.253102366012172e-06,2.5235706289095106e-06,2.7046829131904815e-07,50
21,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,22,0.3273560876209883,1.1256173984151403,0.3295362082994304,1.1246520256588768,1.1053575676679612,2.658850917214295e-06,2.704232201722334e-06,4.538139108944961e-08,50
22,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,23,0.3273560876209883,1.1366719207631542,0.3295362082994304,1.135462430456579,1.1302880964279176,2.8549334274430294e-06,3.1572405987390084e-06,3.0230717129597906e-07,50
23,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,24,0.3273560876209883,1.1348658446966386,0.3295362082994304,1.13368427190866,1.1781409903764726,3.1976935588318156e-06,3.781282202908187e-06,5.835886440763716e-07,50
24,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,25,0.3273560876209883,1.128502414055539,0.3295362082994304,1.1274358658794468,1.1229313204288482,2.572004859757726e-06,2.7015883006242802e-06,1.2958341244484473e-07,50
25,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,26,0.31818644931227713,1.1171336410098087,0.318246541903987,1.1164437969396326,1.168515323281288,2.2818512661615387e-06,3.244520485168323e-06,9.626692190067843e-07,50
26,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,27,0.31818644931227713,1.1154729735588969,0.318246541903987,1.1152437496612089,1.0829827831983567,2.4378960006288253e-06,2.963801989608328e-06,5.259058752926649e-07,50
27,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,28,0.31818644931227713,1.1296282946917713,0.318246541903987,1.129931105987341,1.06030428147316,2.437287548673339e-06,2.7158173452335177e-06,2.7852985340359737e-07,50
28,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,29,0.31818644931227713,1.141405012370516,0.318246541903987,1.142241234358391,1.1588703544139864,2.398227934463648e-06,3.0998689908301458e-06,7.016410563664977e-07,50
29,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,30,0.31818644931227713,1.149858259484354,0.318246541903987,1.1510134335452702,1.1202067807912826,2.6681259441829752e-06,2.887067466872395e-06,2.1894149426771037e-07,50
30,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,31,0.31818644931227713,1.1442608703125174,0.318246541903987,1.1455087378026996,1.182071249127388,2.276964096381562e-06,2.7451721962279407e-06,4.682080145812506e-07,50
31,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,32,0.31818644931227713,1.1333687064991604,0.318246541903987,1.1345269156239497,1.1504826445579528,2.1480393570527667e-06,2.5038214062078623e-06,3.557819638899673e-07,50
32,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,33,0.31818644931227713,1.1187548003453205,0.318246541903987,1.1197054819230436,1.1606482706069947,2.712301011342788e-06,3.0358337426150683e-06,3.235326460071519e-07,50
33,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,Adam,0.001,SGD,1e-05,34,0.31818644931227713,1.1114731286732085,0.318246541903987,1.1122636699986903,1.0529560562372207,2.2549254481418757e-06,2.36526921071345e-06,1.1034369862272797e-07,50
