,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy_m,testing_loss_m,accuracy_mm,testing_loss_mm,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,1,0.31818644931227713,1.104136383232297,0.318246541903987,1.103865497184052,1.104828081846237,5.72287171962671e-06,6.442579888243927e-06,7.197082254606357e-07,50
1,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,2,0.31818644931227713,1.1041272198561254,0.318246541903987,1.1038564447468135,1.1235405604839326,3.3522219382575713e-06,4.848060598305892e-06,1.4958387737351586e-06,50
2,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,3,0.31818644931227713,1.1041162019836874,0.318246541903987,1.103845634142299,1.1052508938312529,5.103770035930211e-06,5.3409967222251e-06,2.3722665787317965e-07,50
3,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,4,0.31818644931227713,1.1041057621840062,0.318246541903987,1.1038354868031401,1.095127433180809,5.916546797379851e-06,6.183767254697159e-06,2.6722022994363215e-07,50
4,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,5,0.31818644931227713,1.1040971917453197,0.318246541903987,1.1038270563105435,1.086905184864998,6.66765618007048e-06,7.018826636340236e-06,3.5117034258291824e-07,50
5,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,6,0.31818644931227713,1.1040926521739634,0.318246541903987,1.1038226251004672,1.0803322882652282,5.138951564731542e-06,5.733461421186803e-06,5.945098564552609e-07,50
6,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,7,0.31818644931227713,1.1040915705463996,0.318246541903987,1.103821512448099,1.0787994223833086,5.7172296692442615e-06,6.034040779923089e-06,3.1681128120908397e-07,50
7,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,8,0.31818644931227713,1.1040913498100462,0.318246541903987,1.103821247840335,1.0914994087219239,3.638627731561428e-06,3.6659309898823267e-06,2.7303238780973516e-08,50
8,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,9,0.31818644931227713,1.104085013646854,0.318246541903987,1.1038152255887808,1.1206026718616486,3.0985602279542945e-06,4.82974064652808e-06,1.7311804185737856e-06,50
9,microsoft/deberta-v3-base,glue,mnli,3,1000,10,1.0,8,1,10,200,False,False,0.0,,SGD,0.01,0.9,SGD,1e-05,10,0.31818644931227713,1.1040807314393184,0.318246541903987,1.1038113078807212,1.0860881941318512,6.389576810761355e-06,6.971095899643842e-06,5.815188615088118e-07,50
