,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,1,0.0,0.7207538203428719,0.7240580919655886,9.328358282800764e-05,0.0001804919593269,8.72083764988929e-05,220,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,2,0.03482284441916,0.6900561588411113,0.6922137586095116,7.795981218805537e-05,0.000195068292669,0.0001171084804809,220,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,3,0.0,0.7003327426109606,0.6705570124496113,0.0001015369198285,0.0001165263238362,1.4989401279308368e-05,220,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,4,0.0,0.667549756192069,0.6632230917432091,2.540909918025136e-06,0.0001811331021599,0.0001785921922419,220,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,5,0.0,0.6735168636300182,0.6916416723619808,4.841184272663668e-05,5.5871769291115925e-05,7.459926109731896e-06,220,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,6,0.0,0.6562746044333655,0.619403036345135,9.486640192335472e-05,0.0001631365157663,6.82701138430275e-05,220,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,7,0.0,0.6420255221483362,0.5879510553316637,6.011207733536139e-05,0.0001293936365982,6.928155926289037e-05,220,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,8,0.0,0.6473480831575757,0.6850982576337727,0.0001221658749273,0.0001336422719759,1.1476390682219062e-05,220,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,9,0.0,0.6449256603044408,0.630928658328273,0.000145632555359,0.0001479163620388,2.2838016775494907e-06,220,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,10,0.0,0.6313839795935245,0.5477597466382114,6.177695468068123e-06,0.0001004569930955,9.427929762750864e-05,220,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,10,1000,False,0.0,,SGD,1.0,SGD,1e-05,11,0.0,0.6218477494389046,0.4811136990785599,1.4980978448875248e-06,0.0001047845726134,0.0001032864747685,220,-1
