,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,1,0.0,0.6334316659974688,0.5371871413155036,0.0039571421220898,0.0076443045400083,0.003687162650749,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,2,0.0,0.7413879665368386,0.330441206422719,0.0039331312291324,0.0066276998259127,0.0026945685967803,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,3,-0.0040645222301585,0.6944897297684473,0.6048596355725419,0.0054870946332812,0.013462932780385,0.0079758381471037,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,4,0.0,0.6158391860605196,0.3414435039189728,0.0005568829365074,0.007736871484667,0.0071799885481595,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,5,0.0,0.6463699081471859,0.6345569614659656,0.0018575978465378,0.0038920764345675,0.0020344785880297,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,6,0.0,0.6141175370634967,0.3060430769893256,0.0041288104839622,0.0072305062785744,0.0031016957946121,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,7,0.0,0.6732844954911079,0.3007171159440821,0.0030639439355582,0.0046969740651547,0.0016330301295965,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,8,0.0,0.6210906127936967,0.4860578394071623,0.0041560493409633,0.0065981135703623,0.0024420639965683,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,9,0.0,0.6146410828783312,0.361194589564746,0.0057383575476706,0.0063245329074561,0.0005861753015778,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,10,0.0,1.0796279139134266,0.2756910472769629,0.0009914624970406,0.0021094055846333,0.0011179430875927,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,11,0.0,1.2536930034918186,0.1533905928785151,0.0004146416322328,0.0005912581691518,0.0001766165514709,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,12,0.0,0.5735005185804294,0.2926650623536923,0.0023343327920883,0.0031511825509369,0.0008168497588485,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,13,0.0,0.6516058666219238,0.2842362738976424,0.0039148428477346,0.0044288989156484,0.0005140561261214,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,14,0.2488026131523584,0.7176205090439046,0.2362097269601442,0.004318400286138,0.0054748668335378,0.0011564667802304,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,15,0.4254559527398808,0.5505388950118582,0.4553761965679851,0.0019449692917987,0.0024898236151784,0.0005448543233796,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,16,0.3764932335906515,0.5261448064946946,0.3498704837889156,0.002860652282834,0.0033912328071892,0.0005305804661475,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,17,0.400413075835727,0.4917490188857071,0.3750402540137821,0.0039898296818137,0.0048645981587469,0.0008747683023102,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,18,0.0,1.1519871503470167,0.2411459149708124,0.0020103743299841,0.0034852034877985,0.001474829041399,22,-1
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,19,0.355622160410684,0.5302303381377959,0.3795125260102477,0.0040701576508581,0.005607521161437,0.0015373635105788,22,-1
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,20,0.2007903247395458,0.6282846254389022,0.2259505467743359,0.0046217702329158,0.0058622839860618,0.0012405139859765,22,-1
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,21,0.0,1.227233581038775,0.1310983041809363,0.0017057034419849,0.0029835477471351,0.0012778443051502,22,-1
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,22,0.5055592530807526,0.446072009655128,0.3023537350225855,0.0055900570005178,0.0086649451404809,0.0030748881399631,22,-1
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,23,0.0738073951554178,1.0396657331228143,0.2093504818156361,0.0024700798094272,0.0045116539113223,0.002041574101895,22,-1
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,24,0.4306932716491276,0.6312576056038606,0.3280143631452863,0.0050997487269341,0.0066381930373609,0.0015384443104267,22,-1
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,25,0.5051600900029769,0.4425948828686284,0.2424162756905637,0.0042213322594761,0.0054133716039359,0.0011920395772904,22,-1
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,26,0.4505173993303405,0.4873320612601424,0.3012509100223807,0.005582686048001,0.0067587443627417,0.0011760583147406,22,-1
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,27,0.4046389975535098,0.6798887200411836,0.2486261477778581,0.0042312140576541,0.0051999352872371,0.0009687211131677,22,-1
27,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,28,0.3565267438354704,0.7107006227171034,0.2901214059188284,0.0052283080294728,0.0065437578596174,0.0013154498301446,22,-1
28,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.0001,SGD,0.001,29,0.3126175888715792,0.8507401939296654,0.1765397939661687,0.0039475234225392,0.004850732628256,0.0009032092639245,22,-1
