,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,1,0.0,0.8723687354389947,0.7299529335715553,8.890711615094915e-05,0.0001751831005094573,8.627598435850814e-05,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,2,0.0,1.0123498353339333,0.4797949584708972,0.00020965628209523857,0.0002321256324648857,2.2469354007625952e-05,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,3,0.0,1.1186566622430132,0.6749769420786337,0.00010481714707566425,0.00011699879541993141,1.2181650163256563e-05,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,4,0.0,0.7587830888406011,0.21680588214234872,1.635058106330689e-05,1.8641023416421376e-05,2.290441898367135e-06,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,5,0.0,0.6318087489095353,0.6750935486771844,7.297260890481994e-05,7.353367254836485e-05,5.610602329397807e-07,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,6,0.0,1.0381238220245328,0.4462667905471542,0.0001728089846437797,0.0001795343414414674,6.725356797687709e-06,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,7,0.0,0.6273741333084252,0.5045288176360455,0.00011868423462146893,0.0001386200456181541,1.993581281567458e-05,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,8,0.0,1.0556667392490475,0.6941061624071815,0.00015550701937172562,0.00017937291704583913,2.3865903131081723e-05,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,9,0.0,0.620335670372912,0.9826756927100094,0.0001078742861864157,0.00021834611834492534,0.00011047183215850964,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,10,0.0,0.7407966587152189,0.40044332878156147,3.741864929907024e-06,1.9105602405034006e-05,1.5363737475126982e-05,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,11,0.0,0.9939783278084894,0.20396953259002082,8.637694008939434e-07,5.388780664361548e-06,4.525011263467604e-06,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,0.001,SGD,0.0001,12,0.0,0.6459584377194179,0.6264009261334484,8.236537541961297e-05,0.00010409634705865756,2.1730973458033986e-05,22
