,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,1,0.0,0.7416674926990771,0.5371871413155036,0.003957142122089863,0.0076443045400083065,0.0036871626507490873,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,2,0.0,0.7328502285571499,0.47581580078059976,0.0036554825492203236,0.009280743077397346,0.005625260528177023,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,3,0.0,0.7371967689681599,0.5177682067860256,0.004814769607037306,0.005348922219127417,0.0005341525538824499,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,4,0.0,0.7269924615175669,0.45288631624796166,0.00029648467898368835,0.009774602018296719,0.00947811733931303,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,5,0.0,0.7281744857780806,0.6230147334662351,0.002064296044409275,0.002190401777625084,0.00012610563135240227,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,6,0.0,0.7210773070349948,0.4127169472927397,0.005502724088728428,0.010979336686432362,0.005476612597703934,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,7,0.0,0.7125524309755281,0.4279645779593424,0.003051924053579569,0.008863115683197975,0.005811191629618406,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,8,0.0,0.711886198921058,0.5049051796170798,0.0049791946075856686,0.0052336761727929115,0.00025448136148042977,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,9,0.0,0.7083100794835855,0.42424023029479113,0.006364243105053902,0.007681064307689667,0.001316821202635765,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,10,0.08891884559337089,0.6977775702039704,0.42033957032994795,0.0006484463810920715,0.007356724236160517,0.006708277855068445,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,11,0.04650358588398948,0.6859732602388804,0.3450511761687019,0.0016027037054300308,0.010602083057165146,0.008999379351735115,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,12,0.03184359877480683,0.6783544275596851,0.410151004452597,0.0032618814148008823,0.006662759929895401,0.0034008785150945187,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,13,0.033890699626879496,0.6735454010599442,0.3857682176950303,0.006099585443735123,0.007242123130708933,0.0011425375705584884,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,14,0.03618442162036868,0.6698216113425394,0.36578627757050775,0.006997541058808565,0.007533719297498465,0.0005361784133128822,22
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,15,0.03851498467323523,0.6738597878062998,0.544130775942044,0.003375360509380698,0.004083128646016121,0.0007077681948430836,22
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adagrad,1e-05,SGD,0.001,16,0.03851498467323523,0.672001254922561,0.4699561215598475,0.005128474906086922,0.00545354513451457,0.000325070257531479,22
