,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,1,0.0,0.6612424509215901,0.7299529335715553,8.890711615094915e-05,0.0001751831005094573,8.627598435850814e-05,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,2,0.0,0.612085851094195,0.5907611792737788,9.969282837118953e-05,0.00015840305422898382,5.871022221981548e-05,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,3,0.0,0.6326885546436747,0.8559738210656427,0.0002300720807397738,0.00046808095066808164,0.00023800886992830783,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,4,0.0,0.6223854570443393,0.4910624967380004,3.185770765412599e-06,9.430071077076718e-05,9.111494000535458e-05,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,5,0.0,0.6244526589644774,0.7548975857821378,4.5386994315776974e-05,8.357903425348923e-05,3.819203993771225e-05,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,6,0.0,0.6212232595181647,0.5347559972242876,9.736572246765718e-05,0.00012063257599947974,2.3266853531822562e-05,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,7,0.0,0.6173142947768437,0.5114051350138404,5.8812587667489424e-05,8.678610174683854e-05,2.7973514079349115e-05,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,8,0.0,0.6170041297228281,0.7475487419150092,0.00012534699635580182,0.000166433397680521,4.1086394048761576e-05,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,9,0.0,0.6167396479890547,0.6297519169070503,0.00014885657583363354,0.00015176164743024856,2.9050706871203147e-06,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,10,0.0,0.6168277809638103,0.43784358907829635,6.928290531504899e-06,5.8819667174248025e-05,5.1891376642743126e-05,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,11,0.0,0.6296100812103912,0.36814300959760493,1.5058976714499295e-06,7.295330578926951e-05,7.144740811781958e-05,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,12,0.0,0.6859106861680518,0.4709003886038607,0.00010335789556847885,0.00010870431287912652,5.346420039131772e-06,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,13,0.0,0.6875489635094432,0.6431319945237854,0.00032899598591029644,0.0003789921756833792,4.999618249712512e-05,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,14,0.0,0.6490637365415806,0.7222038726915013,0.0003875141846947372,0.0004954954492859542,0.00010798125003930181,22
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,15,0.0,0.621230980367151,0.9812842027707533,0.0001479567144997418,0.0004265541792847216,0.0002785974647849798,22
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,16,0.0,0.6174452978236075,0.6858898643742909,0.0001706063630990684,0.0001993656187551096,2.8759255656041205e-05,22
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,17,0.0,0.6242529358572633,0.6742996497587723,0.00016226214938797057,0.0001793831615941599,1.7121008568210527e-05,22
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,18,0.0,0.6279731254086239,0.5022624197331342,4.157545481575653e-05,0.00011754171282518655,7.596625800943002e-05,22
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,19,0.0,0.6286010983336063,0.5881030085411939,0.00010292996012140065,0.00011844233813462779,1.5512381651205942e-05,22
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,20,0.0,0.6252467957616762,0.5119781857187098,8.312621503137052e-06,9.071893146028742e-05,8.240630995715037e-05,22
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,21,0.0,0.6211240626018466,0.4733263034712184,2.126900653820485e-06,9.593611321179196e-05,9.380921255797148e-05,22
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,22,0.0,0.6195025164207429,0.6669368345629085,0.00013911306450609118,0.00014768040273338556,8.567341865273193e-06,22
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,23,0.0,0.6183218189323222,0.5238151043653488,7.243096479214728e-05,8.774724847171456e-05,1.531628004158847e-05,22
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,24,0.0,0.6180214108401583,0.6743025069886988,0.00011491893383208662,0.0001217737008119002,6.854767434560927e-06,22
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,25,0.0,0.6181264790414854,0.7781661724502389,0.00014448417641688138,0.00019338801212143153,4.890383206657134e-05,22
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,26,0.0,0.6184137256545875,0.6727775931358337,0.00010098259372171015,0.00010731103975558653,6.328442850644933e-06,22
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.0001,27,0.0,0.6187367022947501,0.5856216720559381,9.619830962037668e-05,9.674991451902315e-05,5.516043302122853e-07,22
