,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,1,0.0,0.6344320619379291,0.5371871413155036,0.0039571421220898,0.0076443045400083,0.003687162650749,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,2,0.0,0.7275723146687028,0.3315850851549343,0.0039188070222735,0.0066549405455589,0.002736133756116,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,3,0.0,0.6162283274963611,0.5954539880833842,0.0049906163476407,0.0123752681538462,0.0073846518062055,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,4,0.0,0.6397286034722365,0.2692399876700206,0.0037716645747423,0.0078654158860445,0.0040937513113021,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,5,0.0,0.6211055851619662,0.6369257520545613,0.0020145187154412,0.0043944395147264,0.0023799207992851,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,6,0.0,0.6152050556572339,0.266729289767417,0.0040006479248404,0.0057264873757958,0.00172583933454,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,7,0.0,0.6372760607086065,0.2879683995788747,0.0200197026133537,0.0259154718369245,0.0058957687579095,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,8,0.0,0.6134919675479409,0.4630479365587234,0.0039956476539373,0.0053117470815777,0.0013160994276404,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,9,0.0,0.5887373522037768,0.3177090004425157,0.0050770044326782,0.0053732683882117,0.0002962640719488,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,10,0.0,0.642453292626461,0.2792355914346197,0.0009827533503994,0.0027158388402312,0.0017330854898318,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,11,0.0,1.1140270195048274,0.1619292296469211,0.00034883513581,0.0019720988348126,0.0016232636990025,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,12,0.0,1.4261919796353075,0.2768075653690506,0.0021004737354815,0.0026191163342446,0.0005186425987631,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,13,0.0,1.255130675408051,0.3202727919105779,0.0044072968885302,0.0067902910523116,0.0023829939309507,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,14,0.1046317266325567,0.6136447596754736,0.2537743383002552,0.0038086422719061,0.0059725134633481,0.002163871191442,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,15,0.0,1.1272158094944844,0.4725597944787957,0.0031031155958771,0.0043891496025025,0.0012860340066254,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,16,0.0,1.2041741991771089,0.3841008746149865,0.0039542987942695,0.0065311104990541,0.0025768119376152,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,17,0.3078061370120339,0.6855833243777734,0.4138061789965087,0.0029989986214786,0.0064459922723472,0.0034469936508685,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,18,0.1982960285842355,0.6295714349350856,0.2866011313670739,0.0026874120812863,0.0065907961688935,0.0039033840876072,22,-1
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,19,0.0,0.9438936695570254,0.3551327270201662,0.0029012903105467,0.003480274695903,0.0005789843853563,22,-1
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,20,0.0,0.973123449917513,0.2284134344113144,0.0028730737976729,0.003817340824753,0.0009442669688723,22,-1
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,21,0.0,0.968078908873082,0.1544083461842753,0.0009063065517693,0.0012276958441361,0.0003213893214706,22,-1
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,0.0001,SGD,0.001,22,0.0,0.7550232842109585,0.3399607185782356,0.0049498402513563,0.0085379658266901,0.0035881255753338,22,-1
