,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,1,0.0,0.7430844957591923,0.3522961998210204,0.029450848698616,0.0470315776765346,0.0175807289779186,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,2,0.0,0.7339858171594051,0.2410498372808268,0.0223513934761285,0.0492824353277683,0.0269310418516397,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,3,0.0,0.728985886992389,0.4294556584801864,0.0371915847063064,0.0422504544258117,0.0050588687881827,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,4,0.0,0.7216877345820419,0.2562052621675486,0.0138271860778331,0.0488297902047634,0.0350026041269302,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,5,0.0,0.7158223986625671,0.6196883991360664,0.0147860255092382,0.0184509716928005,0.0036649461835622,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,6,0.0,0.7086428531253611,0.2270255567209625,0.0334522277116775,0.0565832667052745,0.0231310371309518,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,7,0.0358925456322639,0.7001071335705182,0.2792859078977596,0.0838768482208252,0.1218693032860755,0.0379924550652504,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,8,0.0973335216054654,0.6922991257587462,0.4281738711055368,0.0305305626243352,0.0338731370866298,0.0033425749279558,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,9,0.0543278008429787,0.6849671170001722,0.2901447379432449,0.0415652245283126,0.0500547774136066,0.0084895519539713,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,0.01,10,0.0361132032924656,0.6769276993875285,0.3030503820056435,0.0641388297080993,0.0952952280640602,0.0311563964933156,22,-1
