,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.0,0.7425036776156826,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.0,0.7336799352223636,0.7639618803154338,9.44990915741073e-07,2.36314804169524e-06,1.418157125954167e-06,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.0,0.728254776419574,0.6762566561048681,1.1890402902281494e-06,1.2429757134668762e-06,5.393545876586359e-08,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.0,0.7217634666057033,0.7534129906784404,3.4444155971868895e-08,2.3455393147742143e-06,2.3110951588023454e-06,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.0,0.7167607059005563,0.6914198263124987,5.153183906259073e-07,5.284484245748899e-07,1.3130049936194156e-08,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.0,0.7112208081565741,0.7146295726299285,1.100539293474867e-06,2.192085958085954e-06,1.0915466646110872e-06,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.0,0.7052833337820213,0.7063282365148718,6.387517714756541e-07,1.796219862626458e-06,1.157468091150804e-06,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.0,0.7002606778654433,0.6880933420224624,1.3178569133742712e-06,1.3210004681241116e-06,3.143508786607185e-09,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.0111287520643866,0.6954833828765927,0.6954044450413097,1.5702892142144265e-06,1.7571550188222318e-06,1.868657619752412e-07,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.0493997629684225,0.6901128105534852,0.6765446895902807,5.395611424319213e-08,1.7251213648705743e-06,1.6711652506273822e-06,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,11,0.0569473120752283,0.6842416288288495,0.6658158193935048,1.9702383724506944e-08,2.0150125692453003e-06,1.9953101855207933e-06,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,12,0.0,0.6782704682750557,0.6681796176867052,7.748383268335601e-07,1.633017973290407e-06,8.58179646456847e-07,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,13,0.0,0.6726449227515068,0.6754218583757228,1.6359430219381466e-06,1.8219333242086575e-06,1.8599025963794705e-07,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,14,0.0,0.6676165698138812,0.6826770262284713,2.0208151454426115e-06,2.04074399334786e-06,1.9928764416476952e-08,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,15,0.0,0.6641878808727701,0.7346075480634516,1.0494966318219667e-06,1.4247633544073324e-06,3.7526672258536564e-07,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,16,0.0,0.6612626814660225,0.6907552150162785,1.4485370911643258e-06,1.46483557728061e-06,1.6298436378292536e-08,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,17,0.0,0.6588449073201827,0.707953711531379,1.5701838265158583e-06,1.5995785815903218e-06,2.9394701783758137e-08,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,18,0.0,0.6557170685011012,0.6047314329580827,3.6245864976081066e-07,1.4068594964555814e-06,1.0444008466947707e-06,22,-1
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,19,0.0,0.6524653903400625,0.6488274040547284,1.1503738051032997e-06,1.4835374031463289e-06,3.331635980430292e-07,22,-1
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,20,0.0,0.6486075711614303,0.5791026559743016,7.82116558184498e-08,1.1967171076321392e-06,1.1185054518136894e-06,22,-1
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,21,0.0,0.6441608330675663,0.5569534664804286,3.62917944585206e-08,1.4110424899627103e-06,1.37475069550419e-06,22,-1
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,22,0.0,0.6404205155736618,0.6918327209624378,1.7731305206325487e-06,1.8049631762551144e-06,3.183268759698876e-08,22,-1
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,AdamW,1e-05,SGD,1e-05,23,0.0,0.6364985722621889,0.5986065618016503,1.018206717162684e-06,1.491737180003838e-06,4.735304628411541e-07,22,-1
