,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,1,0.0,0.6670596349330349,0.3522961998210204,0.029450848698616,0.0470315776765346,0.0175807289779186,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,2,0.0,0.6141150566457793,0.2204794273732907,0.0239994935691356,0.0426290445029735,0.0186295509338378,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,3,0.0,0.6135934020271738,0.4401850225827234,0.0646836683154106,0.085821196436882,0.0211375262588262,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,4,0.0,0.6096995841455823,0.2181611608396369,0.0161862187087535,0.0335977263748645,0.0174115076661109,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,5,0.0,0.5925679343347331,0.6286980766464364,0.0326063260436058,0.0524074733257293,0.0198011491447687,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,6,0.0,0.58326868724277,0.1886229573833671,0.0235703065991401,0.0288123786449432,0.0052420715801417,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,7,0.0,0.5959414706657861,0.2426167221655222,0.0198446027934551,0.0287745632231235,0.0089299594983458,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,8,0.0,0.5621625939170822,0.4179430221334438,0.0357705540955066,0.0446861945092678,0.0089156404137611,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,9,0.0,0.5818318974880772,0.2615176735234193,0.0537746399641037,0.0613822825253009,0.0076076444238424,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,10,0.0,0.5606533500529428,0.2694998942294412,0.1233184859156608,0.1629299372434616,0.0396114513278007,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.0001,SGD,0.01,11,0.0,0.602006157561568,0.1557458812370896,0.0293419156223535,0.0493395738303661,0.0199976582080125,22,-1
