,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,1,0.0,0.7505170426523412,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,2,0.0,0.651431427202152,0.4995395004071972,1.3356288945942651e-06,1.4048197272131802e-06,6.919088235690651e-08,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,3,0.0,3.182985893642629,0.7338390171527862,1.283034748666978e-06,1.6824571957840817e-06,3.994224755388132e-07,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,4,0.0,0.7061451568858315,4.061923508210616,3.143541107419878e-07,5.07946933794301e-05,5.048033926868811e-05,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,5,0.0,0.6315024845472729,0.703515720909292,7.772529215799295e-07,8.365215649064339e-07,5.926866819550015e-08,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,6,0.0,0.6702531855979948,0.5884014980359511,8.217338631766324e-07,1.0402590078228968e-06,2.185251446462644e-07,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,7,0.0,0.8077506028286373,0.4525610910220579,4.937164135299099e-07,4.951583036927332e-07,1.441916586131242e-09,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,8,0.0,0.6827009451070815,1.3370480453426186,1.0285181133440346e-06,2.441634023853112e-06,1.4131159105090774e-06,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,9,0.0,0.6271318058476193,0.791305297884074,1.076292505786114e-06,1.3741396287514362e-06,2.978470945436129e-07,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,10,0.0,0.6305732968199345,0.5174636198715731,4.594892288878327e-08,5.199808015277085e-07,4.740318786389253e-07,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,11,0.0,0.6345141004515058,0.5078966755758632,8.153961061907467e-09,7.14439579496684e-07,7.062856184347766e-07,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,12,0.0,0.728130552149911,0.4943622673099691,5.090127501716779e-07,5.152392077434342e-07,6.226438031831094e-09,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,13,0.0,0.6737567019144087,0.8149345970966599,1.4450451999437064e-06,1.8755180235530131e-06,4.304727667658881e-07,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,14,0.0,0.6217766049254032,0.8773652347651394,1.2841326224588556e-06,1.7212908005603822e-06,4.3715817810152657e-07,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,15,0.0,0.6609717384549497,0.964299478720535,5.007771051168675e-07,1.3021814311287017e-06,8.014043260118342e-07,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,16,0.0,0.746321389238343,0.6956724855032835,1.1491431450849632e-06,1.154952883553051e-06,5.809785541543988e-09,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,17,0.0,0.687274579328435,0.7281787590547041,1.323081846749119e-06,1.4896351103743657e-06,1.665532920469559e-07,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,18,0.0,1.745866504959933,0.6547067444432866,4.189286073597032e-07,1.94939320863341e-06,1.5304646012737066e-06,22,-1
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,19,0.0,0.7949001725393398,1.4977148058739576,4.9550817493582144e-06,8.67983453645138e-06,3.7247527870931663e-06,22,-1
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,20,0.0,0.644888612150236,0.9296673823486674,2.895239958888851e-08,1.498272922617616e-06,1.4693205230287276e-06,22,-1
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,21,0.0,0.6839115287511404,0.572236368060112,2.2446783987106755e-08,1.967862544915988e-06,1.9454157609288814e-06,22,-1
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,22,0.0,0.6665880043088025,0.6923669484528628,8.404266509387526e-07,8.518360914422374e-07,1.1409457378874777e-08,22,-1
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,23,0.0,0.6385773895806028,0.6432220263914628,4.560831996514026e-07,7.889638595770521e-07,3.328806599256495e-07,22,-1
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,24,0.0,0.6293451829266002,0.7914425604722716,9.570180736773182e-07,1.254210360457364e-06,2.971923152017553e-07,22,-1
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,25,0.0,0.6681122948195188,0.9544585821303456,9.965235676645534e-07,1.6321876046276884e-06,6.35664036963135e-07,22,-1
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,26,0.0,0.7686009152244976,0.6840031380003149,3.779202586429165e-07,3.856738146623684e-07,7.753551578559836e-09,22,-1
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,27,0.0,0.7330823199439594,0.8167161621830681,2.975155268813978e-07,5.885557925466856e-07,2.9104026566528773e-07,22,-1
27,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,28,0.0,0.6507855653762817,0.7682677084749395,1.3047204561189576e-07,3.616404740114376e-07,2.311684283995419e-07,22,-1
28,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,29,0.0,0.6182585219845517,0.6157065177505666,2.020577056782713e-07,2.8890892167510174e-07,8.685121599683043e-08,22,-1
29,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,30,0.0,0.6516719606086498,0.5041988007046959,6.788815198888187e-08,8.629615422250937e-08,1.8408005786341164e-08,22,-1
30,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,31,0.0,0.7068256054443257,0.6054783261635086,4.570237592815829e-07,4.818147658625094e-07,2.479101368635384e-08,22,-1
31,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,32,0.0,0.7794215572244338,0.2907510974190451,9.909850717804149e-09,2.2196983806566092e-08,1.2287133088761948e-08,22,-1
32,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,33,0.0,0.7954155099755935,0.9018950844352898,5.229484827395936e-07,7.955492833389144e-07,2.726008005993208e-07,22,-1
33,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,34,0.0,0.8048529318953288,0.3170247820967978,2.103941021402989e-08,2.1510123460188882e-08,4.707139122928082e-10,22,-1
34,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,35,0.0,0.7173156995354718,1.6892330933023585,2.871088327083271e-07,1.900687152556202e-06,1.6135783198478748e-06,22,-1
35,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,36,0.0,0.6541069644780559,0.5503791011869908,5.183858320378931e-07,5.506857974069135e-07,3.2299936947310925e-08,22,-1
36,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,37,0.0,0.6184922891263743,0.950413303077221,5.56819486519089e-07,1.0079401135953958e-06,4.511206270763069e-07,22,-1
37,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,38,0.0,0.6306924051000872,0.5045414399016988,3.943562205677154e-07,4.446515617928526e-07,5.02953305669962e-08,22,-1
38,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,39,0.0,0.648534903544506,0.570611083778468,1.736924559736508e-07,4.846256160817575e-07,3.109331601081067e-07,22,-1
39,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,40,0.0,0.6728644093484369,0.7116414308547974,8.075061828094476e-07,8.230745152104646e-07,1.5568337730087478e-08,22,-1
40,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,41,0.0,0.688031169294401,0.685371680693193,7.781000590512122e-07,8.364045243069995e-07,5.830446525578736e-08,22,-1
41,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,42,0.0,0.6729772782507744,0.7177705878561194,6.532242196044535e-07,1.3053003158347565e-06,6.520760962303029e-07,22,-1
42,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,43,0.0,0.6401003990464538,0.6708810790018602,2.7254600354353897e-08,1.072280952030269e-06,1.045026351675915e-06,22,-1
43,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,44,0.0,0.6269413537651528,0.7330041180957447,6.470726248153369e-07,7.574024039058713e-07,1.1032979330138917e-07,22,-1
44,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,45,0.0,0.6203930914857005,0.66011184155941,5.970860001980327e-07,5.974343366688117e-07,3.4834379825099404e-10,22,-1
45,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,46,0.0,0.6182454956396846,0.5375985229557211,5.32223907612206e-07,6.481079140030488e-07,1.1588398507456077e-07,22,-1
46,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,47,0.0,0.622981944839463,0.4987149360505017,2.83211903706615e-07,3.698974637700303e-07,8.668556716884268e-08,22,-1
47,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,48,0.0,0.6294353026470155,0.72447961054065,5.269624807624496e-07,6.345017595776881e-07,1.0753925039352909e-07,22,-1
48,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,49,0.0,0.6347015163370671,0.6431314053860578,5.276644401419617e-07,5.690226316801272e-07,4.1358216407161314e-08,22,-1
49,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,50,0.0,0.6378108333540327,0.6129435323856094,6.15717453911202e-07,6.435510044866533e-07,2.783352393009864e-08,22,-1
50,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,51,0.0,0.6397520626774271,0.5535623776641759,3.904844163571397e-07,3.986717729276279e-07,8.187343247811896e-09,22,-1
51,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,52,0.0,0.6370261527654779,0.7214080200953916,5.519902401829313e-07,6.710804427711992e-07,1.1909021679912257e-07,22,-1
52,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,53,0.0,0.6336716236048983,0.5711023103107106,6.134160912552034e-07,6.238077503439854e-07,1.0391673299636752e-08,22,-1
53,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,54,0.0,0.627637768292245,0.7455184448849071,6.258794087443675e-07,7.56132465085102e-07,1.302530563407345e-07,22,-1
54,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,55,0.0,0.6207649232322023,0.8654552901333028,6.246510793062043e-07,9.37427728331386e-07,3.127766206034721e-07,22,-1
55,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,56,0.0,0.618266319500581,0.591369057785381,2.92803349566384e-07,2.9709013915635296e-07,4.2867753791142604e-09,22,-1
56,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,57,0.0,0.6189828107830222,0.6366966999389907,4.482977828956791e-07,4.562702997645829e-07,7.972528415223223e-09,22,-1
57,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,58,0.0,0.6212467869729487,0.5607830253514378,3.071835408263724e-07,3.305363520667015e-07,2.335282189847021e-08,22,-1
58,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,59,0.0,0.6227040618430567,0.5210817128419877,8.10374558568583e-08,1.704613765696195e-07,8.942392071276117e-08,22,-1
59,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,60,0.0,0.6234311056501083,0.5929690447720615,3.023134524937632e-07,3.200260891844664e-07,1.7712627808919024e-08,22,-1
60,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,61,0.0,0.6268477439880371,0.8210938583720815,2.4738261572565534e-07,4.7491766963503323e-07,2.275350681202326e-07,22,-1
61,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,62,0.0,0.6267970513751489,0.4876888394355774,1.484039557908545e-09,2.706769635096862e-07,2.691929239517777e-07,22,-1
62,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,63,0.0,0.6253748861432985,0.5850731194019317,1.2912600766412652e-07,1.776631251004801e-07,4.853712098906726e-08,22,-1
63,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,64,0.0,0.6245959146332195,0.6807055633176456,4.54104423397439e-07,4.5979791707395634e-07,5.6934910119821325e-09,22,-1
64,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,65,0.0,0.6237244187420561,0.6407645767385309,3.7847667044843547e-07,3.8009281411177653e-07,1.6161478821885567e-09,22,-1
65,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,66,0.0,0.623036669410822,0.6513892171057789,4.435017615378456e-07,4.441849341674242e-07,6.831629706383069e-10,22,-1
66,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,67,0.0,0.6216167498180885,0.5710258242758838,1.758498910930939e-07,2.1500632385595966e-07,3.915643986829309e-08,22,-1
67,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,68,0.0,0.6201714570740707,0.5915771286595952,2.11057027854622e-07,2.236964604662717e-07,1.2639429947114422e-08,22,-1
68,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,0.001,SGD,1e-05,69,0.0,0.6189801986435898,0.5857375898144461,1.6759862830895145e-07,1.789217520808961e-07,1.1323122883766246e-08,22,-1
