,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,1,0.0,0.743084509409111,0.3522961998210204,0.029450848698616,0.0470315776765346,0.0175807289779186,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,2,0.0,0.7339858399092696,0.2410498236919837,0.0223514009267091,0.0492824390530586,0.0269310381263494,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,3,0.0,0.7289808001227052,0.4296565716493535,0.0373563431203365,0.0425375811755657,0.0051812375895679,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,4,0.0,0.7216845750808716,0.2562352524943311,0.0136235691606998,0.0485190115869045,0.0348954424262046,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,5,0.0,0.7157638286816255,0.6195138225501233,0.0148676224052906,0.0182970575988292,0.0034294356591999,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,6,0.0,0.7085985222845587,0.2270435210656036,0.0311255846172571,0.0520808286964893,0.0209552440792322,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,7,0.0292920614513274,0.7002242562425045,0.2802641802721403,0.0330865457653999,0.0574906878173351,0.0244041439145803,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,8,0.0936252642850726,0.6928448322165104,0.4312829147389328,0.0402794852852821,0.0460950993001461,0.0058156140148639,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,9,0.0474485648337479,0.685838487312084,0.2899188941005956,0.0379513017833232,0.0453365854918956,0.0073852823115885,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,10,0.0361132032924656,0.6781525147780207,0.3021814945704218,0.3323856592178345,0.4226599633693695,0.0902743116021156,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,11,0.0609579105577956,0.6695705752336342,0.1987181399589065,1.2013006210327148,1.5642468929290771,0.3629463016986847,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,12,0.0463559874942472,0.6606597304344177,0.310626136939126,0.0261704642325639,0.0404263399541378,0.0142558757215738,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,13,0.0,0.6519414086378258,0.2666957727887413,0.0466526001691818,0.0574620738625526,0.0108094746246933,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,14,0.0,0.6436056167114782,0.2322556693276221,0.0439672283828258,0.0504143349826335,0.006447107065469,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,15,0.0,0.6373992885342081,0.5150688283568756,0.1724145412445068,0.209941029548645,0.0375264845788478,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,16,0.0,0.6319096513831889,0.3921673308952119,0.0286916475743055,0.0327911712229251,0.0040995236486196,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,17,0.0,0.6274285125368424,0.442648051272739,0.03774294257164,0.0453620627522468,0.0076191215775907,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,0.01,18,0.0,0.6226706736870394,0.2682437236695973,0.0245805047452449,0.043749164789915,0.0191686600446701,22,-1
