,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.0,0.7425036999105498,0.7649818994782188,9.822949778026668e-07,1.945634721778333e-06,9.633397439756664e-07,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.0,0.7336799738971331,0.7639619036154313,9.44991256801586e-07,2.3631489511899417e-06,1.4181576943883556e-06,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.0,0.7282548364792162,0.6762566393071955,1.1890410860360134e-06,1.2429765092747402e-06,5.39354232387268e-08,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.0,0.7217635280303373,0.7534131093458696,3.445097718213219e-08,2.345552729821065e-06,2.311101752638933e-06,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.0,0.7167607709651685,0.6914198095148261,5.153178790351376e-07,5.284480266709579e-07,1.3130158293961358e-08,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.0,0.7112208204415008,0.7146294501694767,1.1005316764567397e-06,2.1920291146670934e-06,1.0914974382103535e-06,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.0,0.7052833242270783,0.7063282126730137,6.388505653376342e-07,1.7963324125958025e-06,1.1574818472581685e-06,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.0,0.7002606446506413,0.6880932889201424,1.3178625977161571e-06,1.3210059250923225e-06,3.1433358138599483e-09,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.0111287520643866,0.6954833373768639,0.6954045328226957,1.5703031976954662e-06,1.7571685475559209e-06,1.868653782821639e-07,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.0493997629684225,0.690112710909079,0.6765444408763538,5.3952703638060484e-08,1.725123979667842e-06,1.6711712760297814e-06,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.0569473120752283,0.6842414950596467,0.6658154487609863,1.969488039321732e-08,2.0150096133875195e-06,1.995314732994302e-06,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.0,0.6782700405776045,0.6681789582425898,7.748458870082686e-07,1.6328498304574168e-06,8.580039434491482e-07,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.0,0.672644181560924,0.6754216513850471,1.6360569361495436e-06,1.822065542000928e-06,1.8600859164052966e-07,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,14,0.0,0.6676154104807904,0.682677750153975,2.021466798396432e-06,2.041525931417709e-06,2.0059225391833024e-08,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,15,0.0,0.6641840679954937,0.7346010560339147,1.0663436569302576e-06,1.44706689297891e-06,3.807232076269429e-07,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,16,0.0,0.6612569817149913,0.690757647969506,1.4485821111520636e-06,1.4648829846919398e-06,1.6300912619726663e-08,22,-1
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,17,0.0,0.6588354229017068,0.7079577245495535,1.5747049246783718e-06,1.604882186256873e-06,3.0177282894783275e-08,22,-1
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,18,0.0,0.6556998982684303,0.6047668744217267,3.6664289382315474e-07,1.4116575357547845e-06,1.0450146419316295e-06,22,-1
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,19,0.0,0.6524723313236964,0.6487627094442193,1.1583551895455455e-06,1.493447939537873e-06,3.350927784140368e-07,22,-1
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,20,0.0,0.648618301817479,0.5791116614233365,7.822529823897639e-08,1.1967501905019162e-06,1.1185248922629398e-06,22,-1
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,21,0.0,0.6441764435695327,0.5569706391204486,3.6443452700041234e-08,1.4111330983723749e-06,1.3746896456723334e-06,22,-1
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,22,0.0,0.6404401418816952,0.6918555931611495,1.77188849193044e-06,1.803478880901821e-06,3.1590420945804e-08,22,-1
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,23,0.0,0.6365225032995675,0.5986285437237133,1.0180980325458222e-06,1.4916174677637173e-06,4.735194352178951e-07,22,-1
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,24,0.0,0.633338080562708,0.690805405920202,1.7571065882293624e-06,1.796483275029459e-06,3.937671522180608e-08,22,-1
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,25,0.0,0.6313681911876183,0.7588082229549235,2.266535830131033e-06,2.64620052803366e-06,3.7966478316775465e-07,22,-1
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,26,0.0,0.6298016544061763,0.6829848790710622,1.5477509123229538e-06,1.5682661569371703e-06,2.0515219745220747e-08,22,-1
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,27,0.0,0.6282200346921236,0.6276027438315477,1.6132704558913249e-06,1.7056003116522334e-06,9.23298699717634e-08,22,-1
27,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,28,0.0,0.6264517957927617,0.607239682836966,9.893021797324764e-07,1.1887332220794633e-06,1.994309855035681e-07,22,-1
28,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,29,0.0,0.6243291681504431,0.5815157687122171,1.227438133355463e-06,1.6144673509188578e-06,3.870292744068138e-07,22,-1
29,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,30,0.0,0.6217372028427269,0.5520264205607501,4.453308406482393e-07,9.585727411831613e-07,5.13241900534922e-07,22,-1
30,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,31,0.0,0.6190889928177112,0.5926508708433672,2.073935092994361e-06,2.273101699756808e-06,1.9916659255159175e-07,22,-1
31,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,32,0.0,0.6159972832858107,0.4865657391873273,4.4157559386803775e-08,1.1452184480731376e-06,1.1010608886863338e-06,22,-1
32,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,33,0.0,0.61349651490459,0.652553704110059,1.824737296374224e-06,1.853435037446616e-06,2.8697790810383598e-08,22,-1
33,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,34,0.0,0.6110348196430061,0.4662864357233047,2.437315060888068e-07,1.2377635130178533e-06,9.940320069290465e-07,22,-1
34,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,35,0.0,0.6098548148879568,0.8702124904502522,1.025800202114624e-06,3.041196805497748e-06,2.015396603383124e-06,22,-1
35,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,36,0.0,0.6085713219096642,0.5461789713664489,2.2378176254278515e-06,2.441944388920092e-06,2.0412680612480474e-07,22,-1
36,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,Adam,1e-05,SGD,1e-05,37,0.0,0.6075210696413317,0.7536433336409656,2.635626287883497e-06,3.2477812510478543e-06,6.121549063209386e-07,22,-1
