,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,1,0.0,0.660194489792103,0.3861793221022678,1.107558250427246,1.677963137626648,0.5704048275947571,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,2,0.0,0.618390524660358,0.2586157407488951,2.6391422748565674,3.198617696762085,0.5594754219055176,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,3,0.0,0.618850648858165,0.49977926834994413,1.656508207321167,2.235788583755493,0.5792803168296814,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,4,0.0,0.6271530282861404,0.2545227166612511,1.4767180681228638,1.8822147846221924,0.405496746301651,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,5,0.0,0.6217890593386789,0.6870862822979689,2.9458656311035156,4.061499118804932,1.1156336069107056,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,6,0.0,0.6228482727786057,0.21104043493925762,1.9230942726135254,2.3994476795196533,0.47635340690612793,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,7,0.0,0.6277289970685508,0.25712489699839025,0.6107075214385986,0.7949671149253845,0.1842595636844635,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,8,0.0,0.6196128564481517,0.47810954031724995,2.010064125061035,2.5153884887695312,0.5053242444992065,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,9,0.0,0.617944116810806,0.28314768066259355,0.7809993028640747,0.9276736378669739,0.14667433500289917,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,10,0.0,0.619324819277261,0.2871910633482251,0.3847770690917969,0.5263170599937439,0.14153999090194702,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,11,0.0,0.6624968163384736,0.17869534527417272,0.6407631635665894,0.9513886570930481,0.31062546372413635,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,12,0.0,0.7111477052209941,0.32178437028567053,0.877944827079773,1.078726887702942,0.20078209042549133,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,13,0.0,0.7370438769118477,0.26571818880038334,0.9315477609634399,1.1334089040756226,0.20186112821102142,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,14,0.0,0.7370287398345597,0.2374524239657066,0.5628358125686646,0.702744722366333,0.13990887999534607,22
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,15,0.0,0.6613083993660585,0.5619272653817792,0.41371259093284607,0.7441588640213013,0.3304462730884552,22
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,16,0.0,0.6225484839377512,0.41789818463254386,0.3781684339046478,0.4696374833583832,0.09146905690431595,22
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,17,0.0,0.622003052525848,0.46197606802664015,0.27932143211364746,0.3730669617652893,0.09374554455280304,22
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,18,0.0,0.626524080984465,0.2724191548599099,0.14243510365486145,0.23491524159908295,0.0924801453948021,22
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,19,0.0,0.624075043292446,0.41249095850031486,0.1689315140247345,0.23140311241149902,0.062471602112054825,22
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,20,0.0,0.6185806288973976,0.31244149883701045,0.12188996374607086,0.19073764979839325,0.06884768605232239,22
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,21,0.0,0.6266750238323939,0.2136275009273297,0.06530880928039551,0.20649686455726624,0.14118805527687073,22
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,22,0.0,0.6468979140729395,0.3317970152436332,0.26177847385406494,0.2968321740627289,0.035053715109825134,22
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,23,0.0,0.6929970468956096,0.2573324742832813,0.1954570710659027,0.25084424018859863,0.05538717657327652,22
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,24,0.0,0.7312719788942629,0.39113190565681594,0.22029197216033936,0.26210758090019226,0.04181560128927231,22
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,0.1,SGD,0.1,25,0.0,0.726880568584413,0.31833360449580306,0.26697731018066406,0.4327971935272217,0.1658198982477188,22
