,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.0,0.7207789730479699,0.7299529335715553,8.890711615094915e-05,0.0001751831005094,8.627598435850814e-05,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.0,0.6707462859517745,0.6921894387765365,8.520092524122447e-05,0.0001966212439583,0.0001114203187171,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.0,0.6471976592340543,0.6853394410826944,0.0001096837149816,0.0001322336029261,2.2549886125489135e-05,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.0,0.6221104423508389,0.5385156363248826,2.966065949294716e-06,0.0001182746855192,0.0001153086195699,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.0,0.6171136700925026,0.7646976606412367,4.926406472804956e-05,9.702318493509664e-05,4.775912020704709e-05,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.0,0.6198090569663594,0.5045862673358483,0.0001092593593057,0.0001205861553899,1.1326794265187344e-05,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.0,0.6332696314531429,0.4689341394738717,7.177996303653345e-05,8.076446101767942e-05,8.984496162156574e-06,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.0,0.6383475209692963,0.8626701722090895,0.0001512166345492,0.0002535768435336,0.0001023602017085,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.0,0.6356337262701443,0.6908299565315247,0.0002092694339808,0.0002467187296133,3.74493029084988e-05,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.0,0.638617554466233,0.3582132632759484,9.888246495393103e-06,2.6381034331279807e-05,1.6492787835886702e-05,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.0,0.6507597170940792,0.2948130645535208,1.928652636706829e-06,3.1315183150582016e-05,2.9386530513875183e-05,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.0,0.6645424858531879,0.4777080500667746,7.9292782174889e-05,8.010593592189252e-05,8.131565323310497e-07,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.0,0.6660517482584669,0.6794992912899364,0.0001872764987638,0.000221044087084,3.3767588320188224e-05,22,-1
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.0,0.6508094070066932,0.7921457569707523,0.0004934788448736,0.0006242160452529,0.0001307371712755,22,-1
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.0,0.6228008265713699,1.0531465901569883,0.0001063280069502,0.0003269178268965,0.0002205898199463,22,-1
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.0,0.6174175245616272,0.7237396183339032,0.0001310155639657,0.000162623997312,3.160843698424287e-05,22,-1
