,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,1,0.0,0.7207789730479699,0.7299529335715553,8.890711615094915e-05,0.0001751831005094,8.627598435850814e-05,22,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,2,0.0308780628502584,0.6908135450523318,0.6921894387765365,8.520092524122447e-05,0.0001966212439583,0.0001114203187171,22,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,3,0.0,0.7009095858981591,0.6702271591533314,0.0001092434758902,0.0001236711104866,1.4427636415348388e-05,22,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,4,0.0,0.6676435238532438,0.6644999910484661,5.781839718110859e-06,0.0001903175143525,0.0001845356746343,22,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,5,0.0,0.6744696971114356,0.6957365783778103,4.724607424577698e-05,5.726623930968344e-05,1.0020163244917056e-05,22,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,6,0.0,0.6570620209206152,0.6201879173517227,0.0001011069543892,0.0001700704306131,6.896347622387111e-05,22,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,7,0.0,0.6429866725251875,0.5934111909432844,6.14431919530034e-05,0.0001275526883546,6.610949640162289e-05,22,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,8,0.0,0.6484172207708577,0.6837816457856786,0.0001245336898136,0.0001359936140943,1.1459921552159358e-05,22,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,9,0.0,0.6456719545917656,0.6317492493174293,0.0001468614063924,0.0001497990306233,2.937618319265312e-06,22,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,10,0.0,0.6316020761737386,0.545820637453686,8.079441613517702e-06,0.0001084237737813,0.0001003443321678,22,-1
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,11,0.0,0.6218793399006356,0.4817451482469385,1.8825739971362052e-06,0.0001089096549549,0.0001070270809577,22,-1
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,12,0.0,0.6190524995326996,0.5274492244828831,9.053377289092168e-05,0.0001191518531413,2.86180784314638e-05,22,-1
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.0001,13,0.0,0.6191885134646,0.6061334011229601,0.0001556366769364,0.0001562689722049,6.323012939901673e-07,22,-1
