,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,1,0.0,0.6850386488301153,0.3522961998210204,0.029450848698616028,0.04703157767653465,0.017580728977918625,22
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,2,0.0,1.0303913829777076,0.20925654053307055,0.03427239507436752,0.04294421523809433,0.008671822026371956,22
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,3,0.0,0.9477401161921843,0.48410178924148733,0.0456990972161293,0.09926741570234299,0.053568318486213684,22
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,4,0.0,0.9598296252825788,0.30001421417533003,0.007995963096618652,0.07399004697799683,0.06599408388137817,22
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,5,0.0,0.7892882127798241,0.6828298983248798,0.01566976308822632,0.07236530631780624,0.056695543229579926,22
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,6,0.0,0.7956052414561046,0.2523723417977718,0.02575714886188507,0.06357013434171677,0.037812985479831696,22
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,7,0.0,0.8493620855093912,0.2474869158203629,0.023249052464962006,0.026703882962465286,0.0034548304975032806,22
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,8,0.08036809130702588,0.6519665813628044,0.46240775494793934,0.029279237613081932,0.04923751577734947,0.01995827816426754,22
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,9,0.0,0.6002164367046064,0.2852130911016667,0.0372450165450573,0.04385453090071678,0.006609515752643347,22
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,10,0.0,0.8767966258958095,0.27818073296750134,0.02608298510313034,0.034572724252939224,0.008489740081131458,22
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,11,0.0,1.3376001097077064,0.1516571250447834,0.05785760283470154,0.0746133103966713,0.016755707561969757,22
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,12,0.0,1.044831926102629,0.2854946452235295,0.03586594760417938,0.04316563531756401,0.007299687247723341,22
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,13,0.0,0.6132819757206749,0.2680059595753185,0.04210367798805237,0.05128215625882149,0.009178479202091694,22
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,14,0.09773211000885626,0.5815124711917556,0.2169212888841602,0.07753332704305649,0.09033705294132233,0.012803726829588413,22
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,15,0.0,0.8674725649011044,0.512131027242338,0.03944601118564606,0.051128603518009186,0.011682593263685703,22
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,16,0.0,0.5887920649452064,0.4023214354814792,0.03562583029270172,0.04888689145445824,0.013261059299111366,22
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,17,0.0,0.6176652760451077,0.43642368873750625,0.09248922020196915,0.11357202380895615,0.02108280174434185,22
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,18,0.0,0.9706775100034384,0.2665321829813448,0.039727527648210526,0.05921494960784912,0.019487421959638596,22
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,19,0.0,0.6262383423461259,0.4123155345801603,0.04673274978995323,0.06027635931968689,0.013543609529733658,22
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,False,0.0,,SGD,1.0,SGD,0.01,20,0.0,0.7258979839678029,0.2913205533076755,0.028964538127183914,0.03734726831316948,0.00838272925466299,22
