,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,1,0.0,0.6749442237934083,0.7633736241947521,9.72715497482568e-07,1.9210415302950423e-06,9.483260328124744e-07,22,10
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,2,0.0,0.6237793589821299,0.6414987210071448,7.014499260549201e-06,1.3331555237527937e-05,6.317055976978736e-06,66,10
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,3,0.0,0.6689664926237733,0.8617182724403613,1.3391229003900662e-05,2.316594145668205e-05,9.774712452781388e-06,66,10
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,4,0.0,0.632116453565714,0.5945462229306048,1.6754784155637026e-06,0.0001127408977481,0.0001110654193325,220,10
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,5,0.0,0.6358212842286088,0.7627867637710138,1.8209160543847247e-06,2.9495288345060544e-06,1.1286127801213295e-06,44,10
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,6,0.0,0.6306425069124644,0.5672830474196059,7.3907003752538e-06,1.0128863323188853e-05,2.7381627205613768e-06,66,10
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,7,0.0,0.6230644865800407,0.5411811665513299,1.250541208719369e-05,2.054422475339379e-05,8.038812666200101e-06,110,10
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,8,0.0,0.6303880287490728,0.7458851919255473,1.736559352139011e-05,2.136581133527216e-05,4.000217813882045e-06,88,10
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,9,0.0,0.6312268553799345,0.6468170848217878,3.265319537604228e-05,3.269602530053817e-05,4.2828112611914555e-08,110,10
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,10,0.0,0.6184442935099128,0.5077075698429889,4.562294634524733e-06,6.567686068592593e-05,6.11145660514012e-05,220,10
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,11,0.0,0.6181389286772896,0.4121610281142321,4.989924491383135e-07,2.367539855185896e-05,2.3176406102720648e-05,132,10
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,12,0.0,0.6177220301318714,0.5077828258275986,8.639246971142711e-07,9.217770866598584e-07,5.785240730915576e-08,22,10
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,13,0.0,0.6141710356446622,0.6489524478939446,6.404964551620651e-06,6.633216344198445e-06,2.282520199514693e-07,44,10
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,14,0.0,0.6123283910387345,0.7012371756813743,1.703669477137737e-05,1.854875335993711e-05,1.5120581338123884e-06,66,10
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,15,0.0,0.6584836089884052,0.8175017700953917,2.9051536330371164e-05,5.914941357332282e-05,3.009787724295165e-05,132,10
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,16,0.0,0.6514302169093649,0.6727861729535191,2.471020707162097e-05,2.487267011019867e-05,1.6246336542735662e-07,110,10
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,17,0.0,0.6457889211996821,0.6722788389162584,2.616498022689484e-05,2.6242327294312418e-05,7.73462645042855e-08,110,10
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,18,0.0,0.6152683917347711,0.5861239495602522,2.703996142372489e-05,0.0001101883972296,8.314843580592424e-05,220,10
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,19,0.0,0.6134335876421164,0.5895272670008921,1.8283966710441742e-05,1.862585850176401e-05,3.418910239361139e-07,110,10
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,20,0.0,0.6141749381564046,0.4502741329507396,5.033623892813921e-06,4.67414029117208e-05,4.170777901890688e-05,220,10
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,21,0.0,0.6294135538903811,0.3680307195171132,1.388463715557009e-06,2.2790101866121404e-05,2.1401638150564395e-05,154,10
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,22,0.0,0.6140138613813706,0.7805602866140279,2.188253120039008e-06,2.8268545975151937e-06,6.386014774761861e-07,22,10
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,23,0.0,0.6086318861437208,0.488018874451518,1.590932697581593e-05,1.655892083363142e-05,6.495934599115571e-07,88,10
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adagrad,0.0001,SGD,1e-05,24,0.0,0.6012017888422231,0.7123237343335693,2.5778546842047945e-05,3.1039173336466774e-05,5.2606269491661806e-06,88,10
