,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,1,0.0,0.6483412698935006,0.5389101694930684,0.0038677100092172,0.0075766793452203,0.003708969336003,22,10
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,2,0.0,0.7254881958356341,0.223092959144957,0.0197322499006986,0.0366342850029468,0.0169020351022481,176,10
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,3,0.0,0.6780197077807579,0.5764474187384951,0.0341276600956916,0.0475113093852996,0.0133836474269628,22,10
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,4,0.0,0.7946268961061048,0.1928221763877874,0.0071065677329897,0.0133724035695195,0.0062658358365297,220,10
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,5,0.0,0.6172026106874451,0.6608370462601835,0.0401826202869415,0.0538957417011261,0.0137131195515394,22,10
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,6,0.1171657143417749,0.5821731877690963,0.1587049783571538,0.0334031842648983,0.0427190698683261,0.0093158865347504,220,10
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,7,0.256468623591721,0.581015631300575,0.1846371765224959,0.0183859672397375,0.0255829282104969,0.0071969609707593,198,10
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,8,0.3421173403886123,0.549261613521469,0.3584985690836963,0.0121370078995823,0.0150321368128061,0.0028951291460543,88,10
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,9,0.4459684250159469,0.5406197604104763,0.2089543303830379,0.0165726989507675,0.0198137685656547,0.0032410686835646,110,10
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,10,0.3666335111169226,0.6904907717319732,0.2007398047965993,0.0214096680283546,0.0302623342722654,0.0088526671752333,88,10
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,11,0.2607710380560822,1.2877258975449808,0.0669887176415332,0.0279720202088356,0.0378100425004959,0.0098380222916603,220,10
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,12,0.20735838851492,1.59034688520878,0.2331768469027751,0.0167265143245458,0.0215566791594028,0.0048301648348569,44,10
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,13,0.1907670458590084,1.628219647389012,0.1446279720924477,0.050372414290905,0.063247300684452,0.012874886393547,88,10
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,14,0.2599706010482902,1.377017643012085,0.0881648406980622,0.0502383187413215,0.0635295808315277,0.0132912639528512,220,10
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,15,0.3818070077211945,0.7819669370020506,0.3399528139810586,0.0273697823286056,0.0377510525286197,0.0103812692686915,66,10
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,16,0.4569650899096484,0.5170733470412838,0.2239493217361582,0.0493071116507053,0.0621050260961055,0.0127979135140776,132,10
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,17,0.5047288311874955,0.4673075420028381,0.2439184496327388,0.0487333051860332,0.0607843957841396,0.0120510905981063,88,10
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,18,0.5055765138873544,0.513581202045538,0.1047262112376153,0.0597700364887714,0.0802011936902999,0.0204311572015285,220,10
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,19,0.4582069079338325,0.6167898296755348,0.2792069086953151,0.0333179607987403,0.0429534129798412,0.0096354521811008,66,10
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,20,0.4287243236750105,0.9440365983493172,0.0702868010233611,0.057598739862442,0.0753895565867424,0.0177908185869455,176,10
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,21,0.2969175522789423,1.5010694451316862,0.0275259510238803,0.0323873423039913,0.0429213568568229,0.0105340154841542,220,10
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,22,0.2664053474311434,1.684470676366668,0.2242166600396475,0.0218679346144199,0.0294977612793445,0.0076298261992633,22,10
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,23,0.2228532415409462,1.7989312432697917,0.0664254019177646,0.0826244205236435,0.1060937419533729,0.0234693195670843,220,10
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,24,0.2688165879920979,1.6980023125210113,0.1723346463667412,0.0429112315177917,0.0558561459183692,0.0129449144005775,66,10
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,25,0.3876773254288488,1.412804621375763,0.0634979520860361,0.0524328164756298,0.0700515732169151,0.0176187567412853,220,10
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,26,0.4471469224564121,1.0363413203553873,0.3516798705767459,0.0310975331813097,0.0410093180835247,0.009911784902215,22,10
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,27,0.485719063487183,0.7822054146561516,0.0646280729584396,0.0603868775069713,0.0755322501063346,0.0151453716680407,220,10
27,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,28,0.5113261407690263,0.6571168820178207,0.0912126516791018,0.0325782150030136,0.0409952029585838,0.008416986092925,88,10
28,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,29,0.5261643004428046,0.6479036391886904,0.0423243154678493,0.0364799313247203,0.0470428839325904,0.0105629526078701,220,10
29,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,30,0.4939105407308262,0.7083140765103504,0.1959727511339059,0.0380901545286178,0.0497305318713188,0.0116403773427009,22,10
30,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,31,0.4776492442805585,0.8675315805607767,0.0297967613829215,0.0362362042069435,0.0450919531285762,0.0088557489216327,220,10
31,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,32,0.4124468686701933,1.1095769996297162,0.0469319538514934,0.0204499829560518,0.0263541974127292,0.0059042139910161,110,10
32,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,33,0.4099263521797406,1.3230265233108511,0.0780757110724648,0.0221303422003984,0.0280780028551816,0.0059476606547832,66,10
33,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,34,0.3569312803240994,1.569512792083369,0.0160083875649301,0.0218207519501447,0.0280292332172393,0.0062084812670946,220,10
34,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,35,0.3689013377814423,1.5670408617011058,0.2980734161133031,0.0250754952430725,0.0358828715980052,0.0108073772862553,22,10
35,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,36,0.3644135632504765,1.5408199594013094,0.0363955724587007,0.0497796311974525,0.0620320104062557,0.012252377346158,220,10
36,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,37,0.4157998062971372,1.3492595961900384,0.2106183896513274,0.0355996787548065,0.0455672070384025,0.0099675264209508,22,10
37,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,38,0.4481483231897535,1.2432252702923965,0.0143658609214683,0.028908297419548,0.0365243442356586,0.0076160472817718,220,10
38,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,39,0.4614962248354172,1.119140885233122,0.133650791707491,0.0164251364767551,0.0204582009464502,0.0040330654010176,22,10
39,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,40,0.4768450119713821,0.9927601892601536,0.0280529193903203,0.0372528545558452,0.0474509596824646,0.0101981060579419,220,10
40,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,41,0.5008182856309368,0.8918772385325034,0.0433740473735132,0.0185271501541137,0.0229111518710851,0.0043840017169713,66,10
41,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,42,0.5106306596485645,0.9010410374905808,0.0137355979806902,0.0255317389965057,0.0324473902583122,0.0069156517274677,220,10
42,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,43,0.5062028440496128,0.956260107498072,0.0718576905688016,0.0141015779227018,0.0184039808809757,0.0043024029582738,22,10
43,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,44,0.5142305590961299,0.9747696263559664,0.0533148339638099,0.0759930163621902,0.0950032249093055,0.0190102122724056,154,10
44,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,45,0.500543339002461,1.0351869037696106,0.0315463614122497,0.0496224462985992,0.0624138601124286,0.0127914138138294,220,10
45,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,46,0.4835969074426681,1.1260417091109451,0.0338918143167657,0.0260380152612924,0.0330532044172287,0.0070151886902749,88,10
46,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,47,0.4745047260651707,1.252510542127207,0.0850196302195069,0.0528314933180809,0.0661016628146171,0.0132701676338911,44,10
47,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,48,0.415988488086018,1.3572793938441714,0.0337677204379922,0.0568649433553218,0.0716717168688774,0.0148067744448781,220,10
48,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,49,0.4038031422237696,1.3992313363779076,0.0417936518349134,0.029707558453083,0.0375131480395793,0.0078055895864963,88,10
49,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,50,0.4189974663878687,1.372970304976196,0.0175957099650854,0.0389051511883735,0.0494717173278331,0.0105665670707821,220,10
50,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,51,0.4483467324430259,1.360061998629586,0.0069944995104081,0.0186785496771335,0.023227198049426,0.0045486479066312,220,10
51,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,52,0.4727095733549088,1.2527050021828112,0.0631540898268047,0.0197531208395957,0.0250893030315637,0.0053361817263066,22,10
52,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,53,0.4949913005711295,1.157648616137924,0.0115332615248255,0.0317166484892368,0.0390935689210891,0.0073769204318523,220,10
53,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,54,0.5245775248950632,1.0343332339554958,0.0942562357657483,0.0179115142673254,0.0224648769944906,0.0045533622615039,22,10
54,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,55,0.5468753188432375,0.9111514240533304,0.0206024597421426,0.0486875511705875,0.0603121928870677,0.0116246407851576,220,10
55,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,56,0.5606238208505129,0.8311375567624221,0.0613880823157986,0.0246885642409324,0.0310069918632507,0.0063184285536408,44,10
56,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,57,0.57368884664922,0.8172882525667989,0.0122008758851205,0.0283707901835441,0.0358241647481918,0.0074533736333251,220,10
57,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,AdamW,0.0001,SGD,0.001,58,0.5726807034874348,0.8636097366448833,0.0257580497691047,0.0193743426352739,0.0253980662673711,0.0060237231664359,44,10
