,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,1,0.0,0.6804676920403051,0.7633736241947521,9.72715497482568e-07,1.9210415302950423e-06,9.483260328124744e-07,22,10
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,2,0.0,0.6284328933435542,0.6518267114054074,7.459057542291703e-06,1.465471723349765e-05,7.195659691205947e-06,66,10
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,3,0.0,0.644094251039374,0.8269367983395404,1.897800393635407e-05,3.188316986779682e-05,1.2905165931442752e-05,88,10
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,4,0.0,0.6288451126968587,0.5248155065829103,2.110922650899738e-06,9.283985127694903e-05,9.072892862604932e-05,220,10
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,5,0.0,0.622210111781841,0.760716215995225,2.1061591723992024e-06,3.4126103400922148e-06,1.3064510540061749e-06,44,10
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,6,0.0,0.6176712904267638,0.5340155485001478,8.448358130408451e-06,1.0384078450442756e-05,1.935720547407982e-06,66,10
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,7,0.0,0.6177474066956352,0.497005886814811,1.5034229363664052e-05,2.027612026722636e-05,5.2418904488149565e-06,110,10
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,8,0.0,0.6146188112160632,0.8001662430438128,2.322538784937933e-05,3.340566763654351e-05,1.018027978716418e-05,88,10
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,9,0.0,0.6101330263924053,0.6592801119522614,4.055933823110536e-05,4.29773390351329e-05,2.4180023956432706e-06,110,10
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,10,0.0,0.6113770215110924,0.4241172121329741,5.673697160091251e-06,4.82443101645913e-05,4.2570613004500046e-05,220,10
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,11,0.0,0.6252198742546198,0.3518628210796938,7.650942279724404e-07,2.7201303964830004e-05,2.6436209736857563e-05,154,10
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,12,0.0,0.6452530744194075,0.4947086205536669,9.521251058686176e-07,9.698654821477248e-07,1.7740397595389368e-08,22,10
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,13,0.0,0.6622253964647992,0.6948522494597869,8.470198736176826e-06,9.656634574639613e-06,1.1864362932101358e-06,44,10
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,14,0.0,0.6617670607475834,0.8164872226389972,2.4298882635775957e-05,3.100777030340396e-05,6.708887667628005e-06,66,10
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,15,0.0,0.6382149442006614,1.113342300870202,4.093873576493934e-05,0.0001332563406322,9.23176048672758e-05,132,10
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,16,0.0,0.6239721731830189,0.7818507685173641,3.6837722291238606e-05,5.003272235626355e-05,1.3195000974519644e-05,110,10
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,Adam,0.0001,SGD,1e-05,17,0.0,0.6174582449989464,0.7523177487832127,4.724245081888512e-05,6.032637247699313e-05,1.3083922567602713e-05,132,10
