,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,1,0.0,0.7482510759630276,0.7633736241947521,9.72715497482568e-07,1.9210415302950423e-06,9.483260328124744e-07,22,10
1,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,2,0.0,0.7328322042945687,0.7664015195586465,7.70773294789251e-06,2.1298887077136897e-05,1.3591154129244389e-05,66,10
2,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,3,0.0,0.7223742354007168,0.6671011437069286,1.7578488041181117e-05,1.8277425624546595e-05,6.989378107391531e-07,88,10
3,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,4,0.0,0.6758413997315268,0.708678829182278,2.25815165322274e-06,0.0002053618518402,0.000203103700187,220,10
4,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,5,0.0,0.6465255963893337,0.6982206772674214,2.2183501187100774e-06,2.462380962242605e-06,2.440308435325278e-07,44,10
5,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,6,0.0,0.6267891885670087,0.5929151075355933,9.406754543306306e-06,1.410113964084303e-05,4.694385097536724e-06,66,10
6,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,7,0.0,0.6173629608318096,0.5358539108796554,1.5673509551561438e-05,2.4815248252707534e-05,9.141738701146096e-06,110,10
7,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,8,0.0,0.6182121279585453,0.7708686484531923,2.150817272195127e-05,2.910700641223229e-05,7.598834145028377e-06,88,10
8,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,9,0.0,0.6231817955734166,0.6767272231931037,2.7940646759816445e-05,3.007864870596677e-05,2.1380021735240007e-06,88,10
9,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,10,0.0,0.6364608181796911,0.3899972018464045,6.625279638683423e-06,2.9243139579193667e-05,2.2617859940510243e-05,220,10
10,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,11,0.0,0.6642789325413813,0.3017789228847533,1.3038679753663018e-06,2.495257467671763e-05,2.364870670135133e-05,198,10
11,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,12,0.0,0.6994816551681693,0.525185106288303,1.1284919310128316e-06,1.155688323706272e-06,2.719636782444468e-08,22,10
12,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,13,0.0,0.7362264054080913,0.8011774575168437,3.0189272365532812e-05,3.765610017580912e-05,7.4668287197710015e-06,22,10
13,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,14,0.0,0.7421768807614123,0.9042337467809296,0.0001689708733465,0.0002425806596875,7.360978634096682e-05,176,10
14,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,15,0.0,0.7044286598231047,1.3591066595699108,9.664073877502231e-05,0.0002899243263527,0.0001932835875777,154,10
15,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,16,0.0,0.6634457658492882,0.9070686723020944,8.160147990565747e-05,0.000132515488076,5.091401180834509e-05,154,10
16,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,17,0.0,0.6319929927815008,0.866401259349538,6.977514567552134e-05,0.0001097727799788,3.99976343032904e-05,154,10
17,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,18,0.0,0.620394132064499,0.4217081027274784,2.943972867797129e-05,3.598906914703548e-05,6.54934001431684e-06,220,10
18,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,19,0.0,0.6176005237885104,0.6042459089376709,1.810274443414528e-05,1.8454298697179183e-05,3.515539503951004e-07,110,10
19,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,20,0.0,0.6190836864118358,0.4451991597901692,4.401119440444745e-06,2.8046782972523943e-05,2.36456635320792e-05,220,10
20,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,21,0.0,0.6199882608333617,0.4373976766676098,8.37628249428235e-07,2.0126261006225832e-05,1.92886327567976e-05,154,10
21,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,22,0.0,0.6209531383205006,0.7096233422105962,1.030991484185506e-06,1.1281484830760746e-06,9.715698467971381e-08,22,10
22,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,23,0.0,0.6214068138417397,0.5443662788831827,5.191999662201852e-06,6.059064162400318e-06,8.670644433550478e-07,66,10
23,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,24,0.0,0.6221710866644182,0.6912747919559479,1.4372583791555373e-05,1.5394520232803188e-05,1.021936100187304e-06,88,10
24,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,25,0.0,0.6241993485516264,0.7723741914738308,1.811538277252112e-05,2.3458293071598742e-05,5.342910753824981e-06,88,10
25,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,26,0.0,0.6270457139906992,0.6731473774620981,2.7843003408634104e-05,2.892405063903425e-05,1.0810473440869828e-06,132,10
26,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,27,0.0,0.6294265439492146,0.610102987515204,2.6269577574566935e-05,2.7025800591218285e-05,7.56222334530321e-07,132,10
27,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,28,0.0,0.6300646951635376,0.5957789199596102,2.7857819077325985e-05,3.218305573682301e-05,4.325237568991724e-06,176,10
28,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,29,0.0,0.6288222529505956,0.5706940487027169,2.1575213395408355e-05,2.7036910978495143e-05,5.46169803783414e-06,132,10
29,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,30,0.0,0.6249654447759381,0.5491843393655738,1.7605720131541602e-05,3.576445305952802e-05,1.815873292798642e-05,198,10
30,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,31,0.0,0.6217743868136224,0.583881459927017,1.500115013186587e-05,1.5888188499957323e-05,8.870387659953849e-07,88,10
31,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,32,0.0,0.6183580963211205,0.4677497351846911,2.0217194105498493e-06,4.045551031595096e-05,3.843379090540111e-05,220,10
32,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,33,0.0,0.6184253217154787,0.65333490900018,3.2451814604428364e-06,3.3281023661402287e-06,8.292086306482815e-08,44,10
33,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,34,0.0,0.6232225232906924,0.4250290832871739,3.3170872484333813e-06,2.569807475083508e-05,2.238098750240169e-05,220,10
34,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,35,0.0,0.6300006476977399,1.0068977096541365,1.90064383787103e-06,7.247891971928766e-06,5.347248134057736e-06,44,10
35,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,36,0.0,0.6385782565779359,0.5278705320575022,8.457683179585729e-06,8.50670039653778e-06,4.9017220504765646e-08,66,10
36,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,37,0.0,0.6439467481984437,0.8868443075228821,1.6915626474656165e-05,2.77069048024714e-05,1.0791278327815236e-05,88,10
37,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,38,0.0,0.6500624743581728,0.4720987652287339,2.7477812182041816e-05,2.795165710267611e-05,4.7384546064677124e-07,132,10
38,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,39,0.0,0.6584299342095397,0.4325811208950147,2.5518589609419e-05,2.755625791905913e-05,2.037667627519113e-06,198,10
39,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,40,0.0,0.6610701204711245,0.9987184959379108,1.3992344065627549e-05,2.4195091100409627e-05,1.0202747034782078e-05,66,10
40,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,41,0.0,0.6587744409801396,0.8101272572847931,2.3125752704800107e-05,3.070737511734478e-05,7.581622412544675e-06,88,10
41,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,42,0.0,0.6562002905225026,0.5157229778441517,3.377794928383082e-05,3.4206979762529954e-05,4.290319566280232e-07,132,10
42,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,43,0.0,0.6594985605196189,0.3356649294698779,3.151922101096716e-06,1.3864470020052975e-05,1.071254791895626e-05,220,10
43,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,44,0.0,0.658298543391337,1.07135974873196,4.63369133285596e-06,1.0561991985014174e-05,5.928300652158214e-06,44,10
44,roberta-base,glue,cola,2,50,5,1.0,8,1,1000,True,1.0,,SGD,0.9,1.0,SGD,1e-05,45,0.0,0.6533903810586638,0.7569897061721845,1.8504710169509053e-05,2.373161623836495e-05,5.226905159361195e-06,88,10
