,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.0,0.6657360651110875,0.7438683418794112,2.4489003408234566e-05,4.7491219447692856e-05,2.300221603945829e-05,110,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.0,0.6174372602965086,0.618174883831631,2.702683013922069e-05,4.5230517571326345e-05,1.8203687432105653e-05,110,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.0,0.6708630182360875,0.8459924041683025,4.0390081267105415e-05,7.596208160975948e-05,3.5572000342654064e-05,110,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.0,0.6217786712955883,0.6181491409648548,6.265290721785277e-07,3.432497396715917e-05,3.369844489498064e-05,110,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.0,0.6619561282733014,0.7768148998238823,1.8575830836198293e-05,3.490403832984157e-05,1.6328207493643276e-05,110,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.0,0.640086501609278,0.6226897724108263,1.970849552890286e-05,3.324966746731661e-05,1.3541171028919052e-05,110,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.0,0.6259808199096272,0.5730875503475016,1.293823697778862e-05,2.398262222413905e-05,1.104438524635043e-05,110,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.0,0.6369239842618695,0.7215964834256605,2.6549365429673344e-05,3.0571285606129095e-05,4.021921085950453e-06,110,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.0,0.6357931071565351,0.6479877223209902,2.963999395433348e-05,2.989054519275669e-05,2.505518352791114e-07,110,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.0,0.6217163428095461,0.5388433581048793,1.2623931979760528e-06,1.9302913642604835e-05,1.8040520444628783e-05,110,-1
