,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,matthews_correlation,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,1,0.0,0.7352853185347928,0.7438683418794112,2.4489003408234566e-05,4.7491219447692856e-05,2.300221603945829e-05,110,-1
1,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,2,0.0,0.7041772189941115,0.7363778029788625,2.063928332063369e-05,5.48668103874661e-05,3.422752706683241e-05,110,-1
2,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,3,0.0,0.6844753522909325,0.6748703479766845,2.6172419893555343e-05,2.9047838324913755e-05,2.875417976611061e-06,110,-1
3,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,4,0.0,0.655927475627142,0.6490039135109295,7.136986823752522e-07,4.28811545134522e-05,4.216745583107695e-05,110,-1
4,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,5,0.0,0.639527722624422,0.7078307846459475,1.2944107766088564e-05,1.6235708244494162e-05,3.291600251031923e-06,110,-1
5,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,6,0.0,0.6256118121037957,0.5749607959118757,2.4185283109545708e-05,3.4690852771745995e-05,1.0505568752705584e-05,110,-1
6,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,7,0.0,0.6177665861963316,0.5351114108345725,1.6451176634291187e-05,2.482932541170157e-05,8.378147867915686e-06,110,-1
7,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,8,0.0,0.6171590349146427,0.7571385936845433,3.2536448998143896e-05,4.268166594556533e-05,1.0145217856916132e-05,110,-1
8,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,9,0.0,0.619003307728367,0.661813231462782,3.947326331399381e-05,4.170519969193265e-05,2.231935923191486e-06,110,-1
9,roberta-base,glue,cola,2,50,5,1.0,8,5,1000,False,0.0,,SGD,0.9,1.0,SGD,1e-05,10,0.0,0.6242719572464018,0.4127470804073594,1.670742676651571e-06,8.751229870540556e-06,7.080487193888985e-06,110,-1
