,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,1,0.6838235294117647,0.8122270742358079,0.6382365811104868,0.4533835904465782,0.03419855237007141,0.045287951827049255,0.011089399456977844
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,2,0.6838235294117647,0.8122270742358079,0.6497896716875189,0.33132589306268423,0.01839482970535755,0.01962924562394619,0.0012344155693426728
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,3,0.6838235294117647,0.8122270742358079,0.6017282184432534,0.5426329779542154,0.02898293361067772,0.03059394471347332,0.0016110115684568882
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,4,0.6838235294117647,0.8122270742358079,0.6066653424618291,0.3924290874765979,0.019489441066980362,0.020587002858519554,0.001097561907954514
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,5,0.7107843137254902,0.8217522658610272,0.653031026615816,0.5671872460179859,0.04990371689200401,0.0563758946955204,0.00647217920050025
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,6,0.6838235294117647,0.8122270742358079,0.6837574857122758,0.3706451972325643,0.009906346909701824,0.01933276280760765,0.009426415897905827
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,7,0.7132352941176471,0.8240601503759398,0.6094275192887175,0.627588610475262,0.24833944439888,0.2894967794418335,0.041157327592372894
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,8,0.6862745098039216,0.8134110787172012,0.6241589615158006,0.2633964558028512,0.01419172715395689,0.02217801846563816,0.00798629131168127
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,9,0.7132352941176471,0.8245877061469266,0.581105943403992,0.4075136383374532,0.022302357479929924,0.02453514188528061,0.002232785103842616
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,0.0001,SGD,0.01,10,0.7156862745098039,0.8258258258258259,0.5866885676103479,0.5853988708721267,0.02302381955087185,0.026626626029610634,0.003602806944400072
