,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,1,0.3161764705882353,0.0,0.7350504819084617,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,2,0.3161764705882353,0.0,0.7292927106221517,0.6571778211328718,0.0007000993355177343,0.0008581103757023811,0.00015801105473656207
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,3,0.3161764705882353,0.0,0.72396934967415,0.6710574335522121,0.0004334690747782588,0.0005741771892644465,0.00014070809993427247
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,4,0.3161764705882353,0.0,0.7189425580641803,0.6534489313761394,0.0006239390932023525,0.0007816472789272666,0.00015770821482874453
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,5,0.3161764705882353,0.0,0.7185208540336758,0.6625975648562114,0.0014788120752200484,0.001618670066818595,0.00013985797704663128
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,6,0.3161764705882353,0.0,0.7106014384942896,0.6718903806474474,0.000183159951120615,0.0007231414201669395,0.0005399814690463245
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,7,0.3161764705882353,0.0,0.7097786700024324,0.6619056211577521,0.0003949336241930723,0.0004017554165329784,6.8218000706110615e-06
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,8,0.3161764705882353,0.0,0.7027859465748656,0.6419110715389251,0.00042047223541885614,0.000893214950338006,0.0004727427149191499
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,9,0.31862745098039214,0.007142857142857143,0.6993895371754965,0.6389654603269366,0.0006324293790385127,0.0006970646209083498,6.463525642175227e-05
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,10,0.3602941176470588,0.1498371335504886,0.6962347930552912,0.659833503431744,0.000431940978160128,0.0004902718937955797,5.833091927343048e-05
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,11,0.45588235294117646,0.4336734693877551,0.6932796976145577,0.644676073640585,0.0031887716613709927,0.0034412629902362823,0.0002524912415537983
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,12,0.7009803921568627,0.7932203389830509,0.6873622875587613,0.6275772295892239,0.0006070922827348113,0.0007608184241689742,0.0001537261123303324
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,13,0.6887254901960784,0.8095952023988006,0.6803731228791031,0.6081709451973438,0.0007830769754946232,0.0009236938203684986,0.00014061681577004492
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,14,0.6985294117647058,0.8193832599118943,0.6709917725301257,0.6191302143037319,0.0004730299115180969,0.0008015666389837861,0.0003285367274656892
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,15,0.6887254901960784,0.8145985401459854,0.6592727291817758,0.587342231720686,0.0005255830474197865,0.0008946756715886295,0.0003690925950650126
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6482542612973381,0.5635570704936981,0.001375152263790369,0.0017098092939704657,0.0003346570301800966
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6428919633229574,0.6262010835111141,0.0007310513756237924,0.0007912051514722407,6.015379767632112e-05
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,18,0.6862745098039216,0.8134110787172012,0.6403051334268907,0.6282931730151177,0.0009388721082359552,0.000990562723018229,5.169058567844331e-05
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6309576303351159,0.561113890260458,0.0008906425791792572,0.0010346252238377929,0.0001439826301066205
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6287126424265843,0.5953681550920009,0.0011409498983994126,0.0011808923445641994,3.994240250904113e-05
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,21,0.6887254901960784,0.8145985401459854,0.6318932187323477,0.6447442002594471,0.000796525739133358,0.000950571964494884,0.00015404625446535647
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,22,0.6887254901960784,0.8145985401459854,0.6294088842822056,0.609149181842804,0.0008015749044716358,0.0008188486681319773,1.727377275528852e-05
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,23,0.6911764705882353,0.8152492668621701,0.6317500974617752,0.6459979891777039,0.000812018581200391,0.0009195132879540324,0.00010749472858151421
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,24,0.6911764705882353,0.8157894736842105,0.6215305386805067,0.5627851635217667,0.0010504369856789708,0.0011632101377472281,0.00011277315934421495
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,25,0.6911764705882353,0.8157894736842105,0.615410258956984,0.5398502375930547,0.001448664115741849,0.001504768617451191,5.61045526410453e-05
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,26,0.6838235294117647,0.8122270742358079,0.6025072943930533,0.44482142515480516,0.000536073581315577,0.0013925868552178144,0.0008565132739022374
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.5973067225194445,0.4977245397865772,0.0033954090904444456,0.003933324944227934,0.0005379157955758274
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.5982566440806669,0.41336026303470136,0.0006339217070490122,0.0011974351946264505,0.0005635134875774384
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,29,0.6838235294117647,0.8122270742358079,0.5912790053031024,0.6217009238898754,0.001243134611286223,0.0015455258544534445,0.00030239124316722155
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.5930934782121696,0.4716143749654293,0.000603922875598073,0.0009771452751010656,0.0003732223703991622
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,31,0.6838235294117647,0.8122270742358079,0.5902407297901079,0.49579390734434126,0.0013323111925274134,0.0014012394240126014,6.892825331306085e-05
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adagrad,1e-05,SGD,0.001,32,0.6838235294117647,0.8122270742358079,0.5877891182899475,0.5275155697017908,0.0016303221927955747,0.0018048676429316401,0.0001745454064803198
