,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_weight_decay,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.8280091084101621,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,2,0.3161764705882353,0.0,2.5921719868977866,0.6343114732040299,0.0017827663104981184,0.0023165245074778795,0.0005337581387721002
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.7114295810461044,0.866115903026528,0.0011645825579762459,0.005183511413633823,0.0040189288556575775
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,4,0.3161764705882353,0.0,2.3241652273664286,0.5468309818042649,0.0016755919205024838,0.0019473464926704764,0.00027175460127182305
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,5,0.3161764705882353,0.0,0.8780496424319697,1.4896065920591355,0.0007575936615467072,0.0023202584125101566,0.0015626647509634495
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.725907809009739,0.936170842912462,0.00016918854089453816,0.0011244697961956263,0.0009552812553010881
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.8535994286922848,0.978414100408554,0.00037828332278877497,0.0009158792672678828,0.0005375959444791079
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.8998248318538946,0.5109236299991606,0.00037580946809612215,0.0004152287729084492,3.9419293898390606e-05
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.7594808544598374,1.0407499889532725,0.0006178711773827672,0.0010367687791585922,0.00041889757267199457
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6310238294741687,0.9017444113890329,0.00033721455838531256,0.0006263667601160705,0.00028915220173075795
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6850809384794796,0.714122861623764,0.0003159989428240806,0.0004027498362120241,8.67508933879435e-05
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,AdamW,0.001,0.01,SGD,0.001,12,0.3161764705882353,0.0,0.7915259307506037,0.6613581337034702,0.0003546598891261965,0.00043214543256908655,7.748553616693243e-05
