,Unnamed: 0,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6580586573656868,0.6917187200652227,0.0006713581387884,0.0010678347898647,0.0003964766510762,5
1,1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6284818146743026,0.5983236253261566,0.0008419335354119,0.000875280064065,3.334653956699185e-05,5
2,2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6169388796768936,0.5787835750314925,0.0008566732285544,0.0009080010349862,5.132781370775774e-05,5
3,3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.7410817737965023,0.5332764615615209,0.0013668395113199,0.0014558295952156,8.899007661966607e-05,5
4,4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6448402194415822,0.7044062775042321,0.0016615698114037,0.0028479187749326,0.0011863489635288,5
5,5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6303741628048467,0.529196427265803,0.0003122086054645,0.0008853814797475,0.000573172874283,5
6,6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6221924827379339,0.6450406975216335,0.0005822577513754,0.0006275757332332,4.531798913376406e-05,5
7,7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,8,0.696078431372549,0.8176470588235294,0.5988445182641348,0.4614712271425459,0.0007930159335955,0.0013530363794416,0.000560020445846,5
8,8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,9,0.7156862745098039,0.8258258258258259,0.5906179138258392,0.4887954480118221,0.0016512502916157,0.0017463935073465,9.51431575231254e-05,5
9,9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,10,0.7083333333333334,0.8155038759689922,0.5755180704827402,0.5816600008143319,0.0009057081770151,0.0010487700346857,0.0001430618431186,5
10,10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,11,0.6470588235294118,0.6936170212765957,0.7002891553383247,0.4525616183876991,0.0010821798350661,0.0012481434969231,0.000165963647305,5
11,11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,12,0.7401960784313726,0.8301282051282052,0.5796064107733614,0.4478111253120005,0.0020653612446039,0.0026703446637839,0.0006049834773875,5
12,12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,13,0.6911764705882353,0.8152492668621701,1.057857465108528,0.2719531344715505,0.0020392877049744,0.0022261498961597,0.0001868621038738,5
13,13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,14,0.6985294117647058,0.8183161004431314,0.6288609287025881,0.3615304776001721,0.0027916654944419,0.0037373625673353,0.000945697131101,5
14,14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,15,0.7009803921568627,0.8195266272189349,0.5436113447535271,0.2838609714526683,0.0011016174685209,0.001192394294776,9.077680442715064e-05,5
15,15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,16,0.7181372549019608,0.8270676691729323,0.5402468721948418,0.2690303928218782,0.0013806035276502,0.0015477759297937,0.0001671723584877,5
16,16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,17,0.7769607843137255,0.8465430016863407,0.4677203341441996,0.4501887518446892,0.0015242168447002,0.0016932908911257,0.0001690740900812,5
17,17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,18,0.5147058823529411,0.4648648648648649,0.7825546118558622,0.4799481462920084,0.0020121794659644,0.002240453613922,0.0002282741770613,5
18,18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,19,0.7941176470588235,0.852112676056338,0.4724470084788753,0.4198438135441392,0.0012844561133533,0.0023169219493865,0.0010324658360332,5
19,19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,20,0.7303921568627451,0.8343373493975904,0.582671984445815,0.3513624732615426,0.0012830238556489,0.0014023408293724,0.0001193169373436,5
20,20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,21,0.7549019607843137,0.8442367601246106,0.4534968298439886,0.4650081814266741,0.0017744699725881,0.002661570906639,0.0008871009340509,5
21,21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,22,0.7990196078431373,0.8446969696969697,0.5067139700347302,0.3897173291537911,0.0013352232053875,0.0014884672127664,0.0001532440073788,5
22,22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,23,0.6617647058823529,0.6745283018867925,0.6420027175370384,0.3904461249243468,0.0009656298789195,0.0011240476742386,0.0001584177953191,5
23,23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,24,0.8406862745098039,0.8811700182815356,0.3608482710871042,0.3314861119259149,0.0015921596204861,0.0026273117400705,0.0010351521195843,5
24,24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,25,0.8431372549019608,0.8947368421052632,0.4827410361419121,0.2872782002203166,0.0027289327699691,0.0029409157577902,0.0002119830169249,5
25,25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,26,0.7181372549019608,0.828101644245142,1.0922532781008996,0.1480382209643721,0.0016599219525232,0.0020429885480552,0.0003830665664281,5
26,26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,27,0.7058823529411765,0.8230088495575221,1.096451708809564,0.3514875183813274,0.0037700347602367,0.0045577473938465,0.0007877126918174,5
27,27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,28,0.7181372549019608,0.8291233283803864,0.813438668920129,0.2490508451592177,0.0014474620111286,0.0017524862196296,0.0003050242667086,5
28,28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,29,0.8431372549019608,0.8861209964412812,0.391633927822113,0.6105111557990313,0.0028096742462366,0.005823653191328,0.0030139789450913,5
29,29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,30,0.7254901960784313,0.7554585152838428,0.5842492603788189,0.3721705216914415,0.0010543948737904,0.0016155729535967,0.0005611780798062,5
30,30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,31,0.8259803921568627,0.8610567514677103,0.4861542179304011,0.4236812222748994,0.0014252427499741,0.002506730845198,0.0010814880952239,5
31,31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,32,0.8186274509803921,0.8754208754208754,0.4244063838439829,0.3967733982950449,0.0011601877631619,0.0014871702296659,0.0003269824374001,5
32,32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,Adam,0.0001,SGD,0.001,33,0.7720588235294118,0.8540031397174255,0.4671463208163486,0.3296265538781881,0.0010042138164862,0.0011650426313281,0.0001608288439456,5
