,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.7183073981135499,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6839056669497022,0.6465953330198924,0.0006895465194247663,0.0008180392323993146,0.00012849271297454834
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6538126982894599,0.6455596201949649,0.0004116066556889564,0.0004697970871347934,5.819042416987941e-05
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6337210810651966,0.6068625191847483,0.0006030991789884865,0.0006260048248805106,2.2905664081918076e-05
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6269873789712495,0.7025243798891703,0.00040770802297629416,0.0005152198136784136,0.00010751179070211947
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.62432721081902,0.5092007524437374,0.00019151375454384834,0.0003030995430890471,0.00011158578854519874
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6254931355223936,0.7401641911930508,0.00037672239704988897,0.0005794800817966461,0.00020275768474675715
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6293549672061322,0.4732255395915773,0.00041000841883942485,0.0004461436183191836,3.6135206755716354e-05
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6309140009038589,0.6667868753274282,0.0007027860847301781,0.0008132992661558092,0.00011051318142563105
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6286836003555971,0.6984750628471376,0.00048216787399724126,0.0006098724552430212,0.00012770456669386476
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6247916063841652,0.6989750225096941,0.0005193063989281654,0.0006531902472488582,0.00013388381921686232
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6237632848468482,0.5944699048995972,0.000556671351660043,0.0005738875479437411,1.7216196283698082e-05
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6259950773388732,0.5868471767753363,0.0006519621820189059,0.0006573155988007784,5.353429514798336e-06
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6286147768590965,0.5466404683887959,0.00026924710255116224,0.00030730405705980957,3.8056939956732094e-05
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.6287846985985251,0.5391559287905693,0.0003369379264768213,0.0004113909672014415,7.445304072462022e-05
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6273823795365352,0.5529959999024868,0.000564470945391804,0.000594604411162436,3.0133489417494275e-05
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6269351103726555,0.6390292562544346,0.00043902097968384624,0.00045369856525212526,1.4677578292321414e-05
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6283097787230623,0.6736919894814491,0.000443386408733204,0.0004877441970165819,4.4357788283377886e-05
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6290450084443185,0.5937918573617935,0.0004991675377823412,0.0005113270017318428,1.2159444850112777e-05
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6325335093573028,0.6572295367717743,0.0007269970956258476,0.0007971234153956175,7.012629794189706e-05
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,21,0.6838235294117647,0.8122270742358079,0.6450430505415973,0.7142029911279678,0.0004461017088033259,0.0006469269283115864,0.00020082520495634526
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,22,0.6838235294117647,0.8122270742358079,0.6620981307590709,0.6468854010105133,0.0004556916537694633,0.00046230904990807176,6.617383405682631e-06
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,23,0.7083333333333334,0.8137715179968701,0.6896893978118896,0.6786414161324501,0.0005128796328790486,0.0005733106518164277,6.0431015299400315e-05
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,24,0.3161764705882353,0.0,0.7084377337904537,0.6338553577661514,0.000596060766838491,0.0006826574681326747,8.659670129418373e-05
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,25,0.3161764705882353,0.0,0.7170132597287496,0.6329079784452916,0.0008026593131944537,0.0008630748488940299,6.041552478563972e-05
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,26,0.696078431372549,0.8171091445427728,0.6855626445190579,0.6586129710078239,0.0002564414171501994,0.0010046663228422403,0.0007482249056920409
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.64413421644884,0.6257484562695026,0.00034680243697948754,0.0006626073154620826,0.0003158048784825951
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.6207106995816324,0.5136173337697982,0.0004829830431845039,0.0009646518738009036,0.00048166883061639965
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,29,0.6838235294117647,0.8122270742358079,0.6327727004593494,0.7265168726444244,0.0007021954515948892,0.0010406733490526676,0.000338477868353948
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.6700019392312742,0.4407974101603031,0.0015652470756322145,0.0017509101890027523,0.0001856630842667073
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,31,0.6838235294117647,0.8122270742358079,0.7070560057957967,0.568468401953578,0.001338680274784565,0.0014568052720278502,0.00011812503362307325
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,32,0.6838235294117647,0.8122270742358079,0.715101527817109,0.6431028608232736,0.0015598639147356153,0.0018490510992705822,0.0002891871554311365
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,33,0.6838235294117647,0.8122270742358079,0.6756520396938511,0.7892334518954158,0.0011151435319334269,0.0017329411348327994,0.0006177975446917117
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,34,0.6838235294117647,0.8122270742358079,0.6339457081813439,0.7638259530067444,0.010959126055240631,0.013053292408585548,0.0020941663533449173
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,35,0.6838235294117647,0.8122270742358079,0.6188967397399977,0.5239191185683012,0.0010965341934934258,0.0011682796757668257,7.174543861765414e-05
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,36,0.6838235294117647,0.8122270742358079,0.6244173938152837,0.5735320743173361,0.00048506035818718374,0.0004955325275659561,1.0472157555341255e-05
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,37,0.6838235294117647,0.8122270742358079,0.6362366314027824,0.5504237480461598,0.0005032928311266005,0.0005739039625041187,7.06111459294334e-05
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,38,0.6838235294117647,0.8122270742358079,0.6543893942645952,0.621491951495409,0.0008618607535026968,0.0008880284731276333,2.616771416796837e-05
38,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,39,0.6838235294117647,0.8122270742358079,0.653629110139959,0.5593480497598649,0.00034261358086951077,0.0007307342602871358,0.00038812067941762507
39,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,0.5,0.9,SGD,0.001,40,0.6838235294117647,0.8122270742358079,0.6427707905862846,0.5919040076434612,0.0005519060650840402,0.0006686482229270041,0.00011674217239487916
