,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,1,0.39215686274509803,0.3473684210526316,0.6943442844877056,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6467857255655176,0.6292839381429884,0.0006868917844258249,0.0007708130870014429,8.392132440349087e-05
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6256562436328215,0.6269993484020233,0.0004160519747529179,0.00042471635970287025,8.66437767399475e-06
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.62698948617075,0.5988019135263232,0.0006392463692463934,0.0006480896263383329,8.843284376780502e-06
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6275313847205218,0.7903018650081423,0.00044728582724928856,0.0007593862828798592,0.00031210045563057065
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6320864055670944,0.4700991239812639,0.00021194737928453833,0.0002523912990000099,4.0443919715471566e-05
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6255702259493809,0.790626593430837,0.0004049306735396385,0.0007304140599444509,0.00032548338640481234
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6241614929601258,0.4725239396095276,0.0003976425505243242,0.00043245265260338783,3.4810102079063654e-05
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6240416917146421,0.6484319912062751,0.0006275722989812493,0.0006869510980322957,5.937878449913114e-05
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6317093004198635,0.6620045502980549,0.0003699391381815076,0.0004022241337224841,3.228498826501891e-05
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6507654902981777,0.6523034207522869,0.0004089583526365459,0.0004220428818371147,1.3084518286632374e-05
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6656609504830604,0.6071472853422165,0.0004508077399805188,0.0004904529778286815,3.964523784816265e-05
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6676437854766846,0.6181319043040275,0.0005872051697224379,0.0006418435950763524,5.463841080199927e-05
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6471970560503941,0.6167402572929859,0.00025420438032597303,0.00044603433343581855,0.00019182995310984552
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.6255179094333275,0.5744768865406513,0.000323284650221467,0.0004742229648400098,0.0001509383146185428
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6270121026272867,0.5437360793352127,0.0005616883863694966,0.0005842639366164804,2.257557207485661e-05
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6400705844748253,0.6610972288995981,0.0004739598953165114,0.000551536912098527,7.757702405797318e-05
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6384608050187429,0.7547951627522707,0.0005066226003691554,0.0007154460181482136,0.00020882341777905822
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6312424137311823,0.6102137178182602,0.0005454924539662898,0.0005881955730728805,4.2703122744569555e-05
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6220670774871228,0.7310707058757544,0.0006311049219220877,0.0008477900410071015,0.0002166850899811834
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,21,0.6838235294117647,0.8122270742358079,0.6516242284400791,0.7770299509167671,0.0004636376106645912,0.0008315961458720267,0.0003679585352074355
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,22,0.3161764705882353,0.0,0.7317701122340035,0.646773412078619,0.00046451218076981604,0.000467482692329213,2.9704992812185083e-06
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,23,0.3161764705882353,0.0,0.8467588307810765,0.6627480901777745,0.0003795424127019942,0.0003856845432892442,6.142131951492047e-06
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,24,0.3161764705882353,0.0,0.8732379277547201,0.7542858444154262,0.0005936289671808481,0.000983651727437973,0.0003900227602571249
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,25,0.3161764705882353,0.0,0.8177382840829737,0.7383731842041016,0.000825075781904161,0.0011235199635848403,0.0002984442107845098
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,26,0.6985294117647058,0.8044515103338633,0.6868839544408462,0.8361364066600799,0.00022751919459551573,0.0012356985826045275,0.0010081793880090117
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.6232320835777357,0.6568651959300041,0.0002403728140052408,0.0004901870270259678,0.00024981421302072704
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.6473314209895975,0.4808706000447273,0.00021101957827340811,0.00036137073766440153,0.00015035115939099342
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,29,0.6838235294117647,0.8122270742358079,0.6879544830789753,0.8898980528116226,0.00041045594844035804,0.000836436462122947,0.00042598051368258893
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.7350149367954216,0.43584343492984773,9.205107198795304e-05,9.48704982874915e-05,2.8194294827699196e-06
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,31,0.6838235294117647,0.8122270742358079,0.7529547459938947,0.6876249706372619,0.0005370280705392361,0.0006601462373510003,0.0001231181959155947
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,32,0.6838235294117647,0.8122270742358079,0.7375480257997326,0.7526525881141424,0.0003525692445691675,0.0005116928950883448,0.00015912365051917732
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,33,0.6838235294117647,0.8122270742358079,0.6890953288358801,0.965705537609756,0.0004465508973225951,0.0008090368355624378,0.00036248593823984265
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,34,0.6838235294117647,0.8122270742358079,0.6417036816185596,0.8919461611658335,0.0004155931528657675,0.0006804033182561398,0.0002648101653903723
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,35,0.6838235294117647,0.8122270742358079,0.6237763376796946,0.5688956212252378,0.00027509417850524187,0.0002828947617672384,7.800587809470017e-06
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,36,0.6838235294117647,0.8122270742358079,0.6285741796680525,0.6027016401290893,0.0001835260627558455,0.00018730544252321124,3.7793831779708853e-06
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,37,0.6838235294117647,0.8122270742358079,0.6449112074047911,0.5751755520701408,0.00018308062863070518,0.00020049918384756893,1.741855521686375e-05
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,38,0.6838235294117647,0.8122270742358079,0.670392654690088,0.6651833154261112,0.00033845886355265975,0.00034403230529278517,5.5734462875989266e-06
38,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,39,0.6838235294117647,0.8122270742358079,0.6801178817655525,0.6187127143144607,0.0001304827310377732,0.000304940331261605,0.00017445760022383183
39,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,40,0.6838235294117647,0.8122270742358079,0.6778574971591725,0.6488084435462952,0.00019910099217668176,0.00026251215604133904,6.341116386465728e-05
40,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,41,0.6838235294117647,0.8122270742358079,0.666075727518867,0.6488074257969856,0.00024883230798877776,0.0003095688298344612,6.0736521845683455e-05
41,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,42,0.6838235294117647,0.8122270742358079,0.6503329183541092,0.6409314557909965,0.0002816047635860741,0.00032756716245785356,4.596239887177944e-05
42,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,43,0.6838235294117647,0.8122270742358079,0.6339855877792134,0.5923962265253067,0.00014115107478573918,0.00021927310444880277,7.812202238710597e-05
43,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,44,0.6838235294117647,0.8122270742358079,0.626064493375666,0.6473512694239616,0.00017888568982016295,0.0001804492057999596,1.5635220051990473e-06
44,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,45,0.6838235294117647,0.8122270742358079,0.6236196259657542,0.6058300741016864,0.0002208375371992588,0.00022193591576069593,1.0983723086610553e-06
45,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,46,0.6838235294117647,0.8122270742358079,0.6242834002363915,0.6594741374254227,0.00023812618746887892,0.0002618099097162485,2.368371860939078e-05
46,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,47,0.6838235294117647,0.8122270742358079,0.6262149162152234,0.5698936708271504,0.00019513678853400052,0.00019623010302893817,1.093316654987575e-06
47,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,48,0.6838235294117647,0.8122270742358079,0.6295860240272447,0.5137156099081039,0.00018941813323181123,0.00019290382624603808,3.485699153316091e-06
48,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,49,0.6838235294117647,0.8122270742358079,0.6291224617584079,0.8030871722847224,0.00023305622744373977,0.00033743929816409945,0.00010438307072035968
49,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,50,0.6838235294117647,0.8122270742358079,0.6265349873140746,0.6949730601161719,0.00021523369650822133,0.0002599703730084002,4.4736672862200066e-05
50,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGDM,1,0.9,SGD,0.001,51,0.6838235294117647,0.8122270742358079,0.6235442757606506,0.7697525892406702,0.00022422484471462667,0.000322035513818264,9.781067637959495e-05
