,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.7102549578629288,0.6917187200652227,0.0006713581387884915,0.001067834789864719,0.0003964766510762274
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6696168312839433,0.6406333300802443,0.0006878610583953559,0.0008008564473129809,0.00011299539619358256
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6397759072920856,0.6373099777433608,0.0004135771014261991,0.0004492450680118054,3.5667955671669915e-05
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6258184687764037,0.5995698809623718,0.0006112604751251638,0.0006184318335726857,7.171338893385837e-06
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6242051586216572,0.7306268552939097,0.00041658905684016645,0.0005918826791457832,0.00017529362230561674
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6274668141907337,0.4885246124532488,0.00020141640561632812,0.00027374597266316414,7.232956704683602e-05
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.628055718015222,0.7690809819433424,0.00039340867078863084,0.000668778084218502,0.0002753694134298712
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6307319659812778,0.4670517692963282,0.00042128455243073404,0.00044754179543815553,2.6257239369442686e-05
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6287109103857302,0.670062509841389,0.0006953564006835222,0.0008105675806291401,0.0001152111726696603
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6245474663435244,0.6921664194928275,0.0004538986540865153,0.0005620935698971152,0.00010819491581059992
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6245586702636644,0.6818044081330299,0.0004882907960563898,0.0005782651132903993,8.997434633783996e-05
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6315701551297132,0.5889216676354408,0.0005457820370793343,0.000554921105504036,9.139097528532147e-06
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.641595652290419,0.5921158358454705,0.0006127019296400249,0.0006227623671293259,1.0060441127279773e-05
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6447672084266064,0.5775596514344216,0.00025494146393612027,0.0003578063624445349,0.00010286489123245701
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.638411706569148,0.5718536235392093,0.0003178500628564507,0.0004564089758787304,0.00013855891302227974
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,0.66,0.9,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6293839397383671,0.5665295481681824,0.0005236124852672219,0.0005860154051333666,6.24028907623142e-05
