,Unnamed: 0,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,1,0.392156862745098,0.3473684210526316,0.6943442844877056,0.6917187200652227,0.0006713581387884,0.0010678347898647,0.0003964766510762,5
1,1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6749162229837156,0.6292839381429884,0.0006868917844258,0.0007708130870014,8.392132440349087e-05,5
2,2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6630320829503676,0.6400127503607008,0.0004140383098274,0.0004580556997098,4.40173753304407e-05,5
3,3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6534991533148522,0.612095093064838,0.000686535029672,0.0007331412052735,4.660616104956716e-05,5
4,4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6637310245457817,0.6767458975315093,0.0003941926988773,0.0004363059415481,4.211324630887248e-05,5
5,5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6391820182987288,0.5934749338361952,0.0001738399150781,0.0004750408406835,0.0003012009256053,5
6,6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.648106479177288,0.6829294833872053,0.0003561604535207,0.0004132086469326,5.7048178859986365e-05,5
7,7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6326253098600051,0.5514229052596622,0.0003711872268468,0.0005724166403524,0.0002012294135056,5
8,8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6345616625804528,0.6238078322675492,0.0006220996729098,0.0006314204656518,9.320787285105324e-06,5
9,9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6365666366090962,0.6472749928633371,0.0003851889341603,0.0003925080818589,7.319143605855061e-06,5
10,10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6397873373592601,0.6459477700293064,0.0004929382703267,0.0005093796062283,1.644132316869218e-05,5
11,11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6357429565167895,0.5940813548862934,0.0005260225734673,0.0005426878924481,1.6665318980813026e-05,5
12,12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6328572525697596,0.5884922675788402,0.0012149719987064,0.0013010209659114,8.604895992903039e-05,5
13,13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6274060764733482,0.5593662865459919,0.0004758332506753,0.0005627858336083,8.695257565705106e-05,5
14,14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.624604101858887,0.5337310060858727,0.0003779252874664,0.0004406466032378,6.27213012194261e-05,5
15,15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6242382473805371,0.5406284190714359,0.0006847007898613,0.0006980630569159,1.3362287063500844e-05,5
16,16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6255946387262905,0.6510079056024551,0.0006879562861286,0.0007618463714607,7.389009260805324e-05,5
17,17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,SGD,1.0,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6294601320051679,0.6758102461695671,0.00046523619676,0.0005262043559923,6.096817014622502e-05,5
