,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.7274809374528772,0.6970056785477532,0.000462938827695325,0.0008163421298377216,0.00035340330214239657,5
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,2,0.3161764705882353,0.0,0.701682403975842,0.6507408844100104,0.0007162403198890388,0.0008836801280267537,0.00016743980813771486,5
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.67372432643292,0.6645810034539964,0.0003317584050819278,0.0004762994358316064,0.00014454104530159384,5
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6496048920294818,0.6231365780035655,0.0005565789761021733,0.0006461463053710759,8.956732199294493e-05,5
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6362257518020331,0.6699841174814437,0.0003618701593950391,0.00038564522401429713,2.3775070076226257e-05,5
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.626443462044585,0.5295687437057495,0.00020486304129008204,0.0003875873808283359,0.00018272433953825384,5
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6244358788518345,0.7090733004940881,0.0005376859335228801,0.0006662405794486403,0.0001285546604776755,5
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.626518087644203,0.4841463850604163,0.000497544533573091,0.0005727576790377498,7.521313091274351e-05,5
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6303213156905829,0.6508408215310839,0.0011989222839474678,0.0013376125134527683,0.0001386902149533853,5
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,1000,True,SGD,0.33,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6325894202671799,0.6855451570616828,0.00039868400199338794,0.0005009343731217086,0.00010225036385236308,5
