,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6320442662519568,0.5822711677462966,0.0026393611915409565,0.004765226040035486,0.0021258648484945297,15
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.5956259463347641,0.4651923480961059,0.003044571029022336,0.003362129908055067,0.0003175589081365615,10
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,3,0.6862745098039216,0.8128654970760234,0.6920362886260537,0.5334813608063593,0.011650970205664635,0.012804683297872543,0.0011537129757925868,5
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6581310419475331,0.5546922660536235,0.002068915404379368,0.0025370679795742035,0.00046815245877951384,10
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6732972322725782,0.5784916405324583,0.00277493498288095,0.0029099928215146065,0.00013505792594514787,15
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,6,0.6838235294117647,0.8122270742358079,1.1824259062608082,0.3715504373527236,0.0018998028244823217,0.005187691189348698,0.003287888364866376,15
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6327215234438578,1.1857706160181096,0.0028493076097220182,0.005822968669235706,0.002973661059513688,5
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6823662826243568,0.3825602180427975,0.0021509001962840557,0.0032026320695877075,0.0010517318733036518,10
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.605354439978506,0.48996262302001325,0.003168447408825159,0.0038618582766503096,0.0006934109842404723,10
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.597585878535813,0.5349918966492017,0.001880267052911222,0.002004367997869849,0.0001241009886143729,10
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,11,0.6838235294117647,0.8116788321167884,0.587590769809835,0.47986290636989815,0.0026597557589411736,0.0027373572811484337,7.76015076553449e-05,10
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,12,0.6813725490196079,0.8104956268221575,0.7570126738910582,0.31834924127216696,0.001677376334555447,0.0030637243762612343,0.0013863480417057872,15
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,13,0.7107843137254902,0.8233532934131736,0.5772789728407767,0.4654230800767739,0.0026317539159208536,0.003711995668709278,0.0010802417527884245,10
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,14,0.6838235294117647,0.7824620573355818,0.5517373266173344,0.4131765840782059,0.0025979855563491583,0.0029889855068176985,0.00039099997957237065,10
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,15,0.7083333333333334,0.8155038759689922,0.5433087132725061,0.4362669616523716,0.002685046521946788,0.00289372680708766,0.0002086803870042786,10
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,16,0.7107843137254902,0.8212121212121212,0.6408132501676971,0.3127706668857071,0.0019400084856897593,0.002164338482543826,0.00022432998230215162,10
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,17,0.5808823529411765,0.5957446808510638,0.6747540457575929,0.4704623702499601,0.0019027377711609006,0.0025903370697051287,0.0006875992985442281,5
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,18,0.7058823529411765,0.8187311178247734,0.6090379927088233,0.3697670509624812,0.0020740688778460026,0.0029414044693112373,0.0008673356496728957,10
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,19,0.6862745098039216,0.746031746031746,0.5684748356248818,0.536745712492201,0.0019514421001076698,0.00287102279253304,0.0009195806342177093,5
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,20,0.696078431372549,0.8165680473372781,0.6376410459770876,0.2865578630732165,0.001879938063211739,0.003019341267645359,0.00113940320443362,10
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,21,0.7524509803921569,0.8373590982286635,0.49600084096777675,0.45428086138433876,0.0019452726701274514,0.002469581551849842,0.0005243088817223907,5
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,22,0.7794117647058824,0.85,0.48632899598748075,0.3213414246216416,0.0022125535178929567,0.0024528924841433764,0.00024033886438701302,10
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,23,0.7622549019607843,0.8412438625204582,0.4947355325315513,0.3520133927878406,0.0021884851157665253,0.0023254286497831345,0.00013694356312043965,5
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,24,0.7279411764705882,0.8335832083958021,0.6690251238498033,0.2570036390175422,0.00209027249366045,0.0025804773904383183,0.0004902047803625464,5
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,25,0.7352941176470589,0.8348623853211009,0.4872400506454356,0.5308853839420611,0.0072782328352332115,0.007925107143819332,0.000646874075755477,5
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,26,0.7328431372549019,0.8355957767722474,0.5603460413860339,0.29122459429005787,0.0018932940438389778,0.0021134780254215,0.0002201840397901833,10
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,27,0.6029411764705882,0.6179245283018868,0.6428247637608472,0.4774431865248415,0.0028006010688841343,0.004431506153196096,0.0016309049678966403,5
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,28,0.7647058823529411,0.8485804416403786,0.4603705499686447,0.33528340009765495,0.0022391933016479015,0.0031668113078922033,0.0009276180062443018,10
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,29,0.7573529411764706,0.8455538221528861,0.47668218773369697,0.2937464497983456,0.0030567406211048365,0.00337492604739964,0.00031818533898331225,10
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,30,0.7450980392156863,0.8409785932721713,0.47387714800881403,0.3696681991633442,0.0018554656999185681,0.0019919853657484055,0.00013651962217409164,5
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,31,0.7426470588235294,0.8416289592760181,0.6024384298453144,0.25177018978736465,0.001826070249080658,0.0020796481985598803,0.00025357792037539184,10
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,32,0.5612745098039216,0.5301837270341208,0.7154167650961408,0.5817436267932256,0.002634671051055193,0.005284502170979977,0.0026498311199247837,5
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,33,0.8063725490196079,0.8606701940035273,0.40639202355169785,0.3616025902951757,0.002167478669434786,0.0030637551099061966,0.0008962765568867326,10
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,34,0.8259803921568627,0.8794567062818336,0.3886454651753108,0.2584753416996035,0.0028952693101018667,0.0032017577905207872,0.00030648845131509006,10
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,35,0.8112745098039216,0.8739770867430442,0.4012697767101082,0.28587959191451473,0.0022442135959863663,0.002445594407618046,0.0002013806952163577,5
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,36,0.803921568627451,0.8701298701298701,0.4151242709919518,0.33484799373481006,0.0030319569632411003,0.0032559700775891542,0.0002240131434518844,5
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,37,0.8014705882352942,0.8691437802907916,0.456817243869106,0.21613434573842422,0.0019788150675594807,0.002238145563751459,0.0002593305835034698,10
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,Adagrad,0.0001,SGD,0.001,38,0.8455882352941176,0.8911917098445595,0.35754507224933774,0.28512627314776184,0.004277385771274567,0.004762870725244284,0.00048548492486588657,5
