,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_weight_decay,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6338729390911028,0.5822711677462966,0.0026393611915409565,0.004765226040035486,0.0021258648484945297,15
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6327403737049476,0.4702574802769555,0.0031457063741981983,0.003497679252177477,0.00035197281977161765,10
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6900142223811617,0.5550487968656752,0.002095441333949566,0.0023161103017628193,0.00022066898236516863,5
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6205648230571373,0.45735259652137755,0.0036878769751638174,0.004168654326349497,0.00048077740939334035,5
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,5,0.34558823529411764,0.10101010101010101,0.7066417126094594,0.5619257145043877,0.0017023549880832434,0.002079323399811983,0.00037696846993640065,10
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,6,0.6936274509803921,0.8164464023494861,0.9379238605353177,0.29218777645379307,0.00201520137488842,0.004165270831435919,0.0021500694565474987,25
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,7,0.6985294117647058,0.7953410981697171,0.5971773284323075,0.7990660150431925,0.003215664764866233,0.007052102126181126,0.0038364373613148928,5
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,8,0.7107843137254902,0.805921052631579,0.5612223113284391,0.22674248432395633,0.001725597307085991,0.0028857430443167686,0.0011601457372307777,15
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,9,0.7107843137254902,0.8161993769470405,0.5866732091880312,0.38274302372915875,0.0017752420390024781,0.002047728281468153,0.0002724862133618444,10
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,10,0.7058823529411765,0.8113207547169812,0.5638361748527078,0.5031619017633298,0.002020140876993537,0.002387571381404996,0.00036743044620379806,10
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,11,0.6740196078431373,0.7476280834914611,0.6178880626080083,0.41859048340055677,0.002522082766517997,0.002767502795904875,0.000245420029386878,5
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,12,0.7230392156862745,0.8220472440944881,0.5364348496876511,0.32249238470362296,0.0010102889500558376,0.002123630838468671,0.0011133418884128332,5
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,13,0.6985294117647058,0.8193832599118943,0.5986319489630998,0.4348062696142329,0.0024331931490451097,0.0027221674099564552,0.00028897429001517594,10
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,14,0.7230392156862745,0.8305847076461769,0.5380258314749774,0.38455912728483477,0.002230036538094282,0.002876468002796173,0.0006464314647018909,10
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,15,0.7573529411764706,0.8247787610619469,0.5029742133383658,0.501711536364423,0.0017837128834798932,0.0022279180120676756,0.0004442051285877824,10
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,16,0.6740196078431373,0.7089715536105032,0.5838171968273088,0.34753434790505305,0.0017776878084987402,0.0018381010740995407,6.041328742867336e-05,5
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,17,0.45588235294117646,0.3508771929824561,0.8455008367697397,0.4446663209133678,0.0017440759111195803,0.0019388142973184586,0.00019473835709504783,5
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,18,0.6715686274509803,0.6995515695067265,0.5862614465694801,0.2721705817513996,0.0017177258851006627,0.0034482816699892282,0.0017305557848885655,10
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,19,0.7990196078431373,0.8673139158576052,0.5497963751355807,0.24376903597472444,0.0029779216274619102,0.0038181873969733715,0.0008402657695114613,10
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,20,0.7181372549019608,0.8286140089418778,0.9445726838163739,0.26289518810291257,0.00216660276055336,0.002290893578901887,0.00012429080379661173,10
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,21,0.7132352941176471,0.826151560178306,0.7543090561806571,0.42148050792101355,0.002314453711733222,0.0033993117976933718,0.0010848580859601498,5
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,22,0.7328431372549019,0.8325652841781874,0.4942591017952152,0.31716075264331367,0.0021605617366731167,0.002868118230253458,0.0007075564353726804,10
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,23,0.8088235294117647,0.8682432432432432,0.47936941829382207,0.35472253031200834,0.0021311305463314056,0.0022745253518223763,0.00014339486369863153,10
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,24,0.8014705882352942,0.8669950738916257,0.44132044736076803,0.25248220379429837,0.002099369652569294,0.0037542879581451416,0.0016549183055758476,15
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,25,0.8014705882352942,0.8682926829268293,0.47711582540297043,0.2776106274928207,0.0024561260361224413,0.0028821544256061316,0.00042602847679518163,15
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,26,0.7965686274509803,0.8680445151033387,0.6506204104379696,0.2423269024118781,0.00173661089502275,0.0019047779496759176,0.00016816705465316772,10
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,27,0.7965686274509803,0.8676236044657097,0.7679920458399198,0.23712843351273075,0.0031654040794819593,0.0033750049769878387,0.00020960095571354032,5
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,28,0.8259803921568627,0.88107202680067,0.6208441867812664,0.3952502209279273,0.0034452665131539106,0.004088668618351221,0.0006434021634049714,5
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,29,0.7034313725490197,0.737527114967462,0.6073876377560344,0.812585691243617,0.00990099087357521,0.013455770909786224,0.0035547795705497265,5
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,30,0.6200980392156863,0.6172839506172839,0.7737855740329799,0.2768077910670804,0.0032029827125370502,0.0039594718255102634,0.0007564889965578914,5
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,31,0.6764705882352942,0.6930232558139535,0.5998009075136745,0.3704121119860146,0.001973675098270178,0.0027220153715461493,0.0007483403314836323,5
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,32,0.8014705882352942,0.8445297504798465,0.38652971182383744,0.313152583129704,0.0027652140706777573,0.0034809086937457323,0.0007156947394832969,5
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,33,0.8308823529411765,0.8855721393034826,0.4067446276837704,0.23468026402923797,0.00294839427806437,0.003333583939820528,0.0003851896326523274,10
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,34,0.7181372549019608,0.8291233283803864,0.7996832282446763,0.07355090118116803,0.0016684625297784805,0.0025300278794020414,0.0008615654078312218,25
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,35,0.6985294117647058,0.8193832599118943,1.000801135018906,0.3005795668603645,0.0029079560190439224,0.003901243209838867,0.000993287074379623,5
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,36,0.7230392156862745,0.8310911808669657,0.8186249152081562,0.46284620906743734,0.0021876394748687744,0.0037626181729137897,0.0015749788144603372,5
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,37,0.7720588235294118,0.8540031397174255,0.5543176285630348,0.24081889500634537,0.001771877403371036,0.0022500029299408197,0.0004781255265697837,5
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,38,0.8161764705882353,0.8653500897666068,0.3910791136178316,0.23675853518976112,0.002262155059725046,0.002969892229884863,0.0007077370537444949,10
38,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,39,0.7745098039215687,0.8106995884773662,0.45380456497271854,0.21953279718549715,0.0017944485880434513,0.0021744018886238337,0.0003799532714765519,10
39,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,40,0.7916666666666666,0.8303393213572854,0.42083728116224794,0.19712471483896177,0.0019330045906826854,0.0037473656702786684,0.001814361079595983,10
40,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,41,0.8382352941176471,0.8808664259927798,0.3846067348677738,0.18045182385249064,0.0018473182572051883,0.002727172803133726,0.0008798545459285378,10
41,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,42,0.8333333333333334,0.8870431893687708,0.492176694046779,0.20889485103543848,0.0022467731032520533,0.002566460520029068,0.0003196873585693538,5
42,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,43,0.8112745098039216,0.8764044943820225,0.6451692719962082,0.16109543868806214,0.0025723332073539495,0.002869823481887579,0.0002974902745336294,5
43,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,44,0.8161764705882353,0.8788368336025848,0.5780302433516172,0.2512671897886321,0.007199904881417751,0.00955092441290617,0.0023510197643190622,5
44,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,45,0.8382352941176471,0.8833922261484098,0.3838725899364434,0.47701958084944635,0.013329116627573967,0.016762107610702515,0.0034329905174672604,5
45,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,46,0.8259803921568627,0.8615984405458089,0.37010705726695997,0.14253187172580511,0.0028167827986180782,0.003205464221537113,0.0003886813938152045,10
46,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,47,0.8063725490196079,0.8423153692614771,0.40168386916903887,0.10420537028306474,0.0020417100749909878,0.0029564097058027983,0.0009146996308118105,15
47,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,48,0.8235294117647058,0.8651685393258427,0.3731677664407328,0.13082190817222,0.0019070793641731143,0.0030093106906861067,0.0011022313265129924,10
48,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,49,0.8529411764705882,0.8951048951048951,0.43091897869153933,0.13334343107417226,0.0026366994716227055,0.003039357718080282,0.0004026583628728986,5
49,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,50,0.8504901960784313,0.8957264957264958,0.4246986340366158,0.45914792486000805,0.006489609368145466,0.008050504140555859,0.001560894539579749,5
50,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,51,0.8627450980392157,0.901060070671378,0.37125853529455616,0.23689678250146762,0.004370959009975195,0.0052150702103972435,0.0008441112586297095,5
51,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,52,0.8504901960784313,0.8855534709193246,0.3521178442181325,0.19044099482042448,0.003163254586979747,0.003693323815241456,0.0005300692282617092,5
52,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,53,0.8431372549019608,0.879245283018868,0.3424184017759912,0.09697429217132075,0.0030280377250164747,0.003625181969255209,0.0005971442442387342,10
53,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,54,0.8431372549019608,0.8773946360153256,0.3704751110179167,0.08121925023872227,0.00195320975035429,0.00248138140887022,0.000528171774931252,15
54,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,55,0.8308823529411765,0.8654970760233918,0.42325879034458425,0.1257950987134661,0.001847606967203319,0.0020448302384465933,0.00019722324213944376,5
55,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,56,0.8382352941176471,0.8740458015267175,0.42012025465202685,0.13358122605298245,0.0020464970730245113,0.0025990516878664494,0.0005525547312572598,5
56,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,57,0.8627450980392157,0.8989169675090253,0.40196356905952974,0.14380610176761238,0.00260668876580894,0.0029738442972302437,0.0003671555023174733,5
57,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,58,0.8602941176470589,0.9035532994923858,0.46636778094312725,0.1484727483043181,0.0031963419169187546,0.003892504842951894,0.0006961628678254783,5
58,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,59,0.8308823529411765,0.8878048780487805,0.5861535183537532,0.09682066364746007,0.002189377788454294,0.002559901215136051,0.00037052336847409606,5
59,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,60,0.8382352941176471,0.8914473684210527,0.48444632535763815,0.36821340206744413,0.007605047430843115,0.009468666277825832,0.0018636189633980393,5
60,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,61,0.8578431372549019,0.9010238907849829,0.38842284160793994,0.1614729231090418,0.002631276147440076,0.0031166067346930504,0.00048533061635680497,5
61,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,62,0.8431372549019608,0.8885017421602788,0.3771059251591271,0.07421448459582669,0.0020011020824313164,0.002283175243064761,0.00028207324794493616,5
62,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,63,0.8602941176470589,0.8983957219251337,0.37931363569463,0.1504464177414775,0.00346155627630651,0.003883199067786336,0.0004216428496874869,5
63,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,64,0.8602941176470589,0.8983957219251337,0.3792319996099846,0.06855391079471225,0.001957062864676118,0.002408041153103113,0.0004509782593231648,15
64,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,65,0.8529411764705882,0.8939929328621908,0.39229091267813654,0.10216654616275005,0.0022631953470408916,0.002646489767357707,0.00038329430390149355,10
65,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,66,0.8676470588235294,0.90625,0.4489711732284038,0.06102305567557258,0.001944244490005076,0.0022169819567352533,0.00027273743762634695,15
66,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,67,0.8627450980392157,0.9044368600682594,0.5275625075309482,0.052980974970185855,0.0020633889362215996,0.0024041810538619757,0.00034079220495186746,10
67,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,68,0.8602941176470589,0.9015544041450777,0.5114656310601562,0.17800342127614255,0.003903135424479842,0.004632126074284315,0.000728990591596812,5
68,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,69,0.8504901960784313,0.897822445561139,0.5932509195876727,0.18863015598617497,0.0046836379915475845,0.005930078215897083,0.001246439991518855,5
69,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,70,0.8235294117647058,0.8823529411764706,0.7002604280087147,0.1261268103761332,0.007776027545332909,0.008826020173728466,0.0010499923955649137,5
70,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,71,0.8161764705882353,0.8776508972267537,0.6749618239312744,0.15318577181813972,0.0029802555218338966,0.003592332359403372,0.0006120768957771361,5
71,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,72,0.8382352941176471,0.886986301369863,0.49025596351381023,0.14905491651900646,0.003162404987961054,0.00438714399933815,0.001224739127792418,5
72,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,73,0.8529411764705882,0.8888888888888888,0.43160536242466346,0.09061017446219921,0.0029822029173374176,0.003496333956718445,0.000514131155796349,5
73,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,74,0.8137254901960784,0.8527131782945736,0.5365348733623749,0.017608649645089392,0.0015145090874284506,0.001951483078300953,0.00043697404908016324,30
74,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,75,0.821078431372549,0.8604206500956023,0.548782078818619,0.03906197048657174,0.0016534402966499329,0.0024053826928138733,0.0007519423961639404,10
75,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,76,0.8357843137254902,0.8761552680221811,0.5060050759268194,0.11465375410459402,0.002906176494434476,0.0033906756434589624,0.00048449914902448654,5
76,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,77,0.8259803921568627,0.8798646362098139,0.5501477972526724,0.09552655788138509,0.00212796195410192,0.002877530176192522,0.0007495682220906019,5
77,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,78,0.8259803921568627,0.8822553897180763,0.6145550983446632,0.1018511118167745,0.002588737290352583,0.003214557422325015,0.0006258200737647712,5
78,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,79,0.8333333333333334,0.8862876254180602,0.568592452293481,0.16570403928469332,0.0034470269456505775,0.004117279313504696,0.0006702523678541183,5
79,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0017,prob,AdamW,0.0001,0.01,SGD,0.001,80,0.8455882352941176,0.8934010152284264,0.5148597000778525,0.03369959314586595,0.0019495607120916247,0.002191823674365878,0.00024226294772233814,20
