,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,1,0.3161764705882353,0.0,0.704265832901001,0.5822711677462966,0.0026393611915409565,0.004765226040035486,0.0021258648484945297,15
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6593287902719834,0.5274229374196794,0.003922253381460905,0.0045751407742500305,0.0006528875674121082,15
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6305261406244016,0.5764374585063369,0.0029149604961276054,0.0031845157500356436,0.0002695553412195295,15
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6252160025577919,0.510930037608853,0.0033170366659760475,0.0033951650839298964,7.812849071342498e-05,15
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6300794844533882,0.6544819995209022,0.002692850772291422,0.003964658360928297,0.0012718074722215533,15
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6486468058006436,0.4005156247704117,0.002367225708439946,0.0029296400025486946,0.0005624143523164093,15
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6501355077706131,0.7014740967088275,0.0027971307281404734,0.005086713936179876,0.002289583208039403,15
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.659847209850947,0.34958379528036826,0.00842283759266138,0.008937068283557892,0.0005142305744811893,15
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6496850620297825,0.5807474171949757,0.009479635395109653,0.010818174108862877,0.0013385388301685452,10
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0023,,SGD,0.33,0.9,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.631248356664882,0.6167972736888461,0.003705809824168682,0.004373870324343443,0.0006680604419670999,10
