,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6458873409850925,0.5822711677462966,0.0026393611915409565,0.004765226040035486,0.0021258648484945297,15
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6380601349998923,0.5421913448307248,0.002969537628814578,0.003106889547780156,0.0001373518753098324,10
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6309876021216897,0.544867672605647,0.0033400619868189096,0.003459015628322959,0.00011895364878000692,20
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6268472431921491,0.5033779893760328,0.0033861736301332712,0.0034924654755741358,0.00010629189637256786,15
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6568112279854569,0.6269679199766229,0.002640352351590991,0.0034207229036837816,0.0007803705520927906,15
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6618258167131275,0.42516745325591826,0.005205363966524601,0.009758438915014267,0.004553074948489666,25
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6244465761324939,0.7224818831516637,0.0023350263945758343,0.0038669381756335497,0.0015319116646423936,10
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6602620789233375,0.3801200495273978,0.0033213479910045862,0.0044884406961500645,0.0011670927051454782,15
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6240430567778793,0.5500251276625526,0.002752475207671523,0.003192731412127614,0.00044025620445609093,10
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6223579580877342,0.5773947017060386,0.0028592280577868223,0.003078443929553032,0.00021921595907770097,10
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6244002983850592,0.5714624423533678,0.002966983476653695,0.0032134270295500755,0.0002464436402078718,10
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6226639578155443,0.47397645004093647,0.002770903054624796,0.0029653916135430336,0.00019448847160674632,10
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6312618880879646,0.4140018600039184,0.0034435540437698364,0.0036346809938549995,0.00019112706650048494,10
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6345056885597753,0.4864337261766195,0.0035034134052693844,0.003859084565192461,0.0003556711017154157,5
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.7005601671396517,0.35365351966271796,0.013437850400805473,0.015524978749454021,0.002087127882987261,15
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6769626724953745,0.37073161071166394,0.0028212720062583685,0.002898359438404441,7.708744669798762e-05,10
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6201670023740506,0.5320959591306746,0.0026432881131768227,0.0032246061600744724,0.0005813179304823279,10
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.6444810032844543,0.5236024456098676,0.004695049487054348,0.0054539223201572895,0.0007588726002722979,10
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.6186984812512117,0.45531269526109097,0.003044548211619258,0.0034742895513772964,0.00042974139796569943,10
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6387453686957266,0.489347658958286,0.0029787279199808836,0.0032551332842558622,0.00027640527696348727,10
20,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,21,0.3161764705882353,0.0,0.8222456527691261,0.5219411035378774,0.0026164897717535496,0.003411784302443266,0.0007952945888973773,15
21,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,22,0.6936274509803921,0.8153618906942393,0.6385767319623161,0.512184365093708,0.0025434154085814953,0.0032171893399208784,0.000673773989547044,10
22,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,23,0.3161764705882353,0.0,0.8242189299826529,0.49940779885898035,0.014672087505459785,0.016900742426514626,0.0022286544553935528,15
23,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,24,0.6862745098039216,0.8134110787172012,0.6141614843817318,0.43105700546875597,0.002713017864152789,0.0036243796348571777,0.0009113618289120495,10
24,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,25,0.6887254901960784,0.8031007751937984,0.6429901853495953,0.33907657135277985,0.0030692985747009516,0.0033599487505853176,0.00029065023409202695,10
25,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,26,0.6838235294117647,0.8122270742358079,1.0064153850955122,0.21542237777418147,0.002364272950217128,0.005887710489332676,0.003523437539115548,30
26,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.7248782389888576,0.4075902893207967,0.003298167372122407,0.00404198095202446,0.0007438135799020529,10
27,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.9650181874486745,0.1931579379287238,0.0026454937178641558,0.003300863318145275,0.0006553695420734584,30
28,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,29,0.35294117647058826,0.14285714285714285,0.7736308890230515,0.5787623402662575,0.0023637341801077127,0.004858072381466627,0.0024943382013589144,10
29,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.7550055421158379,0.38882747208699586,0.0031252794433385134,0.005495397374033928,0.0023701179306954145,25
30,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,31,0.6887254901960784,0.8145985401459854,0.6362196703751882,0.3509194257669151,0.002481641713529825,0.002792615443468094,0.0003109737881459296,10
31,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,32,0.7034313725490197,0.8191330343796711,0.5939634854302687,0.4005086657591164,0.0026209810748696327,0.0029768894892185926,0.000355908356141299,15
32,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,33,0.6568627450980392,0.7482014388489209,0.6184110442797343,0.3951630390249193,0.002899789484217763,0.0033802413381636143,0.00048045182484202087,15
33,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,34,0.6936274509803921,0.8091603053435115,0.5621658762296041,0.34796638783688344,0.0027291798032820225,0.0031469580717384815,0.00041777821024879813,15
34,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,35,0.7009803921568627,0.8195266272189349,0.6325063848612356,0.2678057689840595,0.0025099567137658596,0.002778726862743497,0.0002687702071852982,15
35,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,36,0.7034313725490197,0.819672131147541,0.5812165249212116,0.3899708822214355,0.0028206263668835163,0.003184022381901741,0.0003633960441220552,15
36,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,37,0.6985294117647058,0.8188512518409425,0.709518519394538,0.29107309711398555,0.002833592938259244,0.0033472077921032906,0.0005136149120517075,20
37,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,38,0.7058823529411765,0.7718631178707225,0.5693151541784698,0.36832938857842235,0.0025046439841389656,0.0032535039354115725,0.0007488600676879287,10
38,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,39,0.6911764705882353,0.8157894736842105,0.8326727945868876,0.24145925465272738,0.003000339027494192,0.004345329012721777,0.0013449901016429067,20
39,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,40,0.7058823529411765,0.8198198198198198,0.5542080682866714,0.3638874108437449,0.0027345111593604088,0.0032357992604374886,0.0005012881010770798,10
40,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,41,0.7058823529411765,0.8170731707317073,0.5491813796700216,0.2533536978065968,0.0027981281746178865,0.0031052185222506523,0.0003070902603212744,15
41,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,42,0.7132352941176471,0.821917808219178,0.533912876803501,0.2798552216651539,0.0028993343003094196,0.003123166039586067,0.00022383168106898665,15
42,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,43,0.6985294117647058,0.8193832599118943,0.7467485024210285,0.2481229253229685,0.0026750133838504553,0.003130391240119934,0.00045537776895798743,20
43,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,44,0.7720588235294118,0.8447412353923205,0.486403705442653,0.41753924801014364,0.0027240989729762077,0.0033325233962386847,0.000608424365054816,10
44,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,45,0.7205882352941176,0.8246153846153846,0.5297423143889389,0.27553847009936966,0.002980944002047181,0.003330945735797286,0.00035000164643861353,15
45,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,46,0.7303921568627451,0.8291925465838509,0.5114732738219055,0.3617069939384237,0.003396026324480772,0.0037822492886334658,0.0003862230805680156,15
46,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,47,0.6936274509803921,0.8169838945827232,0.8534256636950315,0.21211009536054917,0.002629779279232025,0.0032318714074790478,0.0006020920118317008,20
47,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,48,0.7181372549019608,0.828101644245142,0.6599898843788633,0.20956173796439542,0.0027539143338799477,0.0031586659606546164,0.0004047515394631773,20
48,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,49,0.5637254901960784,0.5459183673469388,0.69903043087791,0.5563815515022725,0.002793008228763938,0.004180066753178835,0.001387058524414897,5
49,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,50,0.7867647058823529,0.856198347107438,0.4607468749962601,0.3540763070108369,0.002821946982294321,0.0034438276197761297,0.0006218806374818087,10
50,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,51,0.803921568627451,0.8653198653198653,0.4352251755840638,0.37684715044063827,0.003546951338648796,0.004108945839107037,0.0005619945586659014,15
51,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,52,0.7181372549019608,0.8275862068965517,0.6225982238264645,0.3191918805707246,0.0029744256753474474,0.003656485816463828,0.0006820600829087198,15
52,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,53,0.5465686274509803,0.5066666666666667,0.747041351070591,0.5146240902133286,0.0024799760431051254,0.004133699927479029,0.001653724000789225,5
53,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,54,0.7303921568627451,0.8328267477203647,0.5530128622902375,0.21666270311689004,0.003446331713348627,0.005150044336915016,0.0017037125071510673,20
54,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,55,0.7990196078431373,0.8600682593856656,0.4322686063892701,0.36804530913941563,0.0026158748660236597,0.0031058716122061014,0.0004899967461824417,10
55,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,56,0.7990196078431373,0.8642384105960265,0.4315529588390799,0.28155045391370853,0.0029583752620965242,0.00338276126421988,0.0004243860312271863,15
56,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,57,0.7892156862745098,0.8594771241830066,0.4467427723255812,0.27161754356930035,0.002477913396432996,0.0026752077974379063,0.00019729435734916478,10
57,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,58,0.7328431372549019,0.8360902255639098,0.6669061529431858,0.13066039566416293,0.002792107407003641,0.0033922092989087105,0.0006001018336974084,25
58,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,59,0.7230392156862745,0.8295625942684767,0.6230551342607713,0.3318576489225961,0.002499949187040329,0.002870736876502633,0.00037078774766996503,10
59,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,60,0.7107843137254902,0.8244047619047619,0.8459139732534394,0.3264092343277298,0.008625189773738384,0.009915043599903584,0.001289853942580521,10
60,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,61,0.821078431372549,0.8764805414551607,0.41265446137563855,0.3733418440213427,0.00278242165222764,0.003682582639157772,0.0009001608705148101,10
61,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,62,0.8357843137254902,0.8846815834767642,0.3950268155803867,0.2619872999610379,0.0027475948445498943,0.0029887259006500244,0.0002411310124443844,10
62,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,63,0.8063725490196079,0.8477842003853564,0.414890393614769,0.36233353735879065,0.002392394933849573,0.002630649134516716,0.000238254273426719,5
63,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,64,0.8161764705882353,0.8730964467005076,0.3927004562289107,0.34151205921079963,0.0037743267603218555,0.004305378068238497,0.0005310514243319631,10
64,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,65,0.8284313725490197,0.8736462093862816,0.3791380434059629,0.35319271731423213,0.003384331939741969,0.0037701278924942017,0.000385795981856063,10
65,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,66,0.7303921568627451,0.8343373493975904,0.6562533171153536,0.14915089952992275,0.002772112376987934,0.003701387206092477,0.0009292749455198646,20
66,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,67,0.8333333333333334,0.8794326241134752,0.38184568987173195,0.3529111100360751,0.003626203630119562,0.004447271581739187,0.0008210679516196251,5
67,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,68,0.7720588235294118,0.8540031397174255,0.4945695214703971,0.26081997589208183,0.0026008537970483303,0.0033191789407283068,0.0007183252600952983,10
68,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,69,0.8357843137254902,0.8842832469775475,0.3597630190790868,0.330717491870746,0.002564177382737398,0.002908561611548066,0.0003443841706030071,5
69,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,70,0.7475490196078431,0.8437025796661608,0.6732550586080727,0.1665784277409936,0.0026433283928781748,0.00335930404253304,0.0007159755914472044,15
70,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,71,0.8357843137254902,0.8873949579831932,0.3820875474781382,0.4494301513303071,0.0026466199196875095,0.003253017086535692,0.0006063970504328609,5
71,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,72,0.8186274509803921,0.8587786259541985,0.3845415226384705,0.3608075572643429,0.00312269339337945,0.0034763820003718138,0.00035368872340768576,5
72,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,73,0.8480392156862745,0.8938356164383562,0.3739842069061363,0.3146407141117379,0.0031897800508886576,0.0036458030808717012,0.00045602302998304367,10
73,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,74,0.8431372549019608,0.8873239436619719,0.35402360909125385,0.27115481414366516,0.0032221684232354164,0.0035761117469519377,0.0003539432364050299,10
74,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,75,0.8259803921568627,0.8822553897180763,0.39702385839293985,0.2019294781028293,0.0024997214786708355,0.0028159734793007374,0.00031625197152607143,10
75,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,76,0.7549019607843137,0.8475609756097561,0.6633683521957958,0.10817632061080076,0.0026531056500971317,0.0030967402271926403,0.00044363451888784766,20
76,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,77,0.7696078431372549,0.8544891640866873,0.5805253171928081,0.13333522544708104,0.0026607660111039877,0.0029765849467366934,0.0003158189356327057,15
77,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,78,0.7598039215686274,0.7975206611570248,0.4576803594827652,0.4409818338463083,0.004220996983349323,0.0055047497153282166,0.0012837524991482496,5
78,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,79,0.8088235294117647,0.8725490196078431,0.4327137553151332,0.2348887724801898,0.002702387049794197,0.0036313701421022415,0.0009289830341003835,10
79,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,80,0.7524509803921569,0.7900207900207901,0.46615954663823633,0.4244878672529012,0.0033485624007880688,0.0042794798500835896,0.000930917332880199,5
80,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,81,0.7696078431372549,0.8073770491803278,0.4432931960213418,0.2816871460394135,0.0033971001394093037,0.0037716892547905445,0.00037458923179656267,10
81,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,82,0.7843137254901961,0.8607594936708861,0.5055505867828342,0.31244555482906955,0.0036504389718174934,0.00522404070943594,0.0015736017376184464,10
82,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,83,0.8284313725490197,0.8841059602649006,0.41708714861934093,0.20420259003128324,0.002868399489670992,0.0032827684190124273,0.0004143690166529268,10
83,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,84,0.75,0.8449848024316109,0.749773125255517,0.10738291365892756,0.0025230508763343096,0.0033420256804674864,0.0008189747459255159,20
84,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,85,0.7426470588235294,0.8411497730711044,0.7321979582638425,0.09379076765783662,0.0027337612118571997,0.0031275644432753325,0.0003938031441066414,20
85,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,86,0.8382352941176471,0.8768656716417911,0.3554081440556283,0.3144172489909189,0.003799085970968008,0.004856063053011894,0.0010569769656285644,5
86,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,87,0.8406862745098039,0.8911222780569514,0.38091882844181624,0.2223042638174125,0.002663763239979744,0.0030225750524550676,0.0003588118706829846,5
87,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,88,0.7647058823529411,0.8008298755186722,0.44655833334899414,0.4609920258500746,0.00369472149759531,0.004834423307329416,0.001139701809734106,5
88,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,89,0.8161764705882353,0.8554913294797688,0.3704150139408953,0.4155967119549001,0.0030051516368985176,0.0034540253691375256,0.00044887373223900795,5
89,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.0024,,SGD,1,SGD,0.001,90,0.8333333333333334,0.8877887788778878,0.3833024385659134,0.21344097748930965,0.0027579767629504204,0.00341815990395844,0.0006601831992156804,10
