,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6338728490997764,0.5822711677462966,0.0026393611915409565,0.004765226040035486,0.0021258648484945297,15
1,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6348240731977949,0.4701344768206278,0.003112826030701399,0.00345136527903378,0.00033853930654004216,10
2,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6284079680255815,0.5047623315619097,0.0024238440673798323,0.0026065290439873934,0.0001826850784709677,10
3,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.6241457555808273,0.4368095245212317,0.0030960896983742714,0.003570584347471595,0.00047449476551264524,10
4,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,5,0.31862745098039214,0.007142857142857143,0.7397730946540833,0.5423894708976149,0.0021008062176406384,0.0031589455902576447,0.0010581393726170063,10
5,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,6,0.6838235294117647,0.8122270742358079,0.6477938376221002,0.4445284551216496,0.0017752666026353836,0.007143991068005562,0.005368724465370178,20
6,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6250326557486665,0.5635213718922051,0.0021892786026000977,0.0025034984573721886,0.0003142198547720909,15
7,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.7948159652889943,0.23985542306262583,0.002448342740535736,0.003993090707808733,0.0015447480836883187,20
8,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.9464709806968185,0.45067192800343037,0.0021327342838048935,0.0030565180350095034,0.000923783634789288,10
9,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6539126041473127,0.5352163608979296,0.0019163032993674278,0.002917265286669135,0.0010009619873017073,15
10,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6248814656453974,0.2735025240962083,0.002033642726019025,0.00225918460637331,0.00022554189490620047,20
11,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6485875143724329,0.4146786905734593,0.0016005185898393393,0.001867744023911655,0.0002672254340723157,40
12,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6274659060964397,0.5256076511202588,0.002039752434939146,0.0028281754348427057,0.0007884230581112206,5
13,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.6373834738544389,0.42705168387231734,0.0020455389749258757,0.002361578168347478,0.00031603925162926316,35
14,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.6642030804764991,0.3969275135236482,0.0020376674365252256,0.002237754175439477,0.00020008670981042087,10
15,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6447290824908837,0.39693540786614734,0.0018047322519123554,0.0020317845046520233,0.00022705219453200698,35
16,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6331341365973154,0.3196182743480636,0.002078393939882517,0.0023500642273575068,0.00027167025837115943,25
17,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,18,0.6838235294117647,0.8122270742358079,0.9049047168855574,0.3119759155623614,0.0020415594335645437,0.0022324041929095984,0.0001908447447931394,25
18,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,19,0.6838235294117647,0.8122270742358079,0.8455735358829591,0.4095060420533022,0.002033145632594824,0.0024952825624495745,0.00046213692985475063,5
19,roberta-base,glue,mrpc,2,100,10,1.0,8,1,500,True,0.002,prob,Adam,0.0001,SGD,0.001,20,0.6838235294117647,0.8122270742358079,0.6146113048581516,0.5120958774661025,0.0026559054385870695,0.004366252571344376,0.001710347132757306,5
