,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6502131235365775,0.6584707571268081,0.0007380722090601921,0.0012144810752943158,0.00047640883713029325,750
1,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6046939550661573,0.5744655549069246,0.0009320967365056276,0.0010591641766950488,0.00012706744018942118,750
2,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.7813973276346338,0.47849478665093576,0.0008754063746891916,0.000926325679756701,5.091928687761538e-05,750
3,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.6446736232907164,0.4634347410663963,0.0007076220354065299,0.0011020551901310682,0.0003944331547245383,750
4,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.7034313725490197,0.8202080237741456,0.5410593301057816,0.487979827623566,0.0010275316890329123,0.0015554933343082666,0.0005279615870676935,750
5,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.6985294117647058,0.8183161004431314,1.0505466945834605,0.38848476883322,0.0007426102529279888,0.0008424923871643841,9.988214151235297e-05,750
6,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.75,0.8430769230769231,0.6031361257328707,0.3561112743474543,0.0004019271000288427,0.0007370002567768097,0.000335073156747967,750
7,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.5441176470588235,0.520618556701031,0.7869816895793466,0.31397920860461886,0.0002981365832965821,0.000413581874454394,0.00011544528388185427,750
8,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.5882352941176471,0.5882352941176471,0.7430394876237009,0.2847331401315828,0.0002631928655318916,0.0004677772521972656,0.00020458438666537404,750
9,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.8259803921568627,0.8782161234991424,0.4136210329392377,0.2563727605195095,0.00026313672424294055,0.00047394042485393584,0.0002108037006109953,750
10,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.8284313725490197,0.8841059602649006,0.5090182076993526,0.21989030482644836,0.0002527085307519883,0.00030069411150179803,4.798559166374616e-05,750
11,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.8431372549019608,0.8844765342960289,0.43792971446379725,0.17921388162740817,0.00029293453553691506,0.00035424265661276877,6.130811379989609e-05,750
12,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.8431372549019608,0.8844765342960289,0.433687992759195,0.1439595894172167,0.000291400559945032,0.00035493276664055884,6.353219941956922e-05,750
13,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.8480392156862745,0.8956228956228957,0.5071010009988266,0.10746346969697625,0.0002533964579924941,0.0003050561645068228,5.1659721066243947e-05,750
14,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,15,0.8406862745098039,0.8896434634974533,0.6130510258132263,0.07357027632851774,0.0002404653059784323,0.00029223860474303365,5.177329512662254e-05,750
15,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,16,0.8455882352941176,0.8877005347593583,0.6683919656834584,0.04523537104081673,0.00018616256420500576,0.00020891537133138627,2.275279985042289e-05,750
16,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,17,0.8235294117647058,0.8676470588235294,0.7841386746446255,0.028759495927657308,0.00016306701581925154,0.00017771114653442055,1.464413435314782e-05,750
17,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,18,0.8382352941176471,0.8842105263157894,0.8059360544361612,0.017253644888180618,0.00013808481162413955,0.00015803429414518178,1.9949477064074017e-05,750
18,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,19,0.8455882352941176,0.8926746166950597,0.8723304584181831,0.012121867797593586,0.00011393851309549063,0.00012115894787712023,7.220432507892838e-06,750
19,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,20,0.8480392156862745,0.8934707903780069,0.8706152594977004,0.009803453817885988,0.00011140509013785049,0.00011961859854636714,8.213508408516645e-06,750
20,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,21,0.8431372549019608,0.887719298245614,0.851320818936288,0.009265172997734043,8.657514990773052e-05,9.066788334166631e-05,4.092734343430493e-06,750
21,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,22,0.8406862745098039,0.8845470692717584,0.8574853370841546,0.007690642102524481,8.356471516890451e-05,8.73362660058774e-05,3.771550154851866e-06,750
22,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,23,0.8406862745098039,0.8861646234676007,0.8784569112193661,0.0074650042592353805,8.626640919828787e-05,9.18614532565698e-05,5.595045877271332e-06,750
23,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,24,0.8406862745098039,0.8888888888888888,0.9259189198663293,0.006728550170936312,7.463728252332658e-05,7.77055902290158e-05,3.06830429508409e-06,750
24,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,25,0.8431372549019608,0.8907849829351536,0.9229901725729909,0.0056422672259116855,6.794705404900014e-05,6.96701681590639e-05,1.7231112678928184e-06,750
25,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,AdamW,0.0001,SGD,1e-05,26,0.8480392156862745,0.8931034482758621,0.886202249474545,0.005781752650622124,6.953518459340557e-05,7.117252243915573e-05,1.6373396647395566e-06,750
