,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6086484071086434,0.37571288537345826,0.16367600858211517,0.19138912856578827,0.027713123708963394,750
1,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,2,0.7083333333333334,0.8242245199409158,1.0588310725219987,0.2773762344623606,0.11088946461677551,0.15971045196056366,0.04882098734378815,750
2,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,3,0.7720588235294118,0.8535433070866142,1.2054394102625676,0.15966543193392768,0.180117666721344,0.22913482785224915,0.04901716113090515,750
3,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,4,0.821078431372549,0.8665447897623401,0.924001920134555,0.11872206322685816,0.23187562823295593,0.27265483140945435,0.04077920317649841,750
4,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,5,0.8382352941176471,0.8795620437956204,0.8952878612403498,0.09339450472338212,0.27879267930984497,0.3194933235645294,0.040700629353523254,750
5,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,6,0.8308823529411765,0.8791593695271454,0.7977942281183513,0.06487050772535483,0.27690598368644714,0.3116890788078308,0.034783098846673965,750
6,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,7,0.8333333333333334,0.8851351351351351,0.8950969292385637,0.04060258606127421,0.22812283039093018,0.25535014271736145,0.027227316051721573,750
7,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,8,0.8308823529411765,0.8859504132231405,1.0084515965674083,0.029195273806664635,0.20328989624977112,0.22731392085552216,0.024024026468396187,750
8,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,9,0.8406862745098039,0.8903878583473862,1.1160505216887708,0.02205516100397433,0.19094233214855194,0.21349716186523438,0.022554827854037285,750
9,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,0.9,SGD,0.001,10,0.8357843137254902,0.8862478777589134,1.1896385934880669,0.015251833843320961,0.13554805517196655,0.15193389356136322,0.016385838389396667,750
