,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6086484071086434,0.37571288537345826,0.16367600858211517,0.19138912856578827,0.027713123708963394,750
1,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,2,0.7573529411764706,0.8445839874411303,0.504922024613502,0.2773762344623606,0.11088946461677551,0.15971045196056366,0.04882098734378815,750
2,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,3,0.8161764705882353,0.8756218905472637,0.5177151935686376,0.15723235345960906,0.167604461312294,0.21844349801540375,0.05083904042840004,750
3,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,4,0.8284313725490197,0.8797250859106529,0.5487299154206708,0.11215832920505978,0.18929952383041382,0.223959282040596,0.03465975821018219,750
4,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,5,0.8406862745098039,0.8861646234676007,0.5130864110519635,0.08654354570563107,0.1998206377029419,0.22852621972560883,0.028705589473247528,750
5,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,6,0.8480392156862745,0.89198606271777,0.5722032359552424,0.0744096767023128,0.22391238808631897,0.2545942962169647,0.030681904405355453,750
6,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,7,0.8480392156862745,0.8888888888888888,0.5574442894145499,0.07129187571125026,0.21067757904529572,0.23546850681304932,0.02479092963039875,750
7,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,8,0.8235294117647058,0.8767123287671232,0.6398374618153206,0.053891424310393635,0.18844783306121826,0.2098323106765747,0.021384475752711296,750
8,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,9,0.8431372549019608,0.8896551724137931,0.6010214669781728,0.05009133414842265,0.18451830744743347,0.20460443198680878,0.020086128264665604,750
9,roberta-base,glue,mrpc,2,10,10,1.0,8,15,-1,100,False,0.0,,SGD,1.0,SGD,0.001,10,0.8382352941176471,0.8846153846153846,0.6170996738113829,0.046552080767896645,0.19610798358917236,0.21771584451198578,0.021607860922813416,750
