,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,1,0.3161764705882353,0.0,0.7373086260814293,0.7437850292921067,4.647197783924639e-06,7.644972356501967e-06,2.9977745725773275e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,2,0.3161764705882353,0.0,0.7291929277719236,0.7335441790819168,4.7028788685565814e-06,7.517160611314466e-06,2.8142817427578848e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,3,0.3161764705882353,0.0,0.7214409638853634,0.7203142336606977,4.869568783760769e-06,7.372534582827939e-06,2.5029657990671694e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,4,0.3161764705882353,0.0,0.713889993873297,0.7132825986146928,4.760626325150952e-06,7.014065431576455e-06,2.2534393337991787e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,5,0.3161764705882353,0.0,0.7066299506262237,0.7029998580217363,4.54708833785844e-06,6.429469067370519e-06,1.8823808431989164e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,6,0.31862745098039214,0.007142857142857143,0.6993608650039224,0.6954523943662645,4.7293660827563144e-06,6.570542154804571e-06,1.8411759583614185e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,7,0.5563725490196079,0.6268041237113402,0.6922207077344259,0.6871158245801926,4.76362629342475e-06,6.3725233303557616e-06,1.6088971506178495e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6852072629274106,0.6814951840639115,4.7060866563697346e-06,6.191887223394588e-06,1.4858004533380154e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6779866837987713,0.6714680249691009,4.643087777367327e-06,5.746021543018287e-06,1.1029338793377974e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,AdamW,1e-05,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6696875890096029,0.6655079761743545,5.9267545111652e-06,7.183397883636644e-06,1.2566433724714443e-06,50
