,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,1,0.3161764705882353,0.0,0.7456341070287368,0.4911874385327101,0.008531628176569939,0.013513848185539246,0.004982220008969307,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,2,0.3161764705882353,0.0,0.7452582670193092,0.48669891904294493,0.025955423712730408,0.03264414519071579,0.006688721477985382,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,3,0.3161764705882353,0.0,0.7447345607420978,0.494701964572072,0.008380597457289696,0.013065235689282417,0.004684637766331434,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,4,0.3161764705882353,0.0,0.7440669466467464,0.48861613862216485,0.012510939501225948,0.017491662874817848,0.0049807233735919,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,5,0.3161764705882353,0.0,0.7432840010699104,0.49964711056649685,0.009445378556847572,0.013913865201175213,0.004468487109988928,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,6,0.3161764705882353,0.0,0.7423914904687919,0.4906928426474332,0.008327504619956017,0.01302067656069994,0.0046931724064052105,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,7,0.3161764705882353,0.0,0.7413907062773611,0.4898848311305044,0.008403549902141094,0.01350038219243288,0.005096832290291786,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,8,0.3161764705882353,0.0,0.7403041159405428,0.48978695057332516,0.009291700087487698,0.014170599170029163,0.004878899082541466,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,9,0.3161764705882353,0.0,0.739152702630735,0.501734514951706,0.008179621770977974,0.012628532014787197,0.004448910243809223,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,10,0.3161764705882353,0.0,0.7379297462164187,0.4817433021366597,0.011769655160605907,0.016944700852036476,0.005175045691430569,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,11,0.3161764705882353,0.0,0.736647249436846,0.48843677206337444,0.00830838829278946,0.012912335805594921,0.004603947512805462,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,12,0.3161764705882353,0.0,0.73531167530546,0.4872964556366206,0.008846137672662735,0.013673605397343636,0.004827467724680901,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,13,0.3161764705882353,0.0,0.733938526873495,0.4920375988185405,0.009014959447085857,0.013459660112857819,0.004444700665771961,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,14,0.3161764705882353,0.0,0.7325363322800281,0.48184812055528153,0.010632786899805069,0.015113306231796741,0.0044805193319916725,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,15,0.3161764705882353,0.0,0.7311101812942356,0.490364614546299,0.008552812039852142,0.01268667634576559,0.004133864771574736,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,16,0.3161764705882353,0.0,0.7296659327020832,0.4830815521031619,0.009028718806803226,0.013112013228237629,0.0040832944214344025,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,17,0.3161764705882353,0.0,0.7281984055743498,0.4855297967642547,0.009422059170901775,0.013816206716001034,0.004394147545099258,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,18,0.3161764705882353,0.0,0.7267182060316497,0.4864694047123192,0.00835128128528595,0.012474295683205128,0.004123013932257891,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,19,0.3161764705882353,0.0,0.7252337114483702,0.48407775086164484,0.008943517692387104,0.013246436603367329,0.004302918910980225,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,20,0.3161764705882353,0.0,0.7237484758975459,0.4807987535446882,0.008602133020758629,0.012731233611702919,0.0041291010566055775,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,21,0.3161764705882353,0.0,0.7222521562202304,0.4864842146039007,0.008040450513362885,0.012259620241820812,0.00421916926279664,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,22,0.3161764705882353,0.0,0.7207604237631255,0.48695370949059735,0.04503049701452255,0.0526697151362896,0.007639219053089619,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,23,0.3161764705882353,0.0,0.7192656783496633,0.47367244179546847,0.008809342980384827,0.013155794702470303,0.004346451256424189,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,24,0.3161764705882353,0.0,0.7177777079974904,0.4874094955250621,0.008660119026899338,0.012501402758061886,0.0038412839639931917,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,25,0.3161764705882353,0.0,0.7163033041299558,0.4874173053503037,0.009243527427315712,0.01267812866717577,0.003434601705521345,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,26,0.3161764705882353,0.0,0.71483821144291,0.47612744881212726,0.008826958015561104,0.012854314409196377,0.00402735685929656,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,27,0.3161764705882353,0.0,0.7133867506887398,0.4864089076519013,0.008511984720826149,0.011949552223086357,0.003437567036598921,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,28,0.3161764705882353,0.0,0.7119456891920052,0.4879188695251942,0.009236452169716358,0.01299783494323492,0.003761383006349206,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,29,0.3161764705882353,0.0,0.7105138161603142,0.47540235958993426,0.008492639288306236,0.012538383714854717,0.004045744426548481,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,30,0.3161764705882353,0.0,0.7090930214115218,0.4731858107373118,0.008887017145752907,0.012617585249245167,0.0037305685691535473,50
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,31,0.3161764705882353,0.0,0.7076841008429434,0.47461309148371233,0.009372067637741566,0.01318524032831192,0.003813172457739711,50
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,32,0.3161764705882353,0.0,0.7062936436896231,0.4861377588361502,0.008124972693622112,0.01134949829429388,0.0032245253678411245,50
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,33,0.3161764705882353,0.0,0.7049231237056208,0.48128322263062,0.010226106271147728,0.013733888976275921,0.0035077822394669056,50
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,34,0.3161764705882353,0.0,0.7035743874662063,0.47944974315166466,0.008693553507328033,0.011741272173821926,0.0030477188993245363,50
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,35,0.3161764705882353,0.0,0.7022430873384663,0.4847755570858718,0.009172346442937851,0.012961898930370808,0.0037895524874329567,50
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,36,0.3161764705882353,0.0,0.7009292724085789,0.47439553053677097,0.008262185379862785,0.011527559719979763,0.003265374805778265,50
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,37,0.3161764705882353,0.0,0.6996307758723989,0.4735508496314286,0.009270481765270233,0.012524629011750221,0.0032541470136493444,50
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,38,0.3161764705882353,0.0,0.6983422812293557,0.4696455955654381,0.009913390502333641,0.013471143320202827,0.0035577528178691864,50
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,39,0.3137254901960784,0.02097902097902098,0.697069973337884,0.4690151149779559,0.013578252866864204,0.01744590513408184,0.003867651801556349,50
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,40,0.32107843137254904,0.0858085808580858,0.6958207663367776,0.4820392176508906,0.008720114827156067,0.011643661186099052,0.0029235458932816982,50
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,41,0.3872549019607843,0.3351063829787234,0.694588699761559,0.4750874431431293,0.010770712979137897,0.013900943100452423,0.0031302303541451693,50
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,42,0.48284313725490197,0.5594989561586639,0.6933600551941815,0.46373901538550855,0.0087105892598629,0.012316269800066948,0.0036056810058653355,50
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,43,0.6053921568627451,0.7303182579564489,0.6921508382348454,0.4722305391132832,0.008584096096456051,0.01168696116656065,0.0031028653029352427,50
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,44,0.6446078431372549,0.7792998477929984,0.6909577975086137,0.4766346814483404,0.00828889012336731,0.011231479234993458,0.0029425895772874355,50
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,45,0.6764705882352942,0.8064516129032258,0.689786549876718,0.4749484209716319,0.008512351661920547,0.01138846855610609,0.0028761171270161867,50
45,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,46,0.678921568627451,0.8087591240875912,0.6886345755820181,0.4744867977946996,0.0086447698995471,0.011440643109381199,0.002795873209834099,50
46,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,47,0.6838235294117647,0.8122270742358079,0.6875032525436551,0.47724808135628727,0.011122625321149826,0.014757792465388775,0.0036351673770695925,50
47,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,48,0.6838235294117647,0.8122270742358079,0.6863881384625155,0.46953342103958123,0.010600713081657887,0.013797017745673656,0.0031963048968464136,50
48,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,49,0.6838235294117647,0.8122270742358079,0.6852971829620063,0.46630954431742416,0.009240700863301754,0.01246094424277544,0.0032202433794736862,50
49,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,50,0.6838235294117647,0.8122270742358079,0.684216676973829,0.46822226110100734,0.009796420112252235,0.012812549248337746,0.0030161296017467976,50
50,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,51,0.6838235294117647,0.8122270742358079,0.6831562822940302,0.46188067477941513,0.009064128622412682,0.011933991685509682,0.002869863063097,50
51,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,52,0.6838235294117647,0.8122270742358079,0.682116268896589,0.4783530041798947,0.00849122554063797,0.010869137942790985,0.002377911936491728,50
52,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,53,0.6838235294117647,0.8122270742358079,0.6810874471477434,0.4678166736215351,0.00911184586584568,0.011824071407318115,0.0027122253086417913,50
53,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,54,0.6838235294117647,0.8122270742358079,0.6800767124867907,0.47056049557030216,0.008775032125413418,0.011674461886286736,0.002899429528042674,50
54,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.001,SGD,0.001,55,0.6838235294117647,0.8122270742358079,0.6790822323630837,0.4652963603958489,0.010237686336040497,0.012918560765683651,0.002680873963981867,50
