,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,1,0.3161764705882353,0.0,0.745299892098296,0.7437850292921067,4.647197783924639e-06,7.644972356501967e-06,2.9977745725773275e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,2,0.3161764705882353,0.0,0.7442779354020661,0.7436612141132356,4.755870577355381e-06,7.869525688875001e-06,3.1136548841459444e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,3,0.3161764705882353,0.0,0.7428337171965954,0.7398936127424242,4.659982550947461e-06,7.667374120501336e-06,3.007391342180199e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,4,0.3161764705882353,0.0,0.7410153115496916,0.7404031693935395,4.85275313621969e-06,7.881090823502745e-06,3.028337687283056e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,5,0.3161764705882353,0.0,0.7388954536587584,0.735445246696472,4.479928065848071e-06,7.213367553049466e-06,2.733439259827719e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,6,0.3161764705882353,0.0,0.7364974804953033,0.7359212993383407,5.586902261711657e-06,8.609989890828729e-06,3.023087856490747e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,7,0.3161764705882353,0.0,0.7338713804880778,0.7332672078609468,4.646170054911636e-06,7.458079835487297e-06,2.8119100079493364e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,8,0.3161764705882353,0.0,0.7310566037308937,0.7307475459575652,4.546438049146673e-06,7.2939474193844944e-06,2.7475093702378217e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,9,0.3161764705882353,0.0,0.7281128144731709,0.7254484701156616,4.562944013741799e-06,7.009516593825538e-06,2.4465728074574145e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,10,0.3161764705882353,0.0,0.7250447156382542,0.7244988782405853,4.735960374091519e-06,7.378402642643778e-06,2.6424422685522586e-06,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,11,0.3161764705882353,0.0,0.7218850617315254,0.7204776428937915,4.626445843314286e-06,7.1656004365650006e-06,2.5391548206243897e-06,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,12,0.3161764705882353,0.0,0.7186776154181537,0.7151269384622577,4.611431904777419e-06,6.891695647937013e-06,2.280263743159594e-06,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,13,0.3161764705882353,0.0,0.7154364293696833,0.7139456421136856,4.47072943643434e-06,6.761205440852791e-06,2.290475777044776e-06,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,14,0.3161764705882353,0.0,0.7121800628362918,0.7093096848726274,4.881929726252565e-06,7.123089744709432e-06,2.241160018456867e-06,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,15,0.3161764705882353,0.0,0.7089413907013687,0.7050194429159162,4.778317361342488e-06,6.775793735869229e-06,1.997476374526741e-06,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,16,0.3161764705882353,0.0,0.7057252876898822,0.701931886792183,4.692131369665731e-06,6.695170213788515e-06,2.0030390714964597e-06,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,17,0.3161764705882353,0.0,0.702544654116911,0.7001880377531051,4.5584465624415316e-06,6.485078756668372e-06,1.926632421600516e-06,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,18,0.3161764705882353,0.0,0.69941433504516,0.696200396180153,4.5723095354333054e-06,6.386639142874628e-06,1.8143297211281606e-06,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,False,0.0,,SGD,0.9,0.1,SGD,1e-05,19,0.3161764705882353,0.027874564459930314,0.6963442821128696,0.6917122659683228,4.737215476779966e-06,6.48024024485494e-06,1.7430247680749744e-06,50
