,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.674628939114365,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6247096085080913,0.6534779817461966,4.60719020338729e-05,5.39587126695551e-05,7.886812454671599e-06,150,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6125653216651842,0.6061787452399731,0.0001006253733066,0.0001035131645039,2.887794153139112e-06,200,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.802783961389579,0.5806315135538578,0.0001772044342942,0.000186645265785,9.440831490792334e-06,250,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.6114703942747677,0.6493221301063895,0.0002796804474201,0.0003436849801801,6.400452548405156e-05,150,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,0.6035462243884218,0.5241617244035005,0.0004631850461009,0.0005362526280805,7.306757470360026e-05,500,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,0.5851954981392505,0.5259593835721413,0.0002700814220588,0.0002870707248803,1.6989308278425597e-05,300,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,8,0.6887254901960784,0.8145985401459854,0.6351087961126777,0.4660420132236821,0.0002595348923932,0.0002929215261247,3.3386637369403616e-05,350,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,9,0.7279411764705882,0.8300153139356815,0.6020186622353161,0.4123620711054122,0.0002057197270914,0.0002317771868547,2.605745248729363e-05,350,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,10,0.6936274509803921,0.8153618906942393,0.6024876967364666,0.3519687014948576,0.0001452379656257,0.0001665556192165,2.131765359081328e-05,400,10
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,11,0.7254901960784313,0.8303030303030303,0.5427021629670087,0.3404226770047098,9.811367635848e-05,0.0001041416180669,6.027938525221543e-06,200,10
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,12,0.7401960784313726,0.8393939393939394,0.6407615013566672,0.3169322326680025,0.0001273429516004,0.0001472285803174,1.9885628717020157e-05,300,10
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,13,0.7745098039215687,0.828996282527881,0.5241078646743998,0.3024343236237764,0.0001050538994604,0.0001181757470476,1.3121843949193137e-05,200,10
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,14,0.7769607843137255,0.8557844690966719,0.4895252640925202,0.2680918738343751,0.0001368792145512,0.00017358828336,3.6709068808704615e-05,400,10
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,15,0.8259803921568627,0.8729874776386404,0.4064581249566639,0.2494723451323806,8.535982487956062e-05,9.61272671702318e-05,1.0767444109660572e-05,150,10
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,16,0.7941176470588235,0.8675078864353313,0.6370434625183835,0.2052000417304225,0.0001456637255614,0.0001939610665431,4.829734461964108e-05,400,10
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,17,0.7990196078431373,0.8392156862745098,0.5275524936287719,0.1759762061065994,9.186897659674288e-05,0.0001324695622315,4.060058563482016e-05,200,10
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,18,0.8627450980392157,0.9044368600682594,0.5024654871108485,0.138592541955101,0.0001261367142433,0.0001851798588177,5.904314457438886e-05,300,10
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,19,0.8455882352941176,0.8975609756097561,0.5767186450196758,0.1076467309277892,0.0001119911903515,0.0001439332991139,3.194210876245052e-05,300,10
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,20,0.8357843137254902,0.8766114180478821,0.4415527938627729,0.0762526829271311,9.673857857706024e-05,0.0001379018503939,4.116327181691304e-05,350,10
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,21,0.8431372549019608,0.8900343642611683,0.6000995593528975,0.0533234623952691,7.662060670554638e-05,0.0001120873494073,3.546674270182848e-05,300,10
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,22,0.8357843137254902,0.8896210873146623,0.8289820793787858,0.044953093878692,6.439155549742281e-05,6.971343827899545e-05,5.321885055309394e-06,150,10
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,23,0.8578431372549019,0.8993055555555556,0.6273865789362211,0.0250046624623122,9.959822637028992e-05,0.0001373026025248,3.770437979255803e-05,500,10
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,24,0.8333333333333334,0.8721804511278195,0.7348539903508865,0.0269098800774081,5.254123607301153e-05,5.61364067834802e-05,3.5951716199633665e-06,100,10
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,25,0.8455882352941176,0.8911917098445595,0.7413084558142787,0.0203344987555115,0.0001181152765639,0.0002060229890048,8.790771244093776e-05,500,10
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,26,0.8284313725490197,0.8863636363636364,1.1408116925769147,0.0171634987004945,6.062525426386856e-05,6.820723501732573e-05,7.581980298709823e-06,200,10
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,27,0.821078431372549,0.8816855753646677,1.0784311571373038,0.0467126831382338,8.7575419456698e-05,0.000108627769805,2.105235398630612e-05,100,10
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,28,0.8529411764705882,0.8958333333333334,0.6440953656725183,0.0185314457891392,0.0001043932425091,0.0001525392872281,4.814604471903294e-05,500,10
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,29,0.8431372549019608,0.8827838827838828,0.6036894086225634,0.0121605394746293,5.692105332855135e-05,6.0107355238869786e-05,3.1863010008237325e-06,200,10
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,30,0.8455882352941176,0.8872987477638641,0.5967590611053667,0.0237923663746332,7.248297333717346e-05,9.391234925715251e-05,2.1429379557957876e-05,200,10
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,Adam,0.0001,SGD,1e-05,31,0.8602941176470589,0.8998242530755711,0.6068109081163272,0.0190893386104892,9.147099626716226e-05,0.0001105227056541,1.905170938698575e-05,350,10
