,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.0086731947958469,0.0133620528504252,0.0046888585202395,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.8537367396787101,0.3841940925755538,0.0407308265566825,0.0506246872246265,0.0098938625305891,500,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.8073113047901321,0.3750565687186705,0.0212615001946687,0.0300948619842529,0.0088333617895841,300,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,4,0.7647058823529411,0.8461538461538461,0.5085858921794331,0.3406178123526275,0.0189154110848903,0.0302678700536489,0.0113524599000811,250,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,5,0.8161764705882353,0.8672566371681416,0.4789382210549186,0.3049403220498934,0.0204704608768224,0.0272167678922414,0.0067463074810802,200,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,6,0.8112745098039216,0.8597449908925319,0.429115114916189,0.310555782629177,0.0265972670167684,0.0339257232844829,0.0073284567333757,150,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,7,0.8014705882352942,0.8439306358381503,0.4264957861719178,0.2613511647020932,0.0443824604153633,0.054977249354124,0.0105947898700833,200,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,8,0.8480392156862745,0.8876811594202898,0.3814287628138474,0.216724192378018,0.0765193775296211,0.0902872532606124,0.0137678729370236,250,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,9,0.8455882352941176,0.891566265060241,0.4851912876143686,0.1781956385708414,0.0800655484199523,0.09251669049263,0.0124511383473873,250,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,100,True,1.0,,SGD,0.9,1.0,SGD,0.001,10,0.8259803921568627,0.88107202680067,0.6496250687410151,0.143864739058318,0.0902780443429946,0.1031757220625877,0.012897677719593,250,10
