,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.008673194795846939,0.013362052850425243,0.004688858520239592,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.8600640631481713,0.37990285941997226,0.06499387323856354,0.08119692653417587,0.016203055158257484,600
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.7358550121094666,0.375593504505232,0.03835618495941162,0.04709184914827347,0.008735662326216698,250
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,4,0.7156862745098039,0.7716535433070866,0.5545357287514443,0.3078626709590581,0.05878285691142082,0.09225070476531982,0.033467847853899,550
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,5,0.8137254901960784,0.8762214983713354,0.6766979228522555,0.2767203136505558,0.0426190122961998,0.056546349078416824,0.013927338644862175,250
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,6,0.8161764705882353,0.8686514886164624,0.5308885555075226,0.2681831449034624,0.06664060801267624,0.08117108792066574,0.014530482701957226,250
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,7,0.8284313725490197,0.8727272727272727,0.5047730773404314,0.19886193298012947,0.10509994626045227,0.12354780733585358,0.018447857350111008,300
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,8,0.8284313725490197,0.8763250883392226,0.5098876988369168,0.15675835082210168,0.14844362437725067,0.1700248420238495,0.021581212058663368,350
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,9,0.8308823529411765,0.8804159445407279,0.6614419358711708,0.11094747081408059,0.1557464450597763,0.17694100737571716,0.02119455859065056,400
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,10,0.821078431372549,0.8768971332209107,0.8133042113320199,0.08890308292908175,0.1504213660955429,0.1687079519033432,0.018286585807800293,350
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,11,0.8357843137254902,0.8862478777589134,0.8156449459150762,0.06953869910999078,0.1510169953107834,0.16975300014019012,0.018736008554697037,350
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,12,0.8553921568627451,0.8977469670710572,0.7317295036023008,0.03891003156300842,0.16955074667930603,0.19003894925117493,0.020488202571868896,550
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,13,0.8480392156862745,0.8927335640138409,0.6962824676279435,0.03455643409494119,0.10823097079992294,0.12102935463190079,0.012798385694622993,350
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,14,0.8455882352941176,0.8911917098445595,0.6893501780052925,0.02745356939577532,0.11247848719358444,0.12540531158447266,0.012926824390888214,350
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,15,0.8431372549019608,0.8900343642611683,0.7226738802410717,0.015152180110000699,0.11347006261348724,0.12727518379688263,0.013805124908685684,600
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,16,0.8553921568627451,0.8991452991452992,0.770625166210355,0.01958751298627321,0.06655541807413101,0.07447506487369537,0.007919647730886936,250
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,17,0.8529411764705882,0.8983050847457628,0.8646114398636878,0.008608067943928637,0.09953683614730835,0.11124709993600845,0.01171026285737753,650
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,14,100,True,0.0,,SGD,1.0,0.9,SGD,0.001,18,0.8651960784313726,0.9046793760831889,0.8931726850186904,0.007394828053446767,0.05751240253448486,0.0640631690621376,0.006550766061991453,450
